colony_id,partner,site,species,DW.mg.cm2,AFDW.mg.cm2,timepoint
ACR-139,Sym,site1,Acropora,3.9159135140067476,3.9159135140067476,timepoint1
ACR-139,Host,site1,Acropora,14.60819299170495,14.60819299170495,timepoint1
ACR-140,Host,site1,Acropora,9.637940649444564,9.637940649444564,timepoint1
ACR-140,Sym,site1,Acropora,2.3409350537079687,2.3409350537079687,timepoint1
ACR-145,Sym,site1,Acropora,1.8181170825542254,1.8181170825542254,timepoint1
ACR-145,Host,site1,Acropora,8.62895412227889,8.62895412227889,timepoint1
ACR-150,Sym,site1,Acropora,2.84650602468078,2.84650602468078,timepoint1
ACR-150,Host,site1,Acropora,9.738046926539534,9.738046926539534,timepoint1
ACR-165,Sym,site1,Acropora,3.5146693865976295,3.5146693865976295,timepoint1
ACR-165,Host,site1,Acropora,14.314713064619626,14.314713064619626,timepoint1
ACR-173,Sym,site1,Acropora,3.5852832816070705,3.5852832816070705,timepoint1
ACR-173,Host,site1,Acropora,15.178571557168569,15.178571557168569,timepoint1
ACR-175,Sym,site1,Acropora,4.079561042051766,4.079561042051766,timepoint1
ACR-175,Host,site1,Acropora,19.285197653335345,19.285197653335345,timepoint1
ACR-176,Host,site1,Acropora,9.777543017960147,9.777543017960147,timepoint1
ACR-176,Sym,site1,Acropora,2.901960036968974,2.901960036968974,timepoint1
ACR-180,Sym,site1,Acropora,4.881340144600924,4.881340144600924,timepoint1
ACR-180,Host,site1,Acropora,18.67112605309868,18.67112605309868,timepoint1
ACR-185,Sym,site1,Acropora,3.296553027835564,3.296553027835564,timepoint1
ACR-185,Host,site1,Acropora,17.673902463688503,17.673902463688503,timepoint1
ACR-186,Sym,site1,Acropora,1.8399670667939367,1.8399670667939367,timepoint1
ACR-186,Host,site1,Acropora,8.025036217581453,8.025036217581453,timepoint1
ACR-187,Sym,site1,Acropora,2.3244323458993073,2.3244323458993073,timepoint1
ACR-187,Host,site1,Acropora,8.526377578335946,8.526377578335946,timepoint1
ACR-190,Sym,site1,Acropora,3.2935075803570615,3.2935075803570615,timepoint1
ACR-190,Host,site1,Acropora,12.480934580625242,12.480934580625242,timepoint1
ACR-193,Host,site1,Acropora,10.541288146690587,10.541288146690587,timepoint1
ACR-193,Sym,site1,Acropora,2.6808160170952333,2.6808160170952333,timepoint1
ACR-225,Sym,site2,Acropora,3.7921827470504508,3.7921827470504508,timepoint1
ACR-225,Host,site2,Acropora,16.607850699762274,16.607850699762274,timepoint1
ACR-228,Sym,site2,Acropora,3.581450146925627,3.581450146925627,timepoint1
ACR-228,Host,site2,Acropora,11.764647284958999,11.764647284958999,timepoint1
ACR-229,Host,site2,Acropora,15.772538894693055,15.772538894693055,timepoint1
ACR-229,Sym,site2,Acropora,5.164893565515981,5.164893565515981,timepoint1
ACR-231,Sym,site2,Acropora,6.28968219067437,6.28968219067437,timepoint1
ACR-231,Host,site2,Acropora,23.421368996742114,23.421368996742114,timepoint1
ACR-234,Host,site2,Acropora,12.109414652440504,12.109414652440504,timepoint1
ACR-234,Sym,site2,Acropora,3.592562914790531,3.592562914790531,timepoint1
ACR-237,Sym,site2,Acropora,3.2255013466339726,3.2255013466339726,timepoint1
ACR-237,Host,site2,Acropora,13.430508140967307,13.430508140967307,timepoint1
ACR-243,Host,site2,Acropora,20.402676500225013,20.402676500225013,timepoint1
ACR-243,Sym,site2,Acropora,5.111317703605392,5.111317703605392,timepoint1
ACR-244,Sym,site2,Acropora,6.291685794192068,6.291685794192068,timepoint1
ACR-244,Host,site2,Acropora,28.5167056511571,28.5167056511571,timepoint1
ACR-246,Host,site2,Acropora,5.94399740129285,5.94399740129285,timepoint1
ACR-246,Sym,site2,Acropora,1.6826084951352025,1.6826084951352025,timepoint1
ACR-247,Sym,site2,Acropora,4.105393016406623,4.105393016406623,timepoint1
ACR-247,Host,site2,Acropora,12.42421570754628,12.42421570754628,timepoint1
ACR-256,Sym,site2,Acropora,3.637954147473156,3.637954147473156,timepoint1
ACR-256,Host,site2,Acropora,16.069201609952604,16.069201609952604,timepoint1
ACR-258,Sym,site2,Acropora,5.573580550248901,5.573580550248901,timepoint1
ACR-258,Host,site2,Acropora,21.97671007405115,21.97671007405115,timepoint1
ACR-265,Host,site2,Acropora,8.816373823264094,8.816373823264094,timepoint1
ACR-265,Sym,site2,Acropora,2.371300545567559,2.371300545567559,timepoint1
ACR-343,Sym,site3,Acropora,3.9659652025463528,3.9659652025463528,timepoint1
ACR-343,Host,site3,Acropora,14.973542091246497,14.973542091246497,timepoint1
ACR-345,Sym,site3,Acropora,2.1466882160720675,2.1466882160720675,timepoint1
ACR-345,Host,site3,Acropora,9.81103598751692,9.81103598751692,timepoint1
ACR-350,Sym,site3,Acropora,1.4054993103209565,1.4054993103209565,timepoint1
ACR-350,Host,site3,Acropora,5.207876908778592,5.207876908778592,timepoint1
ACR-351,Host,site3,Acropora,10.509073296708646,10.509073296708646,timepoint1
ACR-351,Sym,site3,Acropora,2.442019692893741,2.442019692893741,timepoint1
ACR-363,Host,site3,Acropora,9.786807514181868,9.786807514181868,timepoint1
ACR-363,Sym,site3,Acropora,2.3090748978772724,2.3090748978772724,timepoint1
ACR-364,Host,site3,Acropora,9.207591130106863,9.207591130106863,timepoint1
ACR-364,Sym,site3,Acropora,2.201355120761188,2.201355120761188,timepoint1
ACR-368,Sym,site3,Acropora,4.67358581204957,4.67358581204957,timepoint1
ACR-368,Host,site3,Acropora,18.24619118402915,18.24619118402915,timepoint1
