colony_id,uae.mmol,uae.mmol.cm2,uae.mmol.ugprot
POC-52,0.0011418286054459936,2.2302901702420705e-5,4.8935732934738335e-8
POC-52,0.0011567604106290598,2.2594558945591228e-5,4.9575670336189806e-8
ACR-180,4.5595466224489234e-4,3.419160385954565e-5,6.26899943467109e-8
POC-57,9.137169354256241e-4,1.8919007982701932e-5,4.451811969177384e-8
POR-83,0.012794056342610551,9.433605721584414e-4,1.9017029318007856e-7
POR-83,0.012860007418179975,9.482234274341702e-4,1.9115058707911417e-7
ACR-180,4.7526783040294094e-4,3.563987986067604e-5,6.53453952075861e-8
POC-42,0.0010811231986754704,1.679729377074182e-5,3.7763927948253794e-08
POC-42,0.0010963311237109652,1.7033577651041117e-5,3.8295144914078304e-8
ACR-186,4.1614284811670386e-4,1.5516422996863653e-5,5.141115992324221e-8
ACR-186,4.7008164274121866e-4,1.75276005459254e-5,5.8074871696873776e-8
ACR-173,6.871723759841774e-4,2.9599279397679288e-5,6.301324047763856e-8
ACR-173,6.989471097829968e-4,3.0106464563621668e-5,6.409297557520057e-8
POC-57,8.895872392943937e-4,1.8419389450936108e-5,4.334247255331311e-8
POC-50,0.0010281176247589154,2.0987942282039285e-05,4.271740136425916e-8
ACR-145,2.3812106319033647e-4,2.425388049767036e-5,6.093064270610352e-8
ACR-185,4.4244798804546906e-4,3.2645434893498705e-5,6.771411619866466e-8
ACR-185,4.4244798804546906e-4,3.2645434893498705e-5,6.771411619866466e-8
POC-50,0.0010612938829449446,2.1665200773844338e-5,4.409584630340629e-8
POR-72,0.006596228444972297,2.5586446650155783e-4,1.3569755891843096e-7
POR-72,0.005719162946569701,2.2184352594320736e-4,1.1765457448608855e-7
POC-45,5.361033583151792e-4,2.0656992606424748e-05,4.842430594892564e-8
POC-45,5.793708910976161e-4,2.2324165719448938e-5,5.233250800103835e-8
POC-53,5.591576878263975e-4,2.0484920178801044e-5,4.4457778679961405e-8
POC-53,5.685905854683551e-4,2.083049739155734e-5,4.5207774047649313e-8
ACR-145,2.0968413293489906e-4,2.1357429848175882e-5,5.3654174115555253e-08
ACR-256,0.0011649285009263115,4.502056134307913e-5,7.939615213743738e-8
ACR-246,5.659308042173962e-4,1.1812260643731815e-5,4.201552813892706e-8
POR-74,0.01044735521259784,5.056654428672618e-4,1.7873794730696732e-7
POR-74,0.0108895544944382,5.270684574233055e-4,1.863032870822871e-7
ACR-256,0.0011331072329340622,4.379077655669914e-5,7.722736132091102e-8
ACR-228,3.762480949330698e-4,1.6411860933561044e-5,5.6985724783796435e-8
ACR-228,2.3279076453416715e-4,1.0154283053132094e-5,3.5257987000076196e-8
POC-259,0.0013096609407767278,1.058888179110251e-5,7.136142667333877e-6
POC-259,0.001292355965956941,1.0448967461324871e-5,7.041850499549305e-6
POC-68,5.237401457803077e-4,1.9806528294163562e-5,2.810741508040804e-8
POC-68,5.867516488414923e-4,2.2189464046357435e-5,3.148903569064866e-8
ACR-246,5.936608322935607e-4,1.2391049281587671e-5,4.407424585891138e-8
POC-55,0.0010484206646744953,3.173870546561336e-5,NA
POC-346,6.614473977509347e-4,1.4356720783639184e-5,4.412615653227703e-8
POR-214,0.001562053936007921,4.0434299908071705e-4,1.370674613339554e-7
POR-214,0.0017789995523189947,4.605001131947263e-4,1.5610405423886161e-7
POC-55,0.0010131210114919013,3.0670083553483755e-5,NA
