colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-228,2.6995334722337327,4.41973621393821,timepoint1
ACR-229,4.993892729324403,4.883739206393188,timepoint1
ACR-234,2.938203732618297,3.359861878404642,timepoint1
ACR-243,3.4876555753378047,3.4987111662226407,timepoint1
ACR-244,4.660096643608557,6.142398338642913,timepoint1
ACR-247,4.615767622112681,5.749878155726021,timepoint1
ACR-256,3.267571878497958,2.988525925223012,timepoint1
ACR-258,3.4205687677184113,3.3517983426692832,timepoint1
POC-201,2.486959062053163,1.4203145788581009,timepoint1
POC-217,2.9658505891342424,2.061432950803307,timepoint1
POC-219,2.4299797357742414,2.3347716193720016,timepoint1
POC-238,3.362641443057065,4.143686322481965,timepoint1
POC-239,1.3386092450626976,1.060678268021931,timepoint1
POC-248,3.90326274191927,6.1136021847737005,timepoint1
POC-254,6.027657713637489,9.370959655645887,timepoint1
POC-255,2.2098185870997074,1.5424468234123185,timepoint1
POC-259,2.7660926112338355,2.139240545322515,timepoint1
POR-209,13.153729367648232,11.657565042315655,timepoint1
POR-214,5.3338153176549,6.7797666346212075,timepoint1
POR-221,5.515924071464786,4.913310449513343,timepoint1
POR-235,12.857410662497102,18.020177302139583,timepoint1
POR-236,5.755718954352488,5.930562906012446,timepoint1
POR-242,23.21016275603157,33.04981256469307,timepoint1
POR-245,6.6594064537469215,6.135272258587653,timepoint1
POR-262,9.221357946003089,9.642350065267784,timepoint1
POR-266,2.799898979053114,3.5971237100058224,timepoint1
POC-366,0.509124066576134,0.16406589640019917,timepoint1
POR-385,4.834526409033529,2.158756676250927,timepoint1
ACR-231,1.9356991759455229,0.3460974597053766,timepoint1
ACR-237,2.0995407576028144,0.7370978879719127,timepoint1
ACR-246,2.015081163453845,0.49376837215936276,timepoint1
ACR-265,2.436292801305678,1.0398570910038238,timepoint1
ACR-343,1.49705631207854,0.5975252675060934,timepoint1
ACR-345,0.7274107525915723,0.2480850424706734,timepoint1
ACR-350,0.8336801027113346,0.22125857765282392,timepoint1
ACR-351,1.9028685034768018,0.5755989547124097,timepoint1
ACR-363,2.0274079015389566,0.6152690630204825,timepoint1
ACR-368,1.8593042208693484,0.3956942645150552,timepoint1
ACR-379,2.0338772184529694,0.6671851939241074,timepoint1
ACR-389,1.2330896148125958,0.07442175711915253,timepoint1
ACR-390,0.7642941479681156,0.39459533062034235,timepoint1
ACR-393,1.0716316510444661,0.3202855422247218,timepoint1
ACR-396,1.0829567317329127,0.20914022252359504,timepoint1
POC-200,1.768310218851083,0.3573288294529607,timepoint1
POC-205,1.2857942287260038,0.18681116736522843,timepoint1
POC-207,1.331933292232717,0.31086390744956166,timepoint1
POC-222,1.295954174811562,0.32405694478039393,timepoint1
POC-346,1.6347642408252951,0.4716449599001256,timepoint1
POC-358,1.4744940102570663,0.2834267266999465,timepoint1
POC-369,1.7347444692509528,0.3345241248665722,timepoint1
POC-371,1.0665965942791769,0.1860683345550236,timepoint1
POC-372,1.3174398571030594,0.29719554138529614,timepoint1
POC-373,1.4195452362695644,0.3578522586334839,timepoint1
POC-377,1.2009588712441464,0.333210216451301,timepoint1
POC-378,3.6663874231945517,1.0364282376992504,timepoint1
POC-395,1.3893193294930986,0.5091772501800279,timepoint1
POR-216,3.9173780219111345,1.5481270581029887,timepoint1
POR-224,3.364468568759169,0.8203723136032326,timepoint1
POR-240,7.661756687410164,1.5967768331748458,timepoint1
POR-251,4.556856090951265,1.0161637401397476,timepoint1
POR-253,2.957068562583831,0.025545788742260506,timepoint1
POR-260,4.592028298921815,1.0978120250455594,timepoint1
POR-340,8.18502627831887,1.966555345138837,timepoint1
POR-341,12.98340028666989,4.32670718385488,timepoint1
POR-353,8.7765758382336,2.119065591703243,timepoint1
POR-354,3.0230199974862932,0.7465016189320568,timepoint1
POR-355,7.592430461825063,2.04391553019031,timepoint1
POR-357,8.782239260959248,3.805782984989385,timepoint1
POR-362,7.1017069892113005,2.3712508435021014,timepoint1
POR-381,2.4231827752223505,0.6528484204397894,timepoint1
POR-383,8.68112838950524,2.484786262022067,timepoint1
POR-384,8.964974092213584,3.5561419229042235,timepoint1
ACR-140,1.3526300618535536,0.8816771735936657,timepoint1
ACR-150,2.8011270664942662,1.467738181254814,timepoint1
ACR-175,1.9557554711540595,1.435495541671952,timepoint1
ACR-176,3.1372379200423848,1.4542944398465034,timepoint1
ACR-180,3.382599229231215,2.9906343952588483,timepoint1
ACR-186,1.4407421980522899,1.1217676914864623,timepoint1
ACR-187,1.4961544315121187,0.47809976019374967,timepoint1
ACR-225,1.8074877511574636,1.2750532439700462,timepoint1
ACR-374,1.4186300296180456,0.5716473544589634,timepoint1
ACR-51,2.4695048656593475,1.4718426118235042,timepoint1
POC-375,3.361405050381989,2.1157205451849688,timepoint1
POC-386,1.8289697434605454,0.900849552517195,timepoint1
POC-40,4.250616191909678,2.8212525872666294,timepoint1
POC-41,1.9483226619494929,0.5565522459962191,timepoint1
