colony_id,timepoint,umol.cm2.hr
ACR-139,timepoint1,0.00696293968408514
ACR-140,timepoint1,0.007449825904905515
ACR-145,timepoint1,0
ACR-150,timepoint1,0.0021854880835129272
ACR-165,timepoint1,2.3720780820281828e-4
ACR-173,timepoint1,0
ACR-175,timepoint1,0.007604726028442968
ACR-176,timepoint1,0.009414848814118353
ACR-180,timepoint1,0
ACR-185,timepoint1,0.008788851937701934
ACR-186,timepoint1,0.0058880186021436
ACR-187,timepoint1,0.0050713532641012025
ACR-190,timepoint1,0.0025916743609827523
ACR-193,timepoint1,0.0068336119667474935
ACR-225,timepoint1,0.004381796058174906
ACR-228,timepoint1,0
ACR-229,timepoint1,0.027382819145411574
ACR-231,timepoint1,0.042995389032676495
ACR-234,timepoint1,0.022016551379803205
ACR-237,timepoint1,0.0032862593846733385
ACR-243,timepoint1,0.005722764281249288
ACR-244,timepoint1,0.014194791877749054
ACR-246,timepoint1,0.01025251239107729
ACR-247,timepoint1,0.008976830684259408
ACR-256,timepoint1,0
ACR-258,timepoint1,0.06314638718887766
ACR-265,timepoint1,0.02574589858356706
ACR-267,timepoint1,0
ACR-343,timepoint1,0.001914934379228086
ACR-345,timepoint1,7.889059270142305e-4
ACR-350,timepoint1,0
ACR-351,timepoint1,0.01256932595397401
ACR-363,timepoint1,0.0089096822731566
ACR-364,timepoint1,0.010590787814193463
ACR-368,timepoint1,0.009767447199399185
ACR-374,timepoint1,0.006058944822074097
ACR-379,timepoint1,0
ACR-389,timepoint1,0.07963163180954537
ACR-390,timepoint1,0.005481896661703349
ACR-393,timepoint1,0.33466646927507093
ACR-396,timepoint1,0.005813203576234549
ACR-51,timepoint1,3.0723398207453947e-5
POC-200,timepoint1,0.0033165443256822835
POC-201,timepoint1,0
POC-205,timepoint1,0.003852890331748109
POC-207,timepoint1,0.028032864269897425
POC-217,timepoint1,0.02383830012906252
POC-219,timepoint1,0
POC-222,timepoint1,0
POC-238,timepoint1,0.015738154728095373
POC-239,timepoint1,0
POC-248,timepoint1,0.08186300879741697
POC-254,timepoint1,0
POC-255,timepoint1,9.282359302760764e-4
POC-259,timepoint1,0.011221689589121342
POC-346,timepoint1,0.0037033633375429128
POC-358,timepoint1,0
POC-359,timepoint1,0.004537638050233961
POC-366,timepoint1,0.0016261092960025414
POC-369,timepoint1,0.0017323891123892012
POC-371,timepoint1,0.17356051351421664
POC-372,timepoint1,0.005529418934658854
POC-373,timepoint1,0.009174463989359222
POC-375,timepoint1,0.004954700089902107
POC-377,timepoint1,0
POC-378,timepoint1,0
POC-386,timepoint1,7.593466355945461e-4
POC-391,timepoint1,0.002720374434916597
POC-394,timepoint1,0.011832142125616603
POC-395,timepoint1,0.20922381528409606
POC-40,timepoint1,0
POC-41,timepoint1,0.0022777475796338935
POC-42,timepoint1,2.953471801850699e-4
POC-43,timepoint1,0.003674008596699816
POC-44,timepoint1,0
POC-45,timepoint1,0.0054552050468441365
POC-47,timepoint1,0.0019202900380347833
POC-48,timepoint1,0.0036097991567291673
POC-50,timepoint1,0.007054727154245943
POC-52,timepoint1,0.0024350240926365695
POC-53,timepoint1,0
POC-55,timepoint1,0
POC-56,timepoint1,0.010962425793744714
POC-57,timepoint1,0
POC-68,timepoint1,0.016572879803354063
POR-209,timepoint1,0.05434807512950444
POR-214,timepoint1,0
POR-216,timepoint1,0.0028336306643821888
POR-221,timepoint1,0.031074273751919238
POR-224,timepoint1,0.06566750271642828
POR-235,timepoint1,0.003998173100662798
POR-236,timepoint1,0.03840828467081087
POR-240,timepoint1,0.06722097310571058
POR-242,timepoint1,0
POR-245,timepoint1,0.06726218472604494
POR-251,timepoint1,0.01958011185713464
POR-253,timepoint1,0.04764241290012006
POR-260,timepoint1,0
POR-262,timepoint1,0
POR-266,timepoint1,0.057016710171035496
POR-338,timepoint1,0.009714988421308895
POR-340,timepoint1,0.007138792069855516
POR-341,timepoint1,0.07022564595216749
POR-349,timepoint1,0.005931098984630065
POR-353,timepoint1,0
POR-354,timepoint1,0.002446770376000074
POR-355,timepoint1,0
POR-357,timepoint1,0.02352874635101769
POR-362,timepoint1,0
POR-365,timepoint1,0.010641229151144037
POR-367,timepoint1,0.008001284147231039
POR-381,timepoint1,0.019852075741258496
POR-383,timepoint1,0
POR-384,timepoint1,0.014023973134478635
POR-385,timepoint1,0.011762701414083311
POR-69,timepoint1,0.025592253009431194
POR-70,timepoint1,0
POR-71,timepoint1,2.979821527103045e-4
POR-72,timepoint1,0.011335079257005448
POR-73,timepoint1,0
POR-74,timepoint1,0.010106109427802294
POR-75,timepoint1,0.026168768961416795
POR-76,timepoint1,0.004882333624945804
POR-77,timepoint1,0.011187634267301334
POR-78,timepoint1,0.010614276249414602
POR-79,timepoint1,0.009549997741046425
POR-80,timepoint1,0
POR-81,timepoint1,0.009714021150793792
POR-82,timepoint1,0.00501088193947428
POR-83,timepoint1,0.027894969743220987
