"","colony_id","weight1.g","weight2.g","Notes","delta.mass.g","surface.area.cm2"
"8","POR-209",16.21,16.39,"",0.18,7.94794450656826
"9","POC-238",10.7,11.32,"",0.620000000000001,27.9178541533127
"10","POC-259",37.14,39.87,"",2.73,123.682648141109
"11","ACR-258",3.88,4.2,"",0.32,14.302006666896
"12","POC-255",16.82,18.3,"",1.48,66.9499502810402
"13","POC-217",10.96,11.87,"",0.909999999999998,41.0798400568486
"14","POC-219",10.66,11.58,"",0.92,41.5337016397292
"15","ACR-228",6.46,6.98,"",0.52,23.3792383245071
"16","ACR-244",2.51,2.75,"",0.24,10.6711140038516
"17","POR-221",9.58,9.84,"",0.26,11.5788371696127
"18","POR-262",47.14,48.36,"",1.22,55.1495491261458
"19","POR-266",10.52,11.02,"",0.5,22.471515158746
"20","POR-236",5.74,5.97,"",0.23,10.217252420971
"21","ACR-247",4.11,4.47,"",0.359999999999999,16.1174529984182
"22","POR-235",19.38,19.92,"",0.540000000000003,24.2869614902683
"23","ACR-267",9.12,10.03,"",0.91,41.0798400568487
"24","POC-201",14.67,15.92,"",1.25,56.5111338747875
"25","POC-239",13.8,15.06,"",1.26,56.964995457668
"26","POR-214",1.57,1.66,"",0.0899999999999999,3.86319026064328
"27","ACR-234",6.03,6.63,"",0.6,27.0101309875515
"28","POC-254",8.49,9.28,"",0.789999999999999,35.633501062282
"29","POR-245",7.08,7.44,"",0.36,16.1174529984182
"30","POR-242",12.6,12.98,"Double dipped",0.380000000000001,17.0251761641794
"31","ACR-229",4.73,5.15,"Double dipped",0.42,18.8406224957015
"32","POC-248",6.67,7.07,"Double dipped",0.4,17.9328993299405
"33","ACR-256",5.19,5.72,"",0.529999999999999,23.8330999073876
"34","ACR-243",3.09,3.58,"",0.49,22.0176535758654
"35","ACR-TEST",4.27,4.77,"",0.5,22.471515158746
"36","POC-395",10.3975,11.3584,"",0.960899999999999,43.3899955137106
"37","ACR-246",9.3861,10.4466,"",1.0605,47.910456879201
"38","POR-216",5.0058,5.132,"",0.1262,5.50616919067089
"39","POC-371",10.5514,11.5219,"",0.970500000000001,43.8257026332761
"40","POR-362",41.885,42.5768,"",0.691800000000001,31.176580318395
"41","ACR-231",3.6585,4.1563,"",0.4978,22.3716656105122
"42","POC-222",11.5338,12.644,"",1.1102,50.1661489461174
"43","ACR-389",7.5126,8.061,"",0.5484,24.6682052198879
"44","ACR-237",3.7165,4.1805,"",0.464,20.837613460376
"45","POC-207",10.9676,11.8088,"",0.841200000000001,37.9572723666305
"46","ACR-350",16.2574,17.4787,"",1.2213,55.2085511319203
"47","POR-355",20.1206,20.6612,"",0.540600000000001,24.3141931852411
"48","POC-377",21.2241,23.0481,"",1.824,82.5627887321313
"49","ACR-393",9.9696,10.6637,"",0.694100000000001,31.2809684824575
"50","POR-260",30.2585,31.1425,"",0.883999999999997,39.8997999413591
"51","POC-200",17.0828,18.2307,"",1.1479,51.877207113577
"52","POR-224",7.0762,7.2867,"",0.2105,9.33222233435394
"53","ACR-265",8.6039,9.4072,"",0.8033,36.2371369675132
"54","POC-205",11.731,12.3731,"",0.642100000000001,28.9208882514787
"55","POR-353",55.8705,56.6483,"",0.777799999999999,35.0797899311677
