"","Date","Run.Number","Start.Time","Stop.Time","Chamber","Channel","Position","Species","colony_id","Plug.ID","Site","Vol.L","pH.mV","Temp.C","Salinity.chamber","TA.Start.Time","TA.Stop.Time","Notes","titration.run","TA","Mass","Salinity.lab","sample.type","surface.area.cm2","corrected_salinity","Ta.norm","Ta.norm_initial_avg","delta.TA.blank","start.time","stop.time","deltaTA","timediff","umol.cm2.hr","timepoint"
"1","20200104","1","14:27","15:32","4","4","6","Acropora","ACR-247","ACR-247","2",0.615,NA,27.71,36.58,"14:10","15:32","","data/1_calcification/raw_files/TA_Output_20220317_Run1_PutnamLab.csv",2331.749756,61.125,37.4,"Sample",17.494062008919,37.4,2422.42891317778,2714.94310819918,251.578063999184,2022-04-04 14:10:00,2022-04-04 15:32:00,40.9361310222225,82,0.00897683068425941,"timepoint1"
"2","20200104","1","14:27","15:32","6","6","3","Pocillopora","POC-219","POC-219","2",0.605,NA,28.04,36.62,"14:18","15:42","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2321.506144,60.75,41.38,"Sample",36.9472468388733,37.81,2668.44233996444,2714.94310819918,251.578063999184,2022-04-04 14:18:00,2022-04-04 15:42:00,-205.077295764444,84,0,"timepoint1"
"3","20200104","1","14:27","15:32","8","8","1","Porites","POR-242","POR-242","2",0.595,NA,27.97,36.5,"14:13","15:46","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2305.381594,59.97,40.31,"Sample",18.1888186099889,37.85,2581.38700150389,2714.94310819918,251.578063999184,2022-04-04 14:13:00,2022-04-04 15:46:00,-118.021957303889,93,0,"timepoint1"
"4","20200104","1","14:27","15:32","5","5","4","Acropora","ACR-243","ACR-243","2",0.62,NA,28.02,36.62,"14:18","15:38","","data/1_calcification/raw_files/TA_Output_20220317_Run1_PutnamLab.csv",2313.964078,60.283,37.83,"Sample",22.0099799158727,37.83,2431.59058529833,2714.94310819918,251.578063999184,2022-04-04 14:18:00,2022-04-04 15:38:00,31.774458901667,80,0.00572276428124929,"timepoint1"
"6","20200104","1","14:27","15:32","2","2","7","Porites","POR-262","POR-262","2",0.59,NA,27.88,36.59,"14:11","15:48","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2204.224221,60.699,40.48,"Sample",47.3685958549202,37.87,2478.52767961333,2714.94310819918,251.578063999184,2022-04-04 14:11:00,2022-04-04 15:48:00,-15.1626354133327,97,0,"timepoint1"
"7","20200104","1","14:27","15:32","7","7","10","Porites","POR-214","POR-214","2",0.615,NA,27.95,36.6,"14:19","15:52","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2340.839166,59.614,40.93,"Sample",8.11484789447681,38.02,2661.40408512167,2714.94310819918,251.578063999184,2022-04-04 14:19:00,2022-04-04 15:52:00,-198.039040921667,93,0,"timepoint1"
"8","20200104","1","14:27","15:32","9","9","9","Porites","POR-221","POR-221","2",0.59,NA,27.92,36.62,"14:18","15:50","","data/1_calcification/raw_files/TA_Output_20220317_Run1_PutnamLab.csv",2279.885705,60.32,36.8,"Sample",14.0202790035701,36.8,2330.54983177778,2714.94310819918,251.578063999184,2022-04-04 14:18:00,2022-04-04 15:50:00,132.815212422222,92,0.0310742737519192,"timepoint1"
"9","20200104","1","14:27","15:32","3","3","11","Pocillopora","POC-254","POC-254","2",0.615,NA,27.87,36.51,"14:09","15:54","","data/1_calcification/raw_files/TA_Output_20220310_Run1_PutnamTitrations_PutnamLab.csv",2336.21905617699,60.298,41.14,"Sample",32.4313289319196,37.93,2669.77922142004,2714.94310819918,251.578063999184,2022-04-04 14:09:00,2022-04-04 15:54:00,-206.414177220038,105,0,"timepoint1"
"10","20200104","1","14:27","15:32","1","1","12","Pocillopora","POC-239","POC-239","2",0.6,NA,27.83,36.57,"14:16","15:56","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2332.691292,60.495,40.93,"Sample",48.7581090570599,38.03,2652.14040504333,2714.94310819918,251.578063999184,2022-04-04 14:16:00,2022-04-04 15:56:00,-188.775360843333,100,0,"timepoint1"
"11","20200104","2","19:19","20:19","8","8","11","Acropora","ACR-256","ACR-256","2",0.61,NA,28.49,36.78,"19:18","20:35","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2308.171287,59.637,41.42,"Sample",26.5258978228264,36.88,2655.67929743167,2504.90849767173,46.3013365914499,2022-04-04 19:18:00,2022-04-04 20:35:00,-197.072136351389,77,0,"timepoint1"
"12","20200104","2","19:19","20:19","3","3","10","Acropora","ACR-267","ACR-267","2",0.61,NA,28.38,36.8,"19:19","20:33","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2315.306162,59.511,41.47,"Sample",36.5998685383384,38.02,2667.10407050389,2504.90849767173,46.3013365914499,2022-04-04 19:19:00,2022-04-04 20:33:00,-208.496909423611,74,0,"timepoint1"
