Serial Number:20697597 --

"Date Time, GMT -1000","Temp, (*F)","mV","pH","Water Detect","Button Down","Button Up","Host Connect","Start Calibration","Calibration Values","Calibration Buffers","End Calibration","Low Power","Safe Shutdown","Stopped","EOF"
2019-10-24 20:20:00,81.58,-71.38,8.07, , , , , , , , , , , , 
2019-10-24 20:30:00,81.40,-71.44,8.07, , , , , , , , , , , , 
2019-10-24 20:40:00,81.27,-71.47,8.07, , , , , , , , , , , , 
2019-10-24 20:44:25, , , ,Out,Logged, , , , , , , , , , 
2019-10-24 20:44:26, , , , , ,Logged, , , , , , , , , 
2019-10-24 20:46:59, , , , , , ,Logged, , , , , , , , 
2019-10-24 20:48:22, , , , , , ,Logged, , , , , , , , 
2019-10-24 20:49:10, , , ,In, , , , , , , , , , , 
2019-10-24 20:50:00,80.34,-71.41,8.07, , , , , , , , , , , , 
2019-10-24 21:00:00,81.00,-71.50,8.07, , , , , , , , , , , , 
2019-10-24 21:10:00,81.00,-71.53,8.07, , , , , , , , , , , , 
2019-10-24 21:20:00,80.91,-71.55,8.07, , , , , , , , , , , , 
2019-10-24 21:30:00,80.82,-71.56,8.07, , , , , , , , , , , , 
2019-10-24 21:40:00,80.78,-71.56,8.07, , , , , , , , , , , , 
2019-10-24 21:50:00,80.91,-71.56,8.07, , , , , , , , , , , , 
2019-10-24 22:00:00,81.05,-71.52,8.07, , , , , , , , , , , , 
2019-10-24 22:10:00,81.22,-71.50,8.07, , , , , , , , , , , , 
2019-10-24 22:20:00,81.22,-71.52,8.07, , , , , , , , , , , , 
2019-10-24 22:30:00,81.13,-71.50,8.07, , , , , , , , , , , , 
2019-10-24 22:40:00,81.05,-71.52,8.07, , , , , , , , , , , , 
2019-10-24 22:50:00,80.96,-71.52,8.07, , , , , , , , , , , , 
2019-10-24 23:00:00,80.87,-71.52,8.07, , , , , , , , , , , , 
2019-10-24 23:10:00,80.78,-71.52,8.07, , , , , , , , , , , , 
2019-10-24 23:20:00,80.78,-71.50,8.07, , , , , , , , , , , , 
2019-10-24 23:30:00,80.96,-71.49,8.07, , , , , , , , , , , , 
2019-10-24 23:40:00,81.09,-71.46,8.07, , , , , , , , , , , , 
2019-10-24 23:50:00,81.27,-71.46,8.07, , , , , , , , , , , , 
2019-10-25 00:00:00,81.22,-71.44,8.07, , , , , , , , , , , , 
2019-10-25 00:10:00,81.13,-71.44,8.07, , , , , , , , , , , , 
2019-10-25 00:20:00,81.00,-71.44,8.07, , , , , , , , , , , , 
2019-10-25 00:30:00,80.87,-71.42,8.07, , , , , , , , , , , , 
2019-10-25 00:40:00,80.78,-71.42,8.07, , , , , , , , , , , , 
2019-10-25 00:50:00,80.82,-71.42,8.07, , , , , , , , , , , , 
2019-10-25 01:00:00,80.91,-71.39,8.07, , , , , , , , , , , , 
2019-10-25 01:10:00,81.09,-71.36,8.07, , , , , , , , , , , , 
2019-10-25 01:20:00,81.18,-71.36,8.07, , , , , , , , , , , , 
2019-10-25 01:30:00,81.27,-71.33,8.07, , , , , , , , , , , , 
2019-10-25 01:40:00,81.22,-71.33,8.07, , , , , , , , , , , , 
2019-10-25 01:50:00,81.09,-71.33,8.07, , , , , , , , , , , , 
2019-10-25 02:00:00,80.96,-71.33,8.07, , , , , , , , , , , , 
2019-10-25 02:10:00,80.82,-71.31,8.07, , , , , , , , , , , , 
2019-10-25 02:20:00,80.78,-71.33,8.07, , , , , , , , , , , , 
2019-10-25 02:30:00,80.87,-71.31,8.07, , , , , , , , , , , , 
