"Plot Title: Site1_Mahana"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 20444035, SEN S/N: 20444035)","Coupler Detached (LGR S/N: 20444035)","Coupler Attached (LGR S/N: 20444035)","Host Connected (LGR S/N: 20444035)","Stopped (LGR S/N: 20444035)","End Of File (LGR S/N: 20444035)"
117,01/11/20 01:50:00  PM,74.295,,,,,
118,01/11/20 02:00:00  PM,74.163,,,,,
119,01/11/20 02:10:00  PM,74.077,,,,,
120,01/11/20 02:20:00  PM,73.990,,,,,
121,01/11/20 02:30:00  PM,73.990,,,,,
122,01/11/20 02:40:00  PM,73.990,,,,,
123,01/11/20 02:50:00  PM,73.904,,,,,
124,01/11/20 03:00:00  PM,73.861,,,,,
125,01/11/20 03:10:00  PM,73.990,,,,,
126,01/11/20 03:20:00  PM,73.861,,,,,
127,01/11/20 03:30:00  PM,74.163,,,,,
128,01/11/20 03:40:00  PM,74.250,,,,,
129,01/11/20 03:50:00  PM,74.511,,,,,
130,01/11/20 04:00:00  PM,74.640,,,,,
131,01/11/20 04:10:00  PM,77.378,,,,,
132,01/11/20 04:20:00  PM,83.824,,,,,
133,01/11/20 04:30:00  PM,84.317,,,,,
134,01/11/20 04:40:00  PM,84.407,,,,,
135,01/11/20 04:50:00  PM,84.407,,,,,
136,01/11/20 05:00:00  PM,84.452,,,,,
137,01/11/20 05:10:00  PM,84.407,,,,,
138,01/11/20 05:20:00  PM,84.317,,,,,
139,01/11/20 05:30:00  PM,84.182,,,,,
140,01/11/20 05:40:00  PM,84.137,,,,,
141,01/11/20 05:50:00  PM,84.137,,,,,
142,01/11/20 06:00:00  PM,84.137,,,,,
143,01/11/20 06:10:00  PM,84.137,,,,,
144,01/11/20 06:20:00  PM,84.137,,,,,
145,01/11/20 06:30:00  PM,84.094,,,,,
146,01/11/20 06:40:00  PM,84.049,,,,,
147,01/11/20 06:50:00  PM,83.959,,,,,
148,01/11/20 07:00:00  PM,83.914,,,,,
149,01/11/20 07:10:00  PM,83.914,,,,,
150,01/11/20 07:20:00  PM,83.914,,,,,
151,01/11/20 07:30:00  PM,83.914,,,,,
152,01/11/20 07:40:00  PM,83.914,,,,,
153,01/11/20 07:50:00  PM,83.914,,,,,
154,01/11/20 08:00:00  PM,83.914,,,,,
155,01/11/20 08:10:00  PM,83.869,,,,,
156,01/11/20 08:20:00  PM,83.824,,,,,
157,01/11/20 08:30:00  PM,83.779,,,,,
158,01/11/20 08:40:00  PM,83.779,,,,,
159,01/11/20 08:50:00  PM,83.779,,,,,
160,01/11/20 09:00:00  PM,83.736,,,,,
161,01/11/20 09:10:00  PM,83.779,,,,,
162,01/11/20 09:20:00  PM,83.779,,,,,
163,01/11/20 09:30:00  PM,83.736,,,,,
164,01/11/20 09:40:00  PM,83.736,,,,,
165,01/11/20 09:50:00  PM,83.736,,,,,
166,01/11/20 10:00:00  PM,83.736,,,,,
167,01/11/20 10:10:00  PM,83.691,,,,,
168,01/11/20 10:20:00  PM,83.691,,,,,
169,01/11/20 10:30:00  PM,83.691,,,,,
170,01/11/20 10:40:00  PM,83.601,,,,,
171,01/11/20 10:50:00  PM,83.467,,,,,
172,01/11/20 11:00:00  PM,83.467,,,,,
173,01/11/20 11:10:00  PM,83.422,,,,,
174,01/11/20 11:20:00  PM,83.377,,,,,
175,01/11/20 11:30:00  PM,83.287,,,,,
176,01/11/20 11:40:00  PM,83.199,,,,,
177,01/11/20 11:50:00  PM,83.064,,,,,
178,01/12/20 12:00:00  AM,83.021,,,,,
179,01/12/20 12:10:00  AM,82.931,,,,,
180,01/12/20 12:20:00  AM,82.931,,,,,
181,01/12/20 12:30:00  AM,82.976,,,,,
182,01/12/20 12:40:00  AM,82.976,,,,,
183,01/12/20 12:50:00  AM,82.976,,,,,
184,01/12/20 01:00:00  AM,82.931,,,,,
185,01/12/20 01:10:00  AM,82.841,,,,,
186,01/12/20 01:20:00  AM,82.753,,,,,
187,01/12/20 01:30:00  AM,82.841,,,,,
188,01/12/20 01:40:00  AM,82.886,,,,,
189,01/12/20 01:50:00  AM,82.931,,,,,
190,01/12/20 02:00:00  AM,82.976,,,,,
191,01/12/20 02:10:00  AM,82.976,,,,,
192,01/12/20 02:20:00  AM,82.931,,,,,
193,01/12/20 02:30:00  AM,82.931,,,,,
194,01/12/20 02:40:00  AM,82.931,,,,,
195,01/12/20 02:50:00  AM,82.841,,,,,
196,01/12/20 03:00:00  AM,82.753,,,,,
197,01/12/20 03:10:00  AM,82.753,,,,,
198,01/12/20 03:20:00  AM,82.753,,,,,
199,01/12/20 03:30:00  AM,82.753,,,,,
200,01/12/20 03:40:00  AM,82.753,,,,,
201,01/12/20 03:50:00  AM,82.753,,,,,
202,01/12/20 04:00:00  AM,82.798,,,,,
203,01/12/20 04:10:00  AM,82.753,,,,,
204,01/12/20 04:20:00  AM,82.753,,,,,
205,01/12/20 04:30:00  AM,82.753,,,,,
206,01/12/20 04:40:00  AM,82.753,,,,,
207,01/12/20 04:50:00  AM,82.708,,,,,
208,01/12/20 05:00:00  AM,82.753,,,,,
209,01/12/20 05:10:00  AM,82.708,,,,,
210,01/12/20 05:20:00  AM,82.708,,,,,
211,01/12/20 05:30:00  AM,82.708,,,,,
212,01/12/20 05:40:00  AM,82.708,,,,,
213,01/12/20 05:50:00  AM,82.665,,,,,
214,01/12/20 06:00:00  AM,82.665,,,,,
215,01/12/20 06:10:00  AM,82.665,,,,,
216,01/12/20 06:20:00  AM,82.665,,,,,
217,01/12/20 06:30:00  AM,82.708,,,,,
218,01/12/20 06:40:00  AM,82.708,,,,,
219,01/12/20 06:50:00  AM,82.708,,,,,
220,01/12/20 07:00:00  AM,82.708,,,,,
221,01/12/20 07:10:00  AM,82.708,,,,,
222,01/12/20 07:20:00  AM,82.708,,,,,
223,01/12/20 07:30:00  AM,82.753,,,,,
224,01/12/20 07:40:00  AM,82.753,,,,,
225,01/12/20 07:50:00  AM,82.931,,,,,
226,01/12/20 08:00:00  AM,82.753,,,,,
227,01/12/20 08:10:00  AM,82.486,,,,,
228,01/12/20 08:20:00  AM,82.886,,,,,
229,01/12/20 08:30:00  AM,83.467,,,,,
230,01/12/20 08:40:00  AM,84.049,,,,,
231,01/12/20 08:50:00  AM,84.497,,,,,
232,01/12/20 09:00:00  AM,84.227,,,,,
233,01/12/20 09:10:00  AM,84.587,,,,,
234,01/12/20 09:20:00  AM,85.172,,,,,
235,01/12/20 09:30:00  AM,85.894,,,,,
236,01/12/20 09:40:00  AM,85.532,,,,,
237,01/12/20 09:50:00  AM,84.542,,,,,
238,01/12/20 10:00:00  AM,84.094,,,,,
239,01/12/20 10:10:00  AM,83.199,,,,,
240,01/12/20 10:20:00  AM,83.064,,,,,
241,01/12/20 10:30:00  AM,83.021,,,,,
242,01/12/20 10:40:00  AM,83.064,,,,,
243,01/12/20 10:50:00  AM,83.109,,,,,
244,01/12/20 11:00:00  AM,83.154,,,,,
245,01/12/20 11:10:00  AM,83.199,,,,,
246,01/12/20 11:20:00  AM,83.199,,,,,
247,01/12/20 11:30:00  AM,83.242,,,,,
248,01/12/20 11:40:00  AM,83.332,,,,,
249,01/12/20 11:50:00  AM,83.377,,,,,
250,01/12/20 12:00:00  PM,83.422,,,,,
251,01/12/20 12:10:00  PM,83.467,,,,,
252,01/12/20 12:20:00  PM,83.467,,,,,
253,01/12/20 12:30:00  PM,83.422,,,,,
254,01/12/20 12:40:00  PM,83.422,,,,,
255,01/12/20 12:50:00  PM,83.422,,,,,
256,01/12/20 01:00:00  PM,83.377,,,,,
257,01/12/20 01:10:00  PM,83.377,,,,,
258,01/12/20 01:20:00  PM,83.332,,,,,
259,01/12/20 01:30:00  PM,83.332,,,,,
260,01/12/20 01:40:00  PM,83.377,,,,,
261,01/12/20 01:50:00  PM,83.377,,,,,
262,01/12/20 02:00:00  PM,83.422,,,,,
263,01/12/20 02:10:00  PM,83.511,,,,,
264,01/12/20 02:20:00  PM,83.556,,,,,
265,01/12/20 02:30:00  PM,83.556,,,,,
266,01/12/20 02:40:00  PM,83.556,,,,,
267,01/12/20 02:50:00  PM,83.556,,,,,
268,01/12/20 03:00:00  PM,83.556,,,,,
269,01/12/20 03:10:00  PM,83.601,,,,,
270,01/12/20 03:20:00  PM,83.601,,,,,
271,01/12/20 03:30:00  PM,83.601,,,,,
272,01/12/20 03:40:00  PM,83.511,,,,,
273,01/12/20 03:50:00  PM,83.556,,,,,
274,01/12/20 04:00:00  PM,83.556,,,,,
275,01/12/20 04:10:00  PM,83.556,,,,,
276,01/12/20 04:20:00  PM,83.601,,,,,
277,01/12/20 04:30:00  PM,83.601,,,,,
278,01/12/20 04:40:00  PM,83.556,,,,,
279,01/12/20 04:50:00  PM,83.556,,,,,
280,01/12/20 05:00:00  PM,83.511,,,,,
281,01/12/20 05:10:00  PM,83.467,,,,,
