ITS2 type profile UID		371130	374626	371295	373658	373007	372407	372013	372441	372784	372445	372514	372712	373659	373337	373107	372367	372476	373647	373754	372217	373799	372354	372228	373657	374685	372276	373813	372284	371902	372290	373573	373709	371964	373592	373082	372699	374632	372588	373359	374639	373362	373886	374381	374191	374286	374057	374025	374033	374415	374416	374078	374207	374343	374244	374391	374397	374560
Clade		A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	G
Majority ITS2 sequence		A1ee/A1	A1ee/A1	A1	C15	C42g/C1	C1d	C15	C1d	C1/C42g	C1d	C15	C3	C15	C3/C3u	C15	C42b/C42.2	C42a	C1d/C42g	C15	C15	C1d	C42a	C15	C15	C15	C15	C1l	C15	C1	C15	C15	C1	C15	C15	C3ae	C116	C15	C1d	C15h	C1	C15	C91	D1	D1	D1	D1	D4	D1	D1	D4	D1	D1	D1	D1	D1	D1	G3ae
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		22	22	2	87	55	39	26	23	21	20	18	15	10	8	6	5	5	4	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	123	6	2	2	1	1	1	1	1	1	1	1	1	1	1
ITS2 profile abundance DB		46	32	75	89	132	150	281	127	388	705	24	156	10	32	17	127	120	8	18	18	55	68	31	5	10	11	2	9	9	55	80	6	4	20	9	18	226	12	97	119	2	30	123	22	89	296	79	12	39	25	211	100	21	8	14	10	7
ITS2 type profile		A1/A1ee	A1/A1ee-A1ep-A1eq	A1/A1gb-A1ee	C15-C15kl-C15he-C15vz	C42g/C1/C42.2/C42a-C42h-C1b-C42b-C1ew-C42br	C1d-C42.2-C1-C1k-C1b-C3cg	C15-C15l-C15n-C15bb-C15.8	C1d/C42.2/C1/C3cg-C1b-C3cw-C115k-C45c	C1/C42.2/C42g/C42a-C1b-C1au-C1az-C3-C42h	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C15-C15l-C15bm-C15n	C3/C115d	C15-C15wa-C15kl-C15he-C15vz	C3/C3u/C115/C3fq-C3wm	C15/C15ev	C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3	C42a/C42.2/C1/C1b-C1j-C1au-C3	C1d/C42g-C42.2-C1-C42a-C1b	C15-C15bn-C15dq	C15-C15by-C15ai	C1d	C42.2/C1/C42a/C1j-C1b-C1ci-C1au	C15/C116	C15-C15kl-C15he	C15/C116-C15h	C15/C116ai-C116aj	C1l	C15-C15he	C1-C1c-C1b	C15-C15bn-C15by	C15/C93a	C15/C42a/C1-C42b	C15-C15l-C15n	C15-C15kl-C15pm	C3ae/C3f-C3bj	C116-C116af-C116ag-C116q	C15-C15bn-C15by-C15ai	C1d/C42.2	C15h/C3	C1-C1c-C1am-C1b-C1ao-C1an-C3cm-C42.2	C15-C15kl	C91	D1-D1u-D1jb	D1/D6-D1h-D1kg-D1ke-D1kf-D1kh	D1-D4-D4c-D17d-D1r-D17c-D17e-D17j	D1-D4-D2-D4c-D6	D1/D4	D1/D2-D4	D1	D4	D1-D4-D4c-D6-D1c	D1/D4-D17d-D17c-D17e-D1r-D17j-D17k-D17l	D1/D6-D1h-D1ke-D1kg-D1kf-D1kq	D1-D4-D2-D1c	D1/D4-D6-D2.2-D1h	D1-D17d-D1r-D17c	G3a/G3ae-G3ai-G3bi-G3bj
164481	ACR_343_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13964.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164448	ACR_228_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8428.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164447	ACR_228_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16446.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
