colony_id,species,site,cre.umol.L,cre.umol.mgprot,timepoint
ACR-139,Acropora,site1,163.77992242768704,0.5546236062909973,timepoint4
ACR-140,Acropora,site1,1541.2466514744394,NA,timepoint4
ACR-145,Acropora,site1,767.4860767823241,2.6734008103408082,timepoint4
ACR-150,Acropora,site1,206.64947993718494,0.5910688616010401,timepoint4
ACR-173,Acropora,site1,221.8585333515775,0.6808040612961721,timepoint4
ACR-175,Acropora,site1,207.44955067877876,0.641488890476313,timepoint4
ACR-178,Acropora,site1,1406.0359314389484,2.428632020294248,timepoint4
ACR-186,Acropora,site1,433.5150865281497,1.2656581435329126,timepoint4
ACR-190,Acropora,site1,131.60511446429547,NA,timepoint4
ACR-210,Acropora,site2,159.87371898210733,0.23839609352188812,timepoint4
ACR-213,Acropora,site2,1703.3754121846541,3.2945585293765545,timepoint4
ACR-218,Acropora,site2,724.1882878220451,0.8350794276568954,timepoint4
ACR-220,Acropora,site2,599.7125709823113,0.8527983463602267,timepoint4
ACR-225,Acropora,site2,286.6396761866582,0.7043737846312195,timepoint4
ACR-229,Acropora,site2,104.33471781855057,0.14964012206611993,timepoint4
ACR-237,Acropora,site2,917.5738573232636,1.3452757398929542,timepoint4
ACR-241,Acropora,site2,239.66355198751876,0.4917844723198611,timepoint4
ACR-244,Acropora,site2,920.019516446989,0.9735898247353896,timepoint4
ACR-265,Acropora,site2,213.05151908954068,NA,timepoint4
ACR-343,Acropora,site3,110.5417964232063,0.19212133480062055,timepoint4
ACR-364,Acropora,site3,148.8192107312044,NA,timepoint4
POC-200,Pocillopora,site2,125.33207935729183,0.09980020700259466,timepoint4
POC-201,Pocillopora,site2,204.25146181643976,NA,timepoint4
POC-205,Pocillopora,site2,754.6526507776565,0.6979558024964895,timepoint4
POC-207,Pocillopora,site2,462.42341761040007,0.5002335998966689,timepoint4
POC-219,Pocillopora,site2,190.71266046779306,0.15269713093121248,timepoint4
POC-222,Pocillopora,site2,109.77865373466187,0.10914519860704443,timepoint4
POC-238,Pocillopora,site2,172.53240023207508,0.13566808130388427,timepoint4
POC-239,Pocillopora,site2,181.17961258667424,0.20731049036053073,timepoint4
POC-248,Pocillopora,site2,283.36910907930127,0.19307902769063318,timepoint4
POC-254,Pocillopora,site2,169.31133775385752,0.13324646503106047,timepoint4
POC-255,Pocillopora,site2,978.6690852725221,0.4638147177910641,timepoint4
POC-257,Pocillopora,site2,213.84280671990865,0.29820836285285146,timepoint4
POC-259,Pocillopora,site2,112.10004961764945,0.0938960139940927,timepoint4
POC-358,Pocillopora,site3,1509.3337800701902,1.7930219047483882,timepoint4
POC-359,Pocillopora,site3,261.38995371747865,0.37218777239667644,timepoint4
POC-366,Pocillopora,site3,178.0077409091198,0.19276621971057492,timepoint4
POC-369,Pocillopora,site3,147.24843232894517,NA,timepoint4
POC-371,Pocillopora,site3,259.76659498332094,0.23635926477877325,timepoint4
POC-372,Pocillopora,site3,151.17627624743432,0.09338957335062299,timepoint4
POC-373,Pocillopora,site3,720.5386271132622,0.8290299940200657,timepoint4
POC-375,Pocillopora,site3,209.0507902177868,0.2834524077170225,timepoint4
POC-377,Pocillopora,site3,180.38610063796455,0.21600717477568468,timepoint4
POC-378,Pocillopora,site3,291.5500228893061,0.20624771263551694,timepoint4
POC-386,Pocillopora,site3,967.8022571946672,0.9082821536023249,timepoint4
POC-391,Pocillopora,site3,90.42567324587702,0.09012706031288847,timepoint4
POC-395,Pocillopora,site3,796.3504525396844,1.3106482572620697,timepoint4
POC-40,Pocillopora,site1,233.17308248147637,0.3353097947104837,timepoint4
POC-42,Pocillopora,site1,1421.367588260792,1.4932623865232488,timepoint4
POC-43,Pocillopora,site1,920.9006938935461,1.1090883246427201,timepoint4
POC-44,Pocillopora,site1,149.60981012727967,0.0750927036012542,timepoint4
POC-45,Pocillopora,site1,280.0985515382307,0.3771661534265583,timepoint4
POC-47,Pocillopora,site1,154.3250242442838,0.18322722306086925,timepoint4
POC-48,Pocillopora,site1,600.4242225633843,0.739646817008234,timepoint4
POC-52,Pocillopora,site1,203.45248829361023,0.17093585251681429,timepoint4
POC-53,Pocillopora,site1,673.0968370247651,0.403876263401871,timepoint4
POC-55,Pocillopora,site1,221.8563320447546,0.13499142059566033,timepoint4
POC-57,Pocillopora,site1,170.88570003222105,0.09637309511709251,timepoint4
POC-68,Pocillopora,site1,695.0621664963826,1.3616498649816176,timepoint4
POR-209,Porites,site2,190.7082969389625,0.27885149756348193,timepoint4
POR-214,Porites,site2,967.7502062340847,1.9458135823224083,timepoint4
POR-216,Porites,site2,245.20525945716997,0.1815721926521109,timepoint4
POR-221,Porites,site2,1055.2219855069006,1.7088508104068982,timepoint4
POR-224,Porites,site2,192.30077341942848,0.19407003852454952,timepoint4
POR-240,Porites,site2,567.6051926325254,1.1773103384891326,timepoint4
POR-242,Porites,site2,162.99003099165287,NA,timepoint4
POR-245,Porites,site2,368.44326873925263,0.1816458228504018,timepoint4
POR-251,Porites,site2,154.32754300395405,0.27115836773679936,timepoint4
POR-253,Porites,site2,151.9729914793176,0.21289124800976283,timepoint4
POR-260,Porites,site2,161.4502723554021,0.11009048468170915,timepoint4
POR-262,Porites,site2,408.8272080905514,0.3897748748995671,timepoint4
POR-338,Porites,site3,72.69312736294424,0.051107029998361087,timepoint4
POR-340,Porites,site3,971.6860172073697,0.8812663109330299,timepoint4
POR-341,Porites,site3,454.5101630305362,0.2331784850492011,timepoint4
POR-349,Porites,site3,932.0409991153965,0.6457756285392733,timepoint4
POR-353,Porites,site3,410.51763604177154,0.3768427894812153,timepoint4
