,colony_id,weight1.g,weight2.g,Notes,delta.mass.g,surface.area.cm2
1,ACR-220,3.7848,4.4784,NA,0.6936,32.81345878
2,POC-222,14.9602,16.1381,NA,1.1779,54.40070725
3,POC-239,10.032,10.9075,NA,0.8755,40.92149202
4,POC-248,20.1353,21.9104,NA,1.7751,81.02037437
5,POC-255,15.358,16.7589,NA,1.4009,64.340737
6,POR-240,3.7084,3.8819,NA,0.1735,9.630456651
7,POR-221,4.7809,4.9508,NA,0.1699,9.469989803
8,ACR-237,4.8848,5.8073,NA,0.9225,43.01647586
9,ACR-234,6.183,6.9676,NA,0.7846,36.8697041
10,POC-359,24.1937,26.2461,NA,2.0524,93.38077908
11,POC-257,10.3257,11.333,NA,1.0073,46.79636162
12,ACR-213,3.223,3.8446,NA,0.6216,29.60412182
13,ACR-256,18.9022,20.288,NA,1.3858,63.66766772
14,ACR-229,3.7476,4.2747,NA,0.5271,25.39186706
15,POR-245,10.3903,10.7175,NA,0.3272,16.48149958
16,POR-214,6.2711,6.5112,NA,0.2401,12.59909334
17,POR-262,12.5819,12.8958,NA,0.3139,15.88866372
18,POR-251,4.0902,4.2782,NA,0.188,10.27678146
19,ACR-267,3.4005,3.8514,NA,0.4509,21.99531877
20,ACR-241,4.0105,4.627,NA,0.6165,29.37679378
21,ACR-218,3.7686,4.4621,NA,0.6935,32.80900137
22,ACR-375,10.1235,10.7298,NA,0.6063,28.92213771
23,POC-254,19.1366,20.9851,NA,1.8485,84.29211511
24,POR-216,7.274,7.6704,NA,0.3964,19.56602899
25,ACR-210,3.6869,4.5208,NA,0.8339,39.06720844
26,ACR-343,12.1398,13.1195,NA,0.9797,45.56611578
27,POR-224,6.1573,6.4172,NA,0.2599,13.481661
28,POC-238,24.3947,25.9851,NA,1.5904,72.78753358
29,POR-260,10.1906,10.5188,NA,0.3282,16.5260737
30,POC-219,19.6782,20.9128,NA,1.2346,56.92806011
31,POC-358,11.805,12.8064,NA,1.0014,46.53337428
32,POR-252,23.1128,23.7275,NA,0.6147,29.29656036
33,POC-57,22.2164,24.6216,NA,2.4052,109.1065302
34,POC-369,11.2928,12.3144,NA,1.0216,47.4337716
35,POR-74,17.1687,17.5348,NA,0.3661,18.21543302
36,ACR-344,3.4102,4.0948,NA,0.6846,32.41229166
37,POR-357,6.0343,6.3408,NA,0.3065,15.5588152
38,ACR-389,6.2224,6.604,NA,0.3816,18.90633195
39,POC-44,12.1467,13.4044,NA,1.2577,57.95772238
40,POR-83,26.1446,27.1999,NA,1.0553,48.93591959
41,POR-76,52.271,53.5816,NA,1.3106,60.31569356
42,POR-70,11.6472,12.0126,NA,0.3654,18.18423113
43,POC-391,29.715,32.074,NA,2.359,107.0472056
44,ACR-145,8.7847,9.472,NA,0.6873,32.53264179
45,POR-341,15.9021,16.2968,NA,0.3947,19.49025298
46,POR-384,9.0867,9.3986,NA,0.3119,15.79951547
47,POR-71,10.1102,10.4667,NA,0.3565,17.78752143
48,POC-205,22.5862,24.0189,NA,1.4327,65.75819416
49,ACR-187,15.7038,16.6931,NA,0.9893,45.99402738
50,ACR-175,9.3572,10.043,NA,0.6858,32.46578061
51,POC-45,12.1469,13.2617,NA,1.1148,51.58808
52,POC-68,12.9756,14.1647,NA,1.1891,54.89993744
53,POR-79,13.0636,13.6262,NA,0.5626,26.97424847
54,POC-50,20.198,21.6757,NA,1.4777,67.76402976
55,POR-385,13.0279,13.4157,NA,0.3878,19.18269152
56,POC-43,18.2346,19.8027,NA,1.5681,71.79353061
