"","colony_id","cre.umol.mgprot","timepoint","Host_AFDW.mg.cm2","Sym_AFDW.mg.cm2","Host_DW.mg.cm2","Sym_DW.mg.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_ug.cm2","surface.area.cm2","cells.cm2","Am","AQY","Rd","month","colony_id_corr","site","species","nutrient","site_code","mgprot","mgafdw","cells","cells.mgprot","cells.mgAFDW","chla.ug.mgprot","chla.ug.mgAFDW","chlc2.ug.mgprot","chlc2.ug.mgAFDW","prot_mg.cm2","prot_mg.mgafdw","cre.umol.mgafdw","cre.umol.cm2","chla.ug.cell","chlc2.ug.cell"
"1","ACR-140",0.163599185672521,"timepoint1",0.851249110439277,0.818508760037734,193.904725252943,238.206511889987,0.811578037112132,0.529006304156199,NA,24.4346804536063,403797.654951958,NA,NA,NA,"January 2020","ACR-140","Manava","Acropora","High","Manava High",NA,20.8000000000004,9866666.66666667,NA,474358.974358966,NA,0.953396634615367,NA,0.621447115384604,NA,NA,NA,NA,2.00986317567567e-06,1.3100777027027e-06
"2","ACR-140",0.126548043687629,"timepoint2",1.05579894987589,0.879832458229903,132.425782869328,159.772075461686,1.18447994584487,0.296539281617092,411.540958683752,18.18528045,649334.684016547,NA,NA,NA,"March 2020","ACR-140","Manava","Acropora","High","Manava High",7.48398775032588,19.2000000023085,11808333.334753,1577813.02277504,615017.361111108,2.87815810516951,1.12188020833333,0.720558368152531,0.280867187499998,0.411540958683752,0.38979102861594,0.0493272921183357,0.05207970321876,1.82414396612562e-06,4.56681721947777e-07
"3","ACR-140",0.232718128949083,"timepoint3",0.216634099922406,0.220019007733712,161.90691042951,197.069332773166,0.791218815980671,0.804426726260315,321.536629305096,24.3728942114429,273425.330978456,0.486589501711009,0.00147883886762651,0.191328021380226,"September 2020","ACR-140","Manava","Acropora","High","Manava High",7.83677825115702,5.27999999999995,6664166.66666667,850370.707590555,1262152.77777779,2.46074239719018,3.65232812500003,2.5018198641904,3.71329687500003,0.321536629305096,1.48423830514339,0.345409161287528,0.0748274027604769,2.89372902338376e-06,2.94203438789545e-06
"4","ACR-140",NA,"timepoint4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"November 2020","ACR-140","Manava","Acropora","High","Manava High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ACR-150",0.0887758138938659,"timepoint1",1.07595203803725,1.29386637485489,163.680906242171,196.156952251029,1.68067623989656,0.880642908752889,NA,32.3062727437271,909111.373911209,NA,NA,NA,"January 2020","ACR-150","Manava","Acropora","High","Manava High",NA,34.7600000000003,29370000,NA,844936.708860751,NA,1.56203639240505,NA,0.818477848101258,NA,NA,NA,NA,1.84870224719101e-06,9.68685393258427e-07
"6","ACR-150",0.00205208212232249,"timepoint2",1.67263577892212,0.818137065777109,287.063085420224,346.31438980617,2.39222065978315,0.592676671272625,675.622686725414,21.45117332,1825657.71159522,NA,NA,NA,"March 2020","ACR-150","Manava","Acropora","High","Manava High",14.4928993518709,35.8799999948916,39162499.9944236,2702185.32838759,1091485.50724636,3.54076425612303,1.43021014492752,0.877230269079906,0.354336956521734,0.675622686725414,0.403926960811994,0.00082889129500635,0.00138643323686471,1.31033360995851e-06,3.24637344398341e-07
"7","ACR-150",0.324109026167633,"timepoint3",1.02466753543076,1.15967440665303,166.3976996388,204.535409901775,1.54867074322023,0.438907338343678,515.840067104779,32.4983459010454,385981.183109891,0.831654972309863,0.00247636655320752,0.415152991108783,"September 2020","ACR-150","Manava","Acropora","High","Manava High",16.7639489303896,33.3000000000006,12543750,748257.469173076,376689.189189183,3.00223042368994,1.51138851351349,0.850859338645608,0.42834121621621,0.515840067104779,0.503421889801481,0.163163578455027,0.167188421807576,4.01229596412556e-06,1.13712107623319e-06
"8","ACR-150",0.590502693638326,"timepoint4",2.71747207233151,1.36755899743958,211.874592029118,258.843626370211,0.824885118371712,0.248053144732349,308.76410529198,31.1686735854219,445559.544327078,0.975636765597821,0.00215286462818937,0.169811815888331,"November 2020","ACR-150","Manava","Acropora","High","Manava High",9.62376761274056,84.7000000000007,13887500,1443041.91028208,163961.038961038,2.67157063996045,0.303548701298699,0.803374292804468,0.0912808441558434,0.30876410529198,0.113621813609687,0.067093986992592,0.182326035873742,1.85134653465346e-06,5.56722772277228e-07
"9","ACR-173",0.12499655706148,"timepoint1",1.2823275970711,0.948660722322996,310.297108540255,376.094907743033,2.34579262301462,3.9077297898808,NA,22.9270586292849,800364.333546101,NA,NA,NA,"January 2020","ACR-173","Manava","Acropora","High","Manava High",NA,29.399999999999,18350000,NA,624149.659863966,NA,1.8293239795919,NA,3.0473724489797,NA,NA,NA,NA,2.93090599455041e-06,4.8824386920981e-06
"10","ACR-173",0.12499655706148,"timepoint1",1.2823275970711,0.948660722322996,310.297108540255,376.094907743033,1.79468289697846,1.94549378187687,NA,22.9270586292849,800364.333546101,NA,NA,NA,"January 2020","ACR-173","Manava","Acropora","High","Manava High",NA,29.399999999999,18350000,NA,624149.659863966,NA,1.39955102040821,NA,1.51715816326536,NA,NA,NA,NA,2.24233242506812e-06,2.43076021798366e-06
