"","Date","Run.Number","Start.Time","Stop.Time","Chamber","Channel","Position","Species","colony_id","Plug.ID","Site","Vol.L","Temp.C","pH.mV","Salinity.chamber","TA.Start.Time","TA.Stop.Time","Notes","titration.run","TA","Mass","Salinity.lab","sample.type","surface.area.cm2","Ta.norm","Ta.norm_initial_avg","delta.TA.blank","start.time","stop.time","deltaTA","timediff","umol.cm2.hr","timepoint"
"1","20201102","1","13:45","15:15","10","10","10","Acropora","ACR-234","ACR-234","2",0.6,26.076,-52.6,37.68,"13:29","15:27","","data/4_calcification/raw_files/TA_Output_20220406_Run1_PutnamLab.csv",2233.43928101826,54.75,38.98,"Sample",36.8697041026317,2418.31842150255,2488.38443277977,-19.4366725274053,2022-04-13 13:29:00,2022-04-13 15:27:00,89.5026838046283,118,0.00631366140005055,"timepoint4"
"2","20201102","1","13:45","15:15","6","6","12","Acropora","ACR-237","ACR-237","2",0.605,25.84,-55.1,38.39,"13:30","15:14","","data/4_calcification/raw_files/TA_Output_20220329_Run1_PutnamLab.csv",2158.403012,60.309,38.53,"Sample",43.0164758643458,2310.09077923222,2488.38443277977,-19.4366725274053,2022-04-13 13:30:00,2022-04-13 15:14:00,197.730326074955,104,0.0136774812512229,"timepoint4"
"3","20201102","1","13:45","15:15","5","5","6","Acropora","ACR-244","ACR-244","2",0.6,26.016,-53,37.91,"13:32","15:30","","data/4_calcification/raw_files/TA_Output_20220329_Run1_PutnamLab.csv",2278.364669,60.471,38.31,"Sample",32.4122916575889,2424.55973526083,2488.38443277977,-19.4366725274053,2022-04-13 13:32:00,2022-04-13 15:30:00,83.2613700463439,118,0.00668111113189006,"timepoint4"
"4","20201102","1","13:45","15:15","11","4","4","Pocillopora","POC-200","POC-200","2",0.605,26.323,-53.9,37.85,"13:36","15:41","","data/4_calcification/raw_files/TA_Output_20220406_Run3_PutnamLab.csv",2309.16733300444,56.301,39.63,"Sample",48.3787430357323,2542.00837241572,2488.38443277977,-19.4366725274053,2022-04-13 13:36:00,2022-04-13 15:41:00,-34.1872671085439,125,0,"timepoint4"
"5","20201102","1","13:45","15:15","1","1","1","Pocillopora","POC-205","POC-205","2",0.6,26.248,-55.9,37.87,"13:35","15:38","","data/4_calcification/raw_files/TA_Output_20220406_Run3_PutnamLab.csv",2280.55671337938,54.129,39.67,"Sample",65.7581941589542,2513.04680054889,2488.38443277977,-19.4366725274053,2022-04-13 13:35:00,2022-04-13 15:38:00,-5.22569524171195,123,0,"timepoint4"
"6","20201102","1","13:45","15:15","3","3","3","Pocillopora","POC-207","POC-207","2",0.6,26.041,-54.7,37.72,"13:30","15:33","","data/4_calcification/raw_files/TA_Output_20220325_Run2_PutnamLab.csv",2324.88340641967,60.167,38.34,"Sample",51.2002851134445,2476.00082783695,2488.38443277977,-19.4366725274053,2022-04-13 13:30:00,2022-04-13 15:33:00,31.8202774702286,123,0.00155068419314358,"timepoint4"
"7","20201102","1","13:45","15:15","9","9","9","Porites","POR-209","POR-209","2",0.6,26.231,-54.7,38.23,"13:28","15:19","","data/4_calcification/raw_files/TA_Output_20220325_Run1_PutnamLab.csv",2285.07297960564,59.812,38.64,"Sample",16.8559222243894,2452.64499811005,2488.38443277977,-19.4366725274053,2022-04-13 13:28:00,2022-04-13 15:19:00,55.1761071971237,111,0.00905049739423978,"timepoint4"
"8","20201102","1","13:45","15:15","7","7","7","Porites","POR-214","POR-214","2",0.595,26.204,-54.3,37.83,"13:31","15:25","","data/4_calcification/raw_files/TA_Output_20220331_Run1_PutnamLab.csv",2200.744098,59.989,38.69,"Sample",12.5990933393735,2365.188587545,2488.38443277977,-19.4366725274053,2022-04-13 13:31:00,2022-04-13 15:25:00,142.632517762177,114,0.0302229607779522,"timepoint4"
"9","20201102","1","13:45","15:15","8","8","8","Porites","POR-216","POR-216","2",0.605,26,-53.5,37.9,"13:32","15:22","","data/4_calcification/raw_files/TA_Output_20220331_Run1_PutnamLab.csv",2277.598536,59.841,38.71,"Sample",19.5660289909754,2449.05109246,2488.38443277977,-19.4366725274053,2022-04-13 13:32:00,2022-04-13 15:22:00,58.770012847177,110,0.00845009167259126,"timepoint4"
"11","20201102","2","18:48","20:18","1","1","1","Acropora","ACR-210","ACR-210","2",0.61,26.16,-54.3,37.69,"18:41","20:26","","data/4_calcification/raw_files/TA_Output_20220331_Run1_PutnamLab.csv",2286.122981,60.5,38.62,"Sample",39.0672084380379,2452.50193128389,2499.52174495688,40.4900091034779,2022-04-13 18:41:00,2022-04-13 20:26:00,6.52980456951173,105,0.000496676918282794,"timepoint4"
