"","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"1","ACR-139","0",9,-3.47946612502654e-05,-0.125260780500956,"timepoint4"
"2","ACR-139","102",9,-4.13472124579447e-06,-0.0148849964848601,"timepoint4"
"3","ACR-139","1048",9,8.14950175517722e-05,0.29338206318638,"timepoint4"
"4","ACR-139","175",9,1.39226255923453e-05,0.0501214521324429,"timepoint4"
"5","ACR-139","18",9,-4.08275135884247e-05,-0.146979048918329,"timepoint4"
"6","ACR-139","253",9,2.53264170016972e-05,0.09117510120611,"timepoint4"
"7","ACR-139","528",9,5.58554039057953e-05,0.201079454060863,"timepoint4"
"8","ACR-139","74",9,-1.85425048967087e-05,-0.0667530176281513,"timepoint4"
"9","ACR-139","765",9,6.25059537364583e-05,0.22502143345125,"timepoint4"
"10","ACR-139","905",9,7.92855141254448e-05,0.285427850851601,"timepoint4"
"11","ACR-145","0",9,-3.46315732715608e-05,-0.124673663777619,"timepoint4"
"12","ACR-145","102",9,1.91649082898176e-05,0.0689936698433432,"timepoint4"
"13","ACR-145","1048",9,0.00017064466951806,0.614320810265016,"timepoint4"
"14","ACR-145","175",9,4.83007243498071e-05,0.173882607659305,"timepoint4"
"15","ACR-145","18",9,-3.99146109534622e-05,-0.143692599432464,"timepoint4"
"16","ACR-145","253",9,7.17449802712544e-05,0.258281928976516,"timepoint4"
"17","ACR-145","528",9,0.000120745489341161,0.434683761628181,"timepoint4"
"18","ACR-145","74",9,-6.43694175590978e-06,-0.0231729903212752,"timepoint4"
"19","ACR-145","765",9,0.000147643995285851,0.531518383029065,"timepoint4"
"20","ACR-145","905",9,0.000158080671753228,0.56909041831162,"timepoint4"
"21","ACR-150","0",9,-4.0816976954948e-05,-0.146941117037813,"timepoint4"
"22","ACR-150","102",9,1.88908234573585e-05,0.0680069644464906,"timepoint4"
"23","ACR-150","1048",9,0.000203824617258687,0.733768622131272,"timepoint4"
"24","ACR-150","175",9,5.38421032351428e-05,0.193831571646514,"timepoint4"
"25","ACR-150","18",9,-4.48799530897629e-05,-0.161567831123146,"timepoint4"
"26","ACR-150","253",9,8.53867281765911e-05,0.307392221435728,"timepoint4"
"27","ACR-150","528",9,0.000153340580568409,0.552026090046271,"timepoint4"
"28","ACR-150","74",9,-9.00485579060374e-06,-0.0324174808461735,"timepoint4"
"29","ACR-150","765",9,0.000183934016357962,0.662162458888662,"timepoint4"
"30","ACR-150","905",9,0.000197348575215932,0.710454870777354,"timepoint4"
"31","ACR-173","0",10,-5.00800602118022e-05,-0.180288216762488,"timepoint4"
"32","ACR-173","102",10,2.65222350094377e-05,0.0954800460339759,"timepoint4"
"33","ACR-173","1048",10,0.00013210189344485,0.47556681640146,"timepoint4"
"34","ACR-173","175",10,5.03931325119562e-05,0.181415277043042,"timepoint4"
"35","ACR-173","18",10,-2.50240413609702e-05,-0.0900865488994927,"timepoint4"
"36","ACR-173","253",10,7.21494826201191e-05,0.259738137432429,"timepoint4"
"37","ACR-173","528",10,0.000105120725634397,0.37843461228383,"timepoint4"
"38","ACR-173","74",10,8.09020159691129e-06,0.0291247257488806,"timepoint4"
"39","ACR-173","765",10,0.000120726706385497,0.43461614298779,"timepoint4"
"40","ACR-173","905",10,0.000127080028967327,0.457488104282378,"timepoint4"
"41","ACR-175","0",10,-2.43681538956414e-05,-0.087725354024309,"timepoint4"
"42","ACR-175","102",10,2.73467576468251e-05,0.0984483275285702,"timepoint4"
"43","ACR-175","1048",10,0.000159711494889104,0.574961381600774,"timepoint4"
"44","ACR-175","175",10,5.99458932886614e-05,0.215805215839181,"timepoint4"
"45","ACR-175","18",10,-2.09966404147938e-05,-0.0755879054932578,"timepoint4"
"46","ACR-175","253",10,8.31495008839242e-05,0.299338203182127,"timepoint4"
"47","ACR-175","528",10,0.000125829224869373,0.452985209529743,"timepoint4"
"48","ACR-175","74",10,1.05450765987144e-05,0.0379622757553717,"timepoint4"
"49","ACR-175","765",10,0.000143792098439775,0.51765155438319,"timepoint4"
