colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-139,Host,site1,Acropora,0.9062688664476006,timepoint4,166.51274375870824
ACR-139,Sym,site1,Acropora,0.6726214243165951,timepoint4,204.58311637502655
ACR-145,Host,site1,Acropora,2.069306280968385,timepoint4,246.60278285721725
ACR-145,Sym,site1,Acropora,1.7244219008070283,timepoint4,305.3794420701766
ACR-150,Host,site1,Acropora,2.7174720723315056,timepoint4,211.87459202911774
ACR-150,Sym,site1,Acropora,1.3675589974395783,timepoint4,258.8436263702108
ACR-173,Host,site1,Acropora,1.019940310523989,timepoint4,237.78608415941437
ACR-173,Sym,site1,Acropora,0.7999531847246536,timepoint4,285.33330157648817
ACR-175,Host,site1,Acropora,1.381146522946331,timepoint4,216.331160646757
ACR-175,Sym,site1,Acropora,0.7723516740160925,timepoint4,262.4632718112221
ACR-176,Host,site1,Acropora,1.0463903193838302,timepoint4,158.72019236932428
ACR-176,Sym,site1,Acropora,0.7119427805934504,timepoint4,192.87026630541797
ACR-178,Host,site1,Acropora,0.7155300109923243,timepoint4,98.70986105131324
ACR-178,Sym,site1,Acropora,0.7592106221284696,timepoint4,119.82007640468854
ACR-180,Host,site1,Acropora,0.5053040271432707,timepoint4,94.57080683003113
ACR-180,Sym,site1,Acropora,0.5033301832872294,timepoint4,113.80196751931551
ACR-185,Host,site1,Acropora,1.374256407123189,timepoint4,124.50554827868572
ACR-185,Sym,site1,Acropora,0.7027447536425208,timepoint4,151.71478403638662
ACR-186,Host,site1,Acropora,1.866765455352126,timepoint4,198.91790130881057
ACR-186,Sym,site1,Acropora,0.9912028966471979,timepoint4,237.99194549705618
ACR-187,Host,site1,Acropora,1.1034041351351205,timepoint4,91.70429815526467
ACR-187,Sym,site1,Acropora,0.6468231136998989,timepoint4,108.58067416006412
ACR-210,Host,NA,NA,1.354588723274962,timepoint4,110.81365096424155
ACR-210,Sym,NA,NA,0.7775062824920119,timepoint4,200.26834045255768
ACR-213,Host,NA,NA,1.4896574292016316,timepoint4,132.21537271625203
