colony_id,prot_ug,prot_ug.cm2
ACR-139,7384.99182424215,209.14963027146314
ACR-145,9763.189535215475,300.10441814831404
ACR-150,9623.767612740563,308.7641052466283
ACR-173,11413.577943114615,326.0831437220617
ACR-175,9546.251074472402,294.04039869387884
ACR-176,21753.6184733965,288.1364023107048
ACR-178,9294.92293614873,241.67137753994302
ACR-185,9733.382620258104,266.66992481576904
ACR-186,13370.077623160192,283.1722151237957
ACR-187,12520.02930496768,272.2098937222418
ACR-225,10189.798396926279,306.9924793804099
ACR-229,7004.887998142017,275.87132453039936
ACR-231,NA,NA
ACR-234,12065.959356354957,327.25945734820687
ACR-244,13324.052993455913,NA
ACR-256,22072.35241456783,346.6807125971448
ACR-267,7481.9355138225255,340.1603583043923
ACR-343,11546.645717234205,253.4042131873415
ACR-368,14068.836083817365,NA
ACR-389,5186.897300215855,274.3470977836002
ACR-390,9933.083640766927,296.156189718251
ACR-393,4604.728164108672,NA
POC-200,22198.69897441493,458.85233016618133
POC-205,21807.320281699376,331.6289408531923
POC-207,NA,NA
POC-219,25229.57576321165,443.18347954350577
POC-222,22805.38456146631,419.2111778375144
POC-238,28264.254194792957,388.31174522115134
POC-239,13193.681842980546,322.4144866597791
POC-248,33418.532504029485,412.4707243565096
POC-254,25673.081156939315,304.5727482746911
POC-255,30058.090568972642,467.17044240529356
POC-257,27021.781747438246,577.4333903747248
POC-259,15065.35523729783,165.3822899031567
POC-346,30390.51072328639,499.6114099313665
POC-358,23290.648874998817,500.5149365454273
POC-359,41984.26272532645,449.6028319635053
POC-366,38588.03126149372,498.92073906255246
POC-371,32700.82582804485,391.34030116128935
POC-372,36088.590585614795,454.1969286164661
POC-373,50294.56184703014,401.506424410863
POC-377,18903.312411426206,288.26817386752055
POC-378,37177.13954414641,NA
POC-386,40288.930598921885,546.6184772842954
POC-391,40441.55030831165,377.79174226582194
POC-394,19880.42327190989,223.00911270015268
POC-395,28968.922969978747,461.9884313113122
POC-40,34931.27589146777,428.97065140095935
POC-42,59919.26777616078,635.4178086537208
POC-43,37588.8629916432,523.5689437790027
POC-44,40505.99646464805,698.8886864647708
POC-45,33216.82207811918,643.885604545065
POC-47,38133.80274908305,464.5356499926394
POC-48,51030.9882185972,629.2306507829835
POC-50,31874.653128270893,470.3771785881303
POC-52,25231.62231774934,302.82646942452004
POC-53,30411.841968353336,479.8827946355089
POC-55,46642.12810610891,NA
POC-57,44980.60042104551,412.2631371247246
POC-68,24312.49640075207,442.8510766031953
POR-209,15114.046050428937,896.6608799663135
POR-214,21191.812220522414,1682.010891469625
POR-216,23891.915291837708,1221.091684165889
POR-221,16736.655389711854,1767.3361574697624
POR-224,19967.88336579645,1481.1144832818782
POR-240,12082.08301937417,1254.570105782014
POR-245,47438.15557518982,2878.2669528903275
POR-251,12562.894505677585,1222.4541851527886
POR-253,12552.790831819822,1370.028813381116
POR-260,44523.92479601368,2694.1623040210497
POR-262,23791.86557689762,1497.411361721338
POR-338,31655.42234088396,2929.101217785687
POR-340,32808.12610712204,3057.1977003060483
POR-341,63383.795889369096,3252.0766125719674
POR-349,47460.28713263054,2144.2740741584116
POR-353,28564.81412193941,NA
POR-354,38793.572676606935,NA
POR-357,21795.34107576248,1400.8355260728645
POR-362,38221.23281662168,2182.6782907966603
POR-365,35958.58022626252,NA
POR-367,22343.40975163139,NA
POR-381,33900.47674097263,1637.8456820537951
POR-383,15174.746801199535,1629.2440184826446
POR-384,24383.765477332872,1543.3236242992757
POR-69,40621.21056792196,1848.6848380342121
POR-70,63347.924620914906,3483.673528346475
POR-71,43344.348472075304,2436.7840478871767
POR-72,38247.90942182003,2013.9994483056505
POR-73,51032.79999073216,3511.3642650978186
POR-75,68622.37103336152,NA
POR-76,103142.39560947979,1710.0424370794517
POR-79,58325.16649706726,2162.2536235600733
POR-81,30528.187640501365,2532.3480498770627
POR-82,81855.74679203644,2423.789695951998
