colony_id,site,species,cells.cm2,timepoint
ACR-139,site1,Acropora,215946.87833321714,timepoint4
ACR-145,site1,Acropora,395978.36240752233,timepoint4
ACR-150,site1,Acropora,445559.54432707775,timepoint4
ACR-173,site1,Acropora,279983.6146536418,timepoint4
ACR-175,site1,Acropora,230191.08715772754,timepoint4
ACR-176,site1,Acropora,249455.92002188723,timepoint4
ACR-178,site1,Acropora,277337.21356291656,timepoint4
ACR-180,site1,Acropora,214820.00633108732,timepoint4
ACR-185,site1,Acropora,278495.14311019675,timepoint4
ACR-186,site1,Acropora,308833.12474238384,timepoint4
ACR-187,site1,Acropora,257778.03501863667,timepoint4
ACR-210,NA,NA,246114.33435920483,timepoint4
ACR-213,NA,NA,224483.09870608017,timepoint4
ACR-219,NA,NA,NA,timepoint4
ACR-220,NA,NA,181624.3225868907,timepoint4
ACR-225,site2,Acropora,248237.50366539432,timepoint4
ACR-229,site2,Acropora,157530.75546104767,timepoint4
ACR-234,site2,Acropora,187687.9722369688,timepoint4
ACR-237,site2,Acropora,226947.92643605772,timepoint4
ACR-241,NA,NA,243578.50650858312,timepoint4
ACR-244,site2,Acropora,NA,timepoint4
ACR-256,site2,Acropora,196086.57654097068,timepoint4
ACR-267,site2,Acropora,218682.89564368123,timepoint4
ACR-343,site3,Acropora,196539.8059870258,timepoint4
ACR-368,site3,Acropora,94534.60206739925,timepoint4
ACR-389,site3,Acropora,288505.63652514166,timepoint4
ACR-390,site3,Acropora,301555.2038867964,timepoint4
ACR-393,site3,Acropora,198356.71967027,timepoint4
ACR-398,NA,NA,NA,timepoint4
POC-200,site2,Pocillopora,103394.23927651068,timepoint4
POC-205,site2,Pocillopora,65289.70857921155,timepoint4
POC-207,site2,Pocillopora,NA,timepoint4
POC-219,site2,Pocillopora,110470.80960169034,timepoint4
POC-222,site2,Pocillopora,91818.65921592723,timepoint4
POC-238,site2,Pocillopora,64379.15628150103,timepoint4
POC-239,site2,Pocillopora,73922.03585534422,timepoint4
POC-248,site2,Pocillopora,83196.66568253879,timepoint4
POC-254,site2,Pocillopora,64458.38174230991,timepoint4
POC-255,site2,Pocillopora,77607.64899572563,timepoint4
POC-257,site2,Pocillopora,203675.02238435487,timepoint4
POC-259,site2,Pocillopora,41051.86006118429,timepoint4
POC-346,site3,Pocillopora,140650.9160851029,timepoint4
POC-358,site3,Pocillopora,148728.37914506538,timepoint4
POC-359,site3,Pocillopora,139966.34848532928,timepoint4
POC-366,site3,Pocillopora,120013.00148835481,timepoint4
POC-369,site3,Pocillopora,167602.10567861688,timepoint4
