species,site,Am,AQY,Rd,timepoint
Acropora,site1,0.7990368613108545,0.0022016396825145345,0.22023653685294797,timepoint4
Acropora,site2,1.8516061286822656,0.0031610166958928954,0.4633203829395181,timepoint4
Acropora,site3,0.6497268678531952,0.0018540728585567548,0.18661561705905655,timepoint4
Pocillopora,site1,0.83609790181194,0.002988082895513694,0.3727609580325727,timepoint4
Pocillopora,site2,0.9119672366998159,0.0021245638528963164,0.38040022300255993,timepoint4
Pocillopora,site3,0.7722371463765605,0.002383048343255274,0.36002169461964645,timepoint4
Porites,site1,2.1705574721884124,0.00534230686898595,0.645858593692657,timepoint4
Porites,site2,1.9943527550079403,0.005696431506696088,0.6142453148690392,timepoint4
Porites,site3,1.7555508554942654,0.005523206545049786,0.6603726055232868,timepoint4
NA,NA,0.8620284200045263,0.0024816202894355132,0.34332622361765736,timepoint4
