SampleID,TA,Mass,TA_evap,Salinity
ACR-225_20200914_7,2315.556525,59.8001,2312.913195,36.09
BK-4_20200912_4,2353.592959,59.8394,2349.565133,36.27
POR-80_20200914_8,2300.963852,59.7662,2295.7165,36.11
POR-224_20200914_7,2292.690905,60.4517,2286.159022,36.03
BK-10_20200915_10,2354.515031,60.3043,2346.469991,36.15
POC-45_20200914_8,2313.63544,59.5629,2304.417769,36.16
ACR-190_20200915_10,2318.414899,59.5506,2307.86466,36.27
Initial1_20200915_9,2358.127567,59.7355,2346.062105,36.13
Initial1_20200914_8,2345.931824,60.1714,2332.602666,36.23
POC-55_20200915_9,2330.806461,59.8678,2316.247193,36.17
POC-238_20200914_7,2326.910623,60.0789,2311.063331,36.1
Initial1_20200914_7,2346.716844,60.0851,2329.412636,36.17
POR-79_20200915_10,2259.507957,59.8509,2241.575354,36.04
POR-69_20200916_11,2201.070866,59.8883,2182.364881,36.2
POR-74_20200916_11,2243.620338,60.0087,2223.293087,36.16
ACR-150_20200914_8,2302.140931,60.1609,2279.992433,36.18
POR-72_20200915_10,2292.239515,60.02,2268.902235,36.15
POC-44_20200915_9,2345.213476,59.5399,2320.024637,36.25
POR-83_20200915_10,2259.309816,59.7957,2233.780891,36.27
POC-248_20200913_6,2337.567696,59.9144,2309.849502,36.19
POC-47_20200915_10,2347.515624,60.3074,2318.370396,36.19
POC-53_20200915_9,2300.858438,60.0902,2271.010866,36.09
BK-9_20200915_9,2346.377234,60.2229,2314.633686,36.25
Initial1_20200915_10,2357.366411,59.84,2324.164067,36.28
ACR-213_20200913_6,2319.038025,59.7731,2285.088144,36.3
POC-201_20200913_5,2280.256594,59.9221,2245.610039,36.13
POR-253_20200913_6,2288.573398,59.8592,2252.532872,36.26
POR-242_20200913_5,2063.666682,59.8281,2030.026247,36.29
POC-239_20200913_6,2331.014147,59.6093,2291.727392,36.22
POC-375_20200912_4,2294.772188,59.6028,2254.829494,36.27
ACR-265_20200913_6,2311.92624,60.3983,2309.287055,35.96
POC-40_20200915_9,2304.699197,59.6919,2300.755045,36.17
POR-75_20200915_10,2266.897615,59.9771,2261.727951,36.17
POC-52_20200915_9,2302.834261,59.8449,2296.273479,36.14
Initial2_20200914_7,2320.097779,60.4887,2312.170337,36.05
POC-222_20200913_5,2291.329002,60.0259,2282.200201,36.09
POC-219_20200912_4,2313.088883,60.3524,2302.562881,36.16
