colony_id,corrected_salinity
POC-386_20200909_1,37.7
POR-353_20200909_1,37.96
BK-1_20200909_1,37.35
POR-357_20200909_1,37.87
POC-359_20200909_1,37.93
POC-372_20200909_1,37.99
POC-358_20200909_1,38.11
POR-365_20200909_1,38.05
POR-367_20200909_1,38.25
POR-355_20200909_2,38.13
POR-341_20200909_2,37.64
BK-2_20200909_2,37.99
POC-378_20200909_2,38
POC-369_20200909_2,36.97
POC-395_20200909_2,38.38
POR-384_20200909_2,38.27
POR-383_20200909_2,38.3
POR-338_20200909_2,38.1
POR-349_20200909_2,38.24
POR-354_20200912_3,38.12
POR-340_20200912_3,38.32
POR-385_20200912_3,38.25
POC-391_20200912_3,38.34
ACR-343_20200912_3,37.79
POR-362_20200912_3,36.57
POR-381_20200912_3,37.35
POC-373_20200912_3,38.3
Initial1_20200909_2,38.17
Initial2_20200909_1,38.38
Initial2_20200909_2,38.46
Initial2_20200912_3,38.22
Initial1_20200912_3,38.02
