well,colony_id
A1,BK
A2,BK
A3,POC-222
A4,POR-240
A5,ACR-231
A6,POC-205
A7,POR-355
A8,POR-362
A9,POC-377
A10,POC-395
A11,ACR-393
A12,ACR-265
B1,BK
B2,BK
B3,POC-222
B4,POR-240
B5,ACR-231
B6,POC-205
B7,POR-355
B8,POR-362
B9,POC-377
B10,POC-395
B11,ACR-393
B12,ACR-265
C1,ACR-389
C2,POR-251
C3,POR-216
C4,ACR-237
C5,POC-200
C6,POR-224
C7,ACR-246
C8,POR-253
C9,POC-207
C10,POR-260
C11,POC-373
C12,POC-369
D1,ACR-389
D2,POR-251
D3,POR-216
D4,ACR-237
D5,POC-200
D6,POR-224
D7,ACR-246
D8,POR-253
D9,POC-207
D10,POR-260
D11,POC-373
D12,POC-369
E1,ACR-345
E2,POR-383
E3,POC-378
E4,POR-357
E5,ACR-351
E6,POR-353
E7,ACR-350
E8,POC-371
E9,ACR-379
E10,ACR-343
E11,ACR-363
E12,ACR-344
F1,ACR-345
F2,POR-383
F3,POC-378
F4,POR-357
F5,ACR-351
F6,ACR-353
F7,ACR-350
F8,POC-371
F9,ACR-379
F10,ACR-343
F11,ACR-363
F12,ACR-344
G1,UNK-111
G2,POC-358
G3,POR-340
G4,POR-381
G5,POR-384
G6,POR-341
G7,ACR-368
G8,ACR-390
G9,POC-372
G10,ACR-396
G11,POR-354
G12,POC-346
H1,UNK-111
H2,POC-358
H3,ACR-340
H4,POR-381
H5,POR-384
H6,POR-341
H7,POR-368
H8,ACR-390
H9,POC-372
H10,ACR-396
H11,POR-354
H12,POR-346
