well,colony_id
A1,BK
A2,BK
A3,BK
A4,BK
A5,BK
A6,BK
A7,BK
A8,BK
A9,BK
A10,BK
A11,BK
A12,BK
B1,POR-235
B2,ACR-247
B3,POR-214
B4,POR-262
B5,POC-248
B6,POC-219
B7,POC-259
B8,POR-245
B9,POC-254
B10,POR-209
B11,ACR-234
B12,ACR-256
C1,POR-235
C2,ACR-247
C3,POR-214
C4,POR-262
C5,POC-248
C6,POC-219
C7,POC-259
C8,POR-245
C9,POC-254
C10,POR-209
C11,ACR-234
C12,ACR-256
D1,POC-238
D2,POR-236
D3,POC-239
D4,POR-221
D5,POC-201
D6,POC-255
D7,ACR-244
D8,ACR-228
D9,POR-242
D10,POC-217
D11,POR-266
D12,ACR-243
E1,POC-238
E2,POR-236
E3,POC-239
E4,POR-221
E5,POC-201
E6,POC-255
E7,ACR-244
E8,ACR-228
E9,POR-242
E10,POC-217
E11,POR-266
E12,ACR-243
F1,ACR-258
F2,ACR-229
F3,ACR-TEST
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,ACR-258
G2,ACR-229
G3,ACR-TEST
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
