Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200106_Chl.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/6/2020,,,,,,,,,,,,,
Time,7:36:06 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21.6,,,,,,,,,,,,,
Actual Temperature:,21.6,,,,,,,,,,,,,
Actual Temperature:,21.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.03,0.029,0.035,0.033,0.034,0.032,0.031,0.035,0.034,0.034,0.034,0.042,630
,,0.047,0.041,0.036,0.04,0.049,0.048,0.034,0.037,0.038,0.036,0.042,0.051,663
,,0.028,0.028,0.027,0.031,0.031,0.03,0.03,0.034,0.032,0.033,0.032,0.038,750
,B,0.142,0.121,0.077,0.203,0.106,0.1,0.177,0.156,0.134,0.143,0.102,0.117,630
,,0.21,0.177,0.107,0.352,0.136,0.165,0.359,0.275,0.165,0.256,0.152,0.206,663
,,0.104,0.085,0.057,0.136,0.085,0.062,0.102,0.101,0.105,0.093,0.073,0.075,750
,C,0.255,0.15,0.099,0.256,0.15,0.113,0.198,0.164,0.13,0.153,0.115,0.136,630
,,0.329,0.211,0.13,0.417,0.179,0.183,0.395,0.291,0.162,0.276,0.168,0.231,663
,,0.2,0.109,0.075,0.178,0.119,0.074,0.114,0.105,0.097,0.1,0.081,0.087,750
,D,0.12,0.121,0.064,0.093,0.092,0.096,0.09,0.113,0.134,0.103,0.102,0.091,630
,,0.176,0.219,0.1,0.151,0.194,0.195,0.126,0.134,0.178,0.2,0.135,0.14,663
,,0.081,0.077,0.048,0.064,0.052,0.057,0.068,0.087,0.096,0.059,0.079,0.066,750
,E,0.148,0.191,0.063,0.092,0.096,0.115,0.114,0.119,0.157,0.108,0.092,0.092,630
,,0.21,0.293,0.103,0.157,0.208,0.22,0.148,0.142,0.206,0.216,0.128,0.144,663
,,0.102,0.136,0.046,0.061,0.054,0.069,0.085,0.092,0.116,0.061,0.07,0.065,750
,F,0.077,0.112,0.114,0.04,0.042,0.042,0.046,0.037,0.042,0.036,0.032,0.037,630
,,0.118,0.187,0.173,0.039,0.042,0.042,0.045,0.037,0.042,0.036,0.032,0.037,663
,,0.057,0.075,0.077,0.039,0.041,0.041,0.044,0.037,0.041,0.035,0.032,0.037,750
,G,0.082,0.127,0.138,0.063,0.044,0.041,0.03,0.033,0.034,0.033,0.033,0.041,630
