loggerUid,data2,data1,logDateTime,dateTime
260262624998102,22.31,0,1572257087,28-10-2019T00:04:47
260262624998102,22.38,0,1572257987,28-10-2019T00:19:47
260262624998102,22.38,0,1572258887,28-10-2019T00:34:47
260262624998102,22.38,0,1572259787,28-10-2019T00:49:47
260262624998102,22.38,0,1572260687,28-10-2019T01:04:47
260262624998102,22.44,0,1572261587,28-10-2019T01:19:47
260262624998102,22.44,0,1572262487,28-10-2019T01:34:47
260262624998102,22.44,0,1572263387,28-10-2019T01:49:47
260262624998102,22.44,0,1572264287,28-10-2019T02:04:47
260262624998102,22.44,0,1572265187,28-10-2019T02:19:47
260262624998102,22.44,0,1572266087,28-10-2019T02:34:47
260262624998102,22.5,0,1572266987,28-10-2019T02:49:47
260262624998102,22.44,0,1572267887,28-10-2019T03:04:47
260262624998102,22.44,0,1572268787,28-10-2019T03:19:47
260262624998102,22.5,0,1572269687,28-10-2019T03:34:47
260262624998102,22.5,0,1572270587,28-10-2019T03:49:47
260262624998102,22.5,0,1572271487,28-10-2019T04:04:47
260262624998102,22.5,0,1572272387,28-10-2019T04:19:47
260262624998102,22.5,0,1572273287,28-10-2019T04:34:47
260262624998102,22.44,0,1572274187,28-10-2019T04:49:47
260262624998102,22.44,0,1572275087,28-10-2019T05:04:47
260262624998102,22.5,0,1572275987,28-10-2019T05:19:47
260262624998102,22.5,0,1572276887,28-10-2019T05:34:47
260262624998102,22.5,2,1572277787,28-10-2019T05:49:47
260262624998102,22.5,2,1572278687,28-10-2019T06:04:47
260262624998102,22.5,4,1572279587,28-10-2019T06:19:47
260262624998102,22.5,12,1572280487,28-10-2019T06:34:47
260262624998102,22.5,11,1572281387,28-10-2019T06:49:47
260262624998102,22.5,15,1572282287,28-10-2019T07:04:47
260262624998102,22.5,17,1572283187,28-10-2019T07:19:47
260262624998102,22.5,18,1572284087,28-10-2019T07:34:47
260262624998102,22.5,18,1572284987,28-10-2019T07:49:47
260262624998102,22.44,20,1572285887,28-10-2019T08:04:47
260262624998102,22.5,20,1572286787,28-10-2019T08:19:47
260262624998102,22.5,27,1572287687,28-10-2019T08:34:47
260262624998102,22.44,58,1572288587,28-10-2019T08:49:47
260262624998102,22.56,56,1572289487,28-10-2019T09:04:47
260262624998102,26,747,1572290387,28-10-2019T09:19:47
260262624998102,24.81,125,1572291287,28-10-2019T09:34:47
260262624998102,24.19,84,1572292187,28-10-2019T09:49:47
260262624998102,23.94,96,1572293087,28-10-2019T10:04:47
260262624998102,23.56,118,1572293987,28-10-2019T10:19:47
260262624998102,23.56,115,1572294887,28-10-2019T10:34:47
260262624998102,23.31,115,1572295787,28-10-2019T10:49:47
260262624998102,23.31,112,1572296687,28-10-2019T11:04:47
260262624998102,23.38,112,1572297587,28-10-2019T11:19:47
260262624998102,23.19,113,1572298487,28-10-2019T11:34:47
260262624998102,23.19,114,1572299387,28-10-2019T11:49:47
260262624998102,23.31,114,1572300287,28-10-2019T12:04:47
260262624998102,23.13,114,1572301187,28-10-2019T12:19:47
260262624998102,23,114,1572302087,28-10-2019T12:34:47
260262624998102,23.19,111,1572302987,28-10-2019T12:49:47
260262624998102,23.31,111,1572303887,28-10-2019T13:04:47
260262624998102,23.13,111,1572304787,28-10-2019T13:19:47
260262624998102,23,113,1572305687,28-10-2019T13:34:47
260262624998102,23.19,112,1572306587,28-10-2019T13:49:47
260262624998102,23.38,112,1572307487,28-10-2019T14:04:47
260262624998102,23.13,112,1572308387,28-10-2019T14:19:47
260262624998102,23,112,1572309287,28-10-2019T14:34:47
260262624998102,23.19,111,1572310187,28-10-2019T14:49:47
260262624998102,23.38,112,1572311087,28-10-2019T15:04:47
260262624998102,23.38,111,1572311987,28-10-2019T15:19:47
260262624998102,23.13,111,1572312887,28-10-2019T15:34:47
260262624998102,23.13,111,1572313787,28-10-2019T15:49:47
260262624998102,23.25,110,1572314687,28-10-2019T16:04:47
260262624998102,23.38,108,1572315587,28-10-2019T16:19:47
260262624998102,23.06,108,1572316487,28-10-2019T16:34:47
260262624998102,23.06,108,1572317387,28-10-2019T16:49:47
260262624998102,23.25,108,1572318287,28-10-2019T17:04:47
260262624998102,23.19,89,1572319187,28-10-2019T17:19:47
260262624998102,22.94,0,1572320087,28-10-2019T17:34:47
260262624998102,22.94,0,1572320987,28-10-2019T17:49:47
260262624998102,23.06,0,1572321887,28-10-2019T18:04:47
260262624998102,23.13,0,1572322787,28-10-2019T18:19:47
260262624998102,23.19,29,1572323687,28-10-2019T18:34:47
260262624998102,23,108,1572324587,28-10-2019T18:49:47
260262624998102,23,108,1572325487,28-10-2019T19:04:47
260262624998102,23.13,41,1572326387,28-10-2019T19:19:47
260262624998102,23.25,0,1572327287,28-10-2019T19:34:47
260262624998102,23.31,0,1572328187,28-10-2019T19:49:47
260262624998102,23.38,0,1572329087,28-10-2019T20:04:47
