"","Metric","Interval","Mahana","Hilton","Manava"
"1","Max","Overall",4535.52720902529,4287.4143086309,4611.21785145224
"2","Mean","Overall",723.817993048864,717.468469938512,1657.35350209388
"3","Range","Overall",4464.37976198739,4276.55873887346,4611.09617483799
"4","SD","Overall",1022.95083066772,1063.42326971686,1270.94162353358
