"","colony_id","colony_id_corr","species","timepoint","month","site","nutrient","site_code","cre.umol.mgprot","Host_AFDW.mg.cm2","Sym_AFDW.mg.cm2","Host_DW.mg.cm2","Sym_DW.mg.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_ug.cm2","surface.area.cm2","cells.cm2","Am","AQY","Rd","Ik","Ic","calc.umol.cm2.hr","code","mgprot","mgafdw","cells","cells.mgprot","cells.mgAFDW","chla.ug.mgprot","chla.ug.mgAFDW","chlc2.ug.mgprot","chlc2.ug.mgAFDW","prot_mg.cm2","prot_mg.mgafdw","cre.umol.mgafdw","cre.umol.cm2","chla.ug.cell","chlc2.ug.cell","calc.umol.mgprot.hr","calc.umol.mgAFDW.hr","Ratio_AFDW.mg.cm2","Total_Chl","Total_Chl_cell","haplotype"
"1","ACR-140","ACR-140","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.126548043687629,1.31974868734488,0.703865966583917,102.486734001624,64.7996605486323,1.97413324307478,0.494232136028488,411.540958683752,18.1852804478136,649334.684016547,1.26057776464737,0.00216744912742144,0.493482134702939,581.595087376765,247.425923484969,0,"ACR-140 - timepoint2",7.48398774942609,24.0000000000005,11808333.3333333,1577813.02277504,492013.888888879,4.79693017528251,1.49584027777775,1.20093061358755,0.374489583333326,0.411540958683752,0.311832822892748,0.039461833694668,0.05207970321876,3.0402399435427e-06,7.61136203246295e-07,0,0,0.347826086956516,1.87032986111108,3.80137614678899e-06,"Acropora pulchra"
"2","ACR-145","ACR-145","Acropora","timepoint2","March 2020","Manava","High","Manava High",NA,1.15186714980156,0.781873459259263,128.035269460218,81.5382321798939,2.78286449383376,0.649059686380619,309.240903285291,14.3245685952952,948254.269786152,1.36898893494879,0.00391425094715745,0.472232556118887,349.744805182447,128.533680037543,0,"ACR-145 - timepoint2",4.42974253158122,16.4999999999997,13583333.3333333,3066393.41598138,823232.323232337,8.99901812557578,2.41595959595963,2.09888045043584,0.563484848484858,0.309240903285291,0.26846924433826,NA,NA,2.93472392638037e-06,6.84478527607362e-07,0,0,0.404332129963905,2.97944444444449,3.61920245398773e-06,"Acropora pulchra"
"3","ACR-150","ACR-150","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.00205208212232249,2.09079472365259,0.654509652621671,305.997247849627,224.35975540916,3.98703443297192,0.987794452121039,675.622686725413,21.4511733230544,1825657.71159522,1.39677019074564,0.00210210113766874,0.42165283729389,664.463838450078,210.402295546179,0.447024912424642,"ACR-150 - timepoint2",14.4928993539346,44.8499999999994,39162500,2702185.32838759,873188.405797113,5.90127376020505,1.90694685990341,1.46205044846651,0.472449275362325,0.675622686725413,0.323141568649604,0.000663113036005099,0.00138643323686471,2.18388934993084e-06,5.41062240663901e-07,0.661648759296803,0.213806217974233,0.238410596026487,2.37939613526573,2.72495159059474e-06,"Acropora pulchra"
"4","ACR-173","ACR-173","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.259296860072002,2.06213798297656,0.449921014467593,336.220754439735,253.237895960075,2.38455013216337,0.586803234216384,545.808338828848,34.0059688434533,959206.607233001,1.19383391039143,0.00233973678740467,0.414355038767872,510.242825952946,188.833403577275,0.398031184476261,"ACR-173 - timepoint2",18.5607413647108,70.1250000000027,32618750,1757405.55611735,465151.515151497,4.36884151913096,1.15634848484844,1.07510859118697,0.284560606060595,0.545808338828848,0.264680803774832,0.0686309013401476,0.141526388459435,2.48596091205212e-06,6.11758957654723e-07,0.729250830667639,0.193018696014575,0.179104477611933,1.44090909090904,3.09771986970684e-06,"Acropora pulchra"
"5","ACR-178","ACR-178","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.112767013161506,1.34134039894438,0.561147910017103,98.8868030369752,65.3409871881462,1.85463896414897,0.48079054483263,416.636021963189,23.3628242500281,520948.71763283,0.95053766293519,0.00213284984984672,0.50355557179296,445.665531965835,278.365407287427,0.42988633117463,"ACR-178 - timepoint2",9.73379415735684,31.3375000000002,12170833.3333333,1250368.88355961,388379.204892963,4.45146090683641,1.38267584097858,1.15398217985844,0.358440366972474,0.416636021963189,0.310611700274648,0.0350267536929888,0.0469827997722803,3.56011811023622e-06,9.22913385826772e-07,1.03180308113784,0.320490109380844,0.294954721862873,1.74111620795106,4.48303149606299e-06,"Acropora pulchra"
"6","POC-47","POC-47","Pocillopora","timepoint2","March 2020","Manava","High","Manava High",0.144013234124919,2.53894147466365,0.399286522511198,211.552415796588,151.72453848336,1.54866749812688,0.441689015173535,376.518868018067,23.0410982623183,68155.1874173713,0.781019935415504,0.00114319905996573,0.331488112841623,683.188049016516,320.240620502189,0,"POC-47 - timepoint2",8.67540823562113,58.5000000000004,1570370.37037037,181014.002767322,26843.9379550489,4.11312056226772,0.609965811965807,1.17308600628306,0.173965811965811,0.376518868018067,0.148297576677283,0.0213568136301836,0.0542236998923352,2.27226650943396e-05,6.48063679245283e-06,0,0,0.135893648449037,0.783931623931618,2.92033018867924e-05,"Pocillopora tuahiniensis"
"7","POC-48","POC-48","Pocillopora","timepoint2","March 2020","Manava","High","Manava High",-0.0670165950332588,-4.69745494181952,0.392623099614801,213.319875646478,153.673215370308,2.09966887730295,0.527049770387632,441.76113078716,18.7202434273777,391584.414166051,1.01241482152851,0.00190173993505445,0.3320387104719,532.362392389643,184.819869876546,0.275184246214107,"POC-48 - timepoint2",8.26987590508927,-87.9374999999998,7330555.55555556,886416.633053023,-83360.9729132119,4.75295070338491,-0.446980099502489,1.19306506085879,-0.112199004975125,0.44176113078716,-0.0940426542156565,0.00630241847342344,-0.0296053268033976,5.36198275862069e-06,1.34594164456233e-06,0.622925438740536,-0.0585815616376123,-0.0912052117263932,-0.559179104477613,6.70792440318302e-06,"Pocillopora tuahiniensis"
"8","POC-50","POC-50","Pocillopora","timepoint2","March 2020","Manava","High","Manava High",-0.0292538854786765,1.88779220924579,0.400674264819493,149.212637273651,99.0632095792045,3.14902361581811,0.829915834193223,417.897393899905,14.2759355971531,374990.017074671,1.34158982946845,0.00232730576710685,0.331094052230171,576.456196014255,146.805897760908,0.197444512947059,"POC-50 - timepoint2",5.96587628153314,26.9500000000002,5353333.33333333,897325.569741384,198639.455782311,7.53539902805033,1.66809863945577,1.98593206444356,0.439622448979588,0.417897393899905,0.221368322134808,-0.00647588354433846,-0.0122251225029852,8.3976198630137e-06,2.21316780821918e-06,0.472471271247869,0.104590172573041,0.175084175084167,2.10772108843535,1.06107876712329e-05,"Pocillopora tuahiniensis"
"9","POC-53","POC-53","Pocillopora","timepoint2","March 2020","Manava","High","Manava High",-0.0361887303946839,1.89520832109461,0.4548499970627,153.09263095582,107.17001041904,1.3338705886085,0.348442664416532,389.257409475588,21.7654173110501,112276.735386063,1.03244701075494,0.00335719839001565,0.456925024803599,307.532320349447,151.776017109127,0.193386180811775,"POC-53 - timepoint2",8.47234995865447,41.2499999999989,2443750,288438.274141842,59242.4242424258,3.42670571230874,0.70381212121214,0.895147159526027,0.183854545454551,0.389257409475588,0.205390302027993,-0.00743281426577371,-0.0140867314456451,1.18802046035806e-05,3.10342710997443e-06,0.496807963327678,0.102039537637784,0.193548387096772,0.887666666666691,1.4983631713555e-05,"Pocillopora tuahiniensis"
"10","POC-57","POC-57","Pocillopora","timepoint2","March 2020","Manava","High","Manava High",0.188681263947787,2.34042520458395,0.506633220756996,264.203717741942,189.860799478687,1.83216745339085,0.454565643558552,468.021834649049,18.159093448814,188840.190526727,1.04781120864768,0.00319143416939462,0.52078146173682,328.319856538491,188.052889374565,0.126045031716654,"POC-57 - timepoint2",8.49885223147743,42.4999999999995,3429166.66666667,403485.855886042,80686.2745098048,3.91470507944298,0.782835294117656,0.971248796328943,0.194223529411767,0.468021834649049,0.199972993681824,0.0377311572033093,0.0883069513167445,9.7022114216282e-06,2.40714459295261e-06,0.269314425920258,0.0538556119929758,0.177949709864603,0.977058823529423,1.21093560145808e-05,"Pocillopora tuahiniensis"
