timepoint,FullTemp_min,FullTemp_max,FullTemp_mean,FullTemp_stdev,pH_min,pH_max,pH_mean,pH_stdev,light_min,light_max,light_mean,light_stdev,FullTemp_range,na.rm,pH_range
timepoint1,26.9,29.991,27.970159660997666,0.48217729600968107,8,8.54,8.269569223768533,0.06307555057904513,-7.09730853448932,4002.19245182755,773.7405624680944,1076.6838810114502,3.091000000000001,TRUE,0.5399999999999991
timepoint2,26.9055555555556,30.7977777777778,28.47186770805902,0.6784884949649418,8,8.54,8.27135239166162,0.06789057735662687,-7.09730853448932,4611.21785145224,824.0073594823706,1166.0619201926122,3.8922222222221983,TRUE,0.5399999999999991
timepoint3,24.4838888888889,31.3311111111111,28.40211683379976,1.0263097057758124,7.88,8.83,8.306078652757455,0.09766453135839866,-7.09730853448932,3741.22099926939,703.5880127509546,1098.1279430459285,6.8472222222222,TRUE,0.9500000000000002
timepoint4,24.508,29.966,27.492640882308507,0.46139822313575557,Inf,-Inf,NA,NA,10.8555697574409,4035.92863493403,602.3409409978613,909.0754461436047,5.458000000000002,TRUE,-Inf
