colony_id_corr,month,site,nutrient,species,cre.umol.mgprot,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,chla.ug.cm2,chlc2.ug.cm2,prot_ug.cm2,surface.area.cm2,cells.cm2,Am,AQY,Rd,calc.umol.cm2.hr,code,mgprot,mgafdw,cells,cells.mgprot,cells.mgAFDW,chla.ug.mgprot,chla.ug.mgAFDW,chlc2.ug.mgprot,chlc2.ug.mgAFDW,prot_mg.cm2,prot_mg.mgafdw,cre.umol.mgafdw,cre.umol.cm2,chla.ug.cell,chlc2.ug.cell,calc.umol.mgprot.hr,calc.umol.mgAFDW.hr,Ratio_AFDW.mg.cm2,Total_Chl,Total_Chl_cell
ACR-139,January 2020,Manava,High,Acropora,0.07678208239068057,1.4072814190960972,0.9942749156657084,293.15578143635395,375.36231379793,2.7886989432707447,2.5416343738421032,NA,16.997311039154148,628007.8313478722,NA,NA,NA,0.00696293968408514,NA,NA,23.91999999999861,10674444.444444444,NA,446256.0386473689,NA,1.9816213768117097,NA,1.8060597826088016,NA,NA,NA,NA,4.44054803788904e-6,4.047138024357242e-6,NA,0.004947794797544805,0.41401273885350015,3.7876811594205115,8.487686062246281e-6
ACR-139,March 2020,Manava,High,Acropora,NA,0.9692625449617943,0.6815127269262455,86.97011079214752,118.24498224291382,1.3552006780988872,0.32970071255965083,295.86642843154215,19.808874385791274,524512.3876121226,NA,NA,NA,0,NA,5.860780915773122,19.20000000000055,10390000,1772801.2954787968,541145.8333333179,4.580447620512832,1.398177083333294,1.1143566179761328,0.34015624999999017,0.29586642843154215,0.3052490060298414,NA,NA,2.583734359961503e-6,6.285851780558228e-7,0,0,0.41284403669724196,1.7383333333332842,3.2123195380173257e-6
ACR-139,November 2020,Manava,High,Acropora,0.37175394838138015,0.9062688664476006,0.6726214243165951,134.51862068290032,172.27179919596196,0.6462298836940513,0.12790427400293655,209.078512551429,35.30960974686669,215946.87833321714,0.4480059097554272,0.0010893796867098434,0.13975777506424605,0,NA,7.382480684646327,32.00000000000003,7625000,1032850.653555796,238281.2499999998,3.0908479107105378,0.7130664062499994,0.6117523625077195,0.14113281249999976,0.20907851255142898,0.2307025213951975,0.08576457323020452,0.07772576256269968,2.9925409836065576e-6,5.922950819672127e-7,0,0,0.4260089686098715,0.8541992187499992,3.58483606557377e-6
ACR-139,September 2020,Manava,High,Acropora,0.2897869928446133,0.5313422621660204,0.6167365542999387,194.0056136076401,239.481358564757,0.8634153622620551,0.6611890274828984,386.579223091928,34.25287483402132,264485.0992478409,0.5297573923840511,0.0016056564315136857,0.3435224430612777,0.2980466257197296,NA,13.241449742001015,18.19999999999844,9059375,684167.910350802,497767.8571428998,2.2334758587290553,1.624970238095378,1.710358415526301,1.2443750000001068,0.386579223091928,0.7275521836264918,0.21083515943065292,0.1120256305560167,3.2645142002989553e-6,2.4999103139013456e-6,0.770984594919253,0.5609315255758887,0.5371900826446657,2.8693452380954847,5.764424514200301e-6
ACR-140,January 2020,Manava,High,Acropora,0.16359918567252113,0.8512491104392772,0.8185087600377344,147.35613206959647,191.15044327541634,1.3526300618535536,0.8816771735936657,NA,24.43468045360632,403797.6549519576,NA,NA,NA,0.007449825904905515,NA,NA,20.800000000000374,9866666.666666666,NA,474358.9743589658,NA,1.5889943910256124,NA,1.0357451923076741,NA,NA,NA,NA,3.3497719594594596e-6,2.183462837837839e-6,NA,0.008751640164488535,0.49019607843136276,2.6247395833332865,5.533234797297298e-6
ACR-140,March 2020,Manava,High,Acropora,0.12654804368762868,1.0557989498758882,0.8798324582299027,69.3802882842917,96.75407564096953,1.9741332430747827,0.4942321360284876,411.54095868375185,18.185280447813586,649334.6840165474,NA,NA,NA,0,NA,7.483987749426092,19.200000000000106,11808333.333333332,1577813.0227750374,615017.3611111076,4.796930175282512,1.8698003472222122,1.2009306135875522,0.4681119791666641,0.41154095868375185,0.38979102861594006,0.04932729211833571,0.05207970321876002,3.0402399435426964e-6,7.611362032462951e-7,0,0,0.4545454545454534,2.337912326388876,3.8013761467889915e-6
ACR-140,September 2020,Manava,High,Acropora,0.2327181289490833,0.21663409992240631,0.22001900773371155,114.77258202214955,150.1975911535902,1.3186980266344537,1.3407112104338605,321.53662930509637,24.372894211442862,273425.33097845636,0.48658950171100934,0.0014788388676265053,0.19132802138022556,0.07827218967415599,NA,7.836778251157032,5.279999999999951,6664166.666666668,850370.7075905538,1262152.7777777896,4.101237328650296,6.087213541666722,4.169699773650673,6.188828125000055,0.32153662930509636,1.484238305143391,0.34540916128752847,0.074827402760477,4.822881705639614e-6,4.9033906464924324e-6,0.24343164212213558,0.361310567921631,0.503875968992268,12.276041666666778,9.726272352132046e-6
ACR-145,January 2020,Manava,High,Acropora,0.11473069020589113,0.8806504618622322,0.39061109195501326,78.497836329933,113.62639930976188,1.7908038978667797,1.213468867257515,NA,12.672451197494674,684950.3592261632,NA,NA,NA,0,NA,NA,11.16000000000028,8680000,NA,777777.7777777582,NA,2.0335013440859706,NA,1.3779233870967396,NA,NA,NA,NA,2.6145017281105992e-6,1.7716157834101383e-6,NA,0,0.3072625698323973,3.41142473118271,4.386117511520737e-6
ACR-145,March 2020,Manava,High,Acropora,NA,0.9214937198412578,0.9773418240740867,86.52965649570072,121.7244336819109,2.7828644938337628,0.6490596863806193,309.2409032852913,14.324568595295247,948254.2697861517,NA,NA,NA,0,NA,4.429742531581219,13.199999999999878,13583333.333333336,3066393.415981379,1029040.4040404137,8.999018125575777,3.019949494949522,2.098880450435843,0.7043560606060671,0.3092409032852913,0.3355865554228227,NA,NA,2.9347239263803667e-6,6.844785276073619e-7,0,0,0.5147058823529477,3.724305555555589,3.619202453987729e-6
ACR-145,November 2020,Manava,High,Acropora,0.25321353895182286,2.069306280968385,1.7244219008070283,211.8745856463136,269.9227457674882,1.5588164339188506,0.5118397732849725,300.0309215158546,32.53264179360499,395978.36240752233,0.7870053183211817,0.001829887261432579,0.14195071314507002,0.00783187451393402,NA,9.76079849668051,67.32000000000139,12882222.222222224,1319791.8414772379,191358.0246913541,5.195519268624709,0.7533038720538568,1.705956741721787,0.24734848484847974,0.3000309215158546,0.1449910650130765,0.036713700688354924,0.07597189143200617,3.9366202346041065e-6,1.2925953079178882e-6,0.026103557841187904,0.0037847826520242774,0.4545454545454604,1.0006523569023367,5.229215542521995e-6
ACR-145,September 2020,Manava,High,Acropora,0.2207627940818556,1.295703338770706,1.1042926182704176,250.4788067978701,331.9976878785947,3.327638566142234,3.4957855221508813,567.5418268669338,11.885436688471621,570142.1888403734,0.6830137598369439,0.00201247167025084,0.31026888826450255,0.6019141051201962,NA,6.745482451286463,15.400000000000523,6776388.88888889,1004581.7979404175,440025.2525252377,5.863248149501472,2.568210227272641,6.159520508733369,2.6979829545453633,0.5675418268669338,0.4380183409926126,0.09669815281662814,0.12529211945746502,5.836506456241033e-6,6.131427546628408e-6,1.060563427444655,0.46454623300674686,0.46012269938648725,5.266193181818004,1.196793400286944e-5
ACR-150,January 2020,Manava,High,Acropora,0.08877581389386588,1.075952038037247,1.2938663748548853,128.2512542646847,161.13898502917849,2.8011270664942662,1.467738181254814,NA,32.306272743727114,909111.373911209,NA,NA,NA,0.0021854880835129272,NA,NA,34.760000000000346,29370000,NA,844936.7088607511,NA,2.603393987341746,NA,1.3641297468354296,NA,NA,NA,NA,3.081170411985019e-6,1.6144756554307119e-6,NA,0.002031213294135023,0.5459770114942467,3.967523734177176,4.6956460674157305e-6
ACR-150,March 2020,Manava,High,Acropora,0.002052082122322491,1.6726357789221207,0.8181370657771089,234.23147649457124,293.62263337039445,3.9870344329719174,0.9877944521210388,675.6226867254134,21.45117332305444,1825657.71159522,NA,NA,NA,0.4470249124246424,NA,14.492899353934556,35.88000000000058,39162500,2702185.3283875943,1091485.5072463593,5.901273760205048,2.383683574879189,1.4620504484665096,0.5905615942028891,0.6756226867254134,0.4039269608119933,8.28891295006349e-4,0.0013864332368647098,2.183889349930844e-6,5.410622406639005e-7,0.6616487592968029,0.26725777246778376,0.3284671532846674,2.9742451690820784,2.7249515905947447e-6
ACR-150,November 2020,Manava,High,Acropora,0.5048184001275,2.7174720723315056,1.3675589974395783,174.96894710818614,221.758313874249,1.374808530619521,0.4134219078872485,308.46834898369,31.168673585421885,445559.54432707775,0.9756367655978209,0.002152864628189369,0.16981181588833097,0,NA,9.614549280906639,84.70000000000067,13887500,1444425.4841544093,163961.03896103767,4.456886857757366,0.5059145021644982,1.3402409331438663,0.15213474025973908,0.30846834898369,0.11351297852309991,0.05730344021173856,0.15572049842391772,3.085577557755776e-6,9.27871287128713e-7,0,0,0.3347732181425522,0.6580492424242372,4.013448844884489e-6
ACR-150,September 2020,Manava,High,Acropora,0.32410902616763304,1.0246675354307595,1.1596744066530258,131.10359564063043,169.01975616621462,2.5811179053670426,0.7315122305727954,515.840067104778,32.49834590104543,385981.18310989125,0.8316549723098633,0.0024763665532075156,0.41515299110878257,0.11592861235351103,NA,16.76394893038956,33.30000000000055,12543750,748257.4691730768,376689.18918918294,5.0037173728165705,2.518980855855814,1.4180988977426794,0.7139020270270153,0.5158400671047779,0.50342188980148,0.16316357845502713,0.16718842180757604,6.687159940209268e-6,1.8952017937219735e-6,0.22473751022129015,0.1131377821048813,0.5309033280507068,3.2328828828828295,8.582361733931241e-6
ACR-165,January 2020,Manava,High,Acropora,0.1076376871099751,1.6758688465896083,0.8437534123454399,197.68680355064828,258.63352569334955,2.7703237038675956,1.0237056487370704,NA,14.60734833147405,756468.5765855854,NA,NA,NA,2.3720780820281828e-4,NA,NA,24.480000000000057,11050000,NA,451388.8888888878,NA,1.6530671296296258,NA,0.6108506944444432,NA,NA,NA,NA,3.6621794871794872e-6,1.353269230769231e-6,NA,0.00014154318142826987,0.33487297921477466,2.2639178240740687,5.015448717948718e-6
ACR-173,January 2020,Manava,High,Acropora,0.12499655706148009,1.2823275970710957,0.9486607223229958,260.60473332450186,326.5464672575632,2.9911381616307704,3.2424896364614417,NA,22.927058629284858,800364.3335461027,NA,NA,NA,0,NA,NA,29.39999999999898,18350000,NA,624149.6598639672,NA,2.3325850340136864,NA,2.5285969387755984,NA,NA,NA,NA,3.7372207084468668e-6,4.051267029972753e-6,NA,0,0.42521994134897134,4.861181972789285,7.78848773841962e-6
ACR-173,March 2020,Manava,High,Acropora,0.25929686007200153,1.6497103863812603,0.5624012680844648,262.30248110449617,324.88781751404014,2.384550132163368,0.5868032342163839,545.8083388288477,34.005968843453324,959206.6072330009,NA,NA,NA,0.3980311844762613,NA,18.56074136471081,56.10000000000248,32618750,1757405.5561173551,581439.3939393682,4.368841519130958,1.4454356060605422,1.075108591186972,0.35570075757574177,0.5458083388288477,0.3308510047185381,0.0857886266751839,0.14152638845943533,2.485960912052117e-6,6.11758957654723e-7,0.7292508306676388,0.24127337001821683,0.2542372881355744,1.801136363636284,3.09771986970684e-6
ACR-173,November 2020,Manava,High,Acropora,0.34399474249772183,1.019940310523989,0.7999531847246536,205.12799539302887,253.14089984263887,1.35285416090024,0.3545042535181513,325.85814774490495,35.00204828815874,279983.6146536418,0.6229638426984084,0.0022933780446145304,0.1485122759136426,0,NA,11.405702622457127,35.70000000000029,9800000,859219.315494374,274509.8039215664,4.151665902057816,1.3264052287581594,1.087909742234439,0.3475735294117619,0.32585814774490496,0.3194874684161635,0.1099020094290672,0.11209348962429318,4.8319047619047626e-6,1.2661607142857142e-6,0,0,0.4395604395604261,1.6739787581699213,6.098065476190477e-6
ACR-173,September 2020,Manava,High,Acropora,0.21587620005702185,0.23524122174331344,0.6559610990918674,184.69451819948677,239.35824471512225,2.0409513318883605,2.311539055155146,542.2235520240702,41.44681755920827,179145.2380968242,0.5777292745397024,0.0015212141431804411,0.2771300085350603,0.32558505379449665,NA,22.47344063704751,9.75000000000037,7425000,330389.9976828592,761538.4615384326,3.764040356177224,8.675993589743262,4.263073867828842,9.826249999999627,0.5422235520240701,2.304968270466324,0.4975877914802758,0.11705315999237717,1.1392718855218856e-5,1.2903156565656566e-5,0.6004627659184443,1.3840476230384617,0.7360406091370368,18.50224358974289,2.4295875420875422e-5
