colony_id,colony_id_corr,timepoint,site,nutrient,site_code,month,species,A1/A1ee,A1/A1ee-A1ep-A1eq,A1/A1gb-A1ee,C1/C42.2/C42g/C42a-...,C116-C116af-C116ag-...,C15-C15bn-C15by,C15-C15bn-C15by-C15ai,C15-C15bn-C15dq,C15-C15by-C15ai,C15-C15he,C15-C15kl,C15-C15kl-C15he,C15-C15kl-C15he-C15vz,C15-C15kl-C15pm,C15-C15l-C15bm-C15n,C15-C15l-C15n,C15-C15l-C15n-C15bb...,C15-C15wa-C15kl-C15...,C15/C116,C15/C116-C15h,C15/C116ai-C116aj,C15/C15ev,C15/C93a,C15h/C3,C1d,C1d-C42.2-C1-C1k-C1...,C1d/C1/C42.2/C3-C1b...,C1d/C42.2,C1d/C42.2/C1/C3cg-C...,C1d/C42g-C42.2-C1-C...,C3/C115d,C3ae/C3f-C3bj,C42a/C42.2/C1/C42b-...,C42g/C1/C42.2/C42a-...,C91,D1,D1-D17d-D1r-D17c,D1-D1u-D1jb,D1/D4-D6-D2.2-D1h,G3a/G3ae-G3ai-G3bi-...
ACR-139,ACR-139,timepoint1,Manava,High,Manava High,January 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-139,ACR-139,timepoint2,Manava,High,Manava High,March 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-139,ACR-139,timepoint3,Manava,High,Manava High,September 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-139,ACR-139,timepoint4,Manava,High,Manava High,November 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-140,ACR-140,timepoint1,Manava,High,Manava High,January 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-140,ACR-140,timepoint2,Manava,High,Manava High,March 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-140,ACR-140,timepoint3,Manava,High,Manava High,September 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-140,ACR-140,timepoint4,Manava,High,Manava High,November 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-145,ACR-145,timepoint1,Manava,High,Manava High,January 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-145,ACR-145,timepoint2,Manava,High,Manava High,March 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-145,ACR-145,timepoint3,Manava,High,Manava High,September 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-145,ACR-145,timepoint4,Manava,High,Manava High,November 2020,Acropora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACR-150,ACR-150,timepoint1,Manava,High,Manava High,January 2020,Acropora,0.5306835885549265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4693164114450735,0,0
