"","colony_id","colony_id_corr","species","timepoint","month","site","nutrient","site_code","cre.umol.mgprot","Host_AFDW.mg.cm2","Sym_AFDW.mg.cm2","Host_DW.mg.cm2","Sym_DW.mg.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_ug.cm2","surface.area.cm2","cells.cm2","Am","AQY","Rd","calc.umol.cm2.hr","code","mgprot","mgafdw","cells","cells.mgprot","cells.mgAFDW","chla.ug.mgprot","chla.ug.mgAFDW","chlc2.ug.mgprot","chlc2.ug.mgAFDW","prot_mg.cm2","prot_mg.mgafdw","cre.umol.mgafdw","cre.umol.cm2","chla.ug.cell","chlc2.ug.cell","calc.umol.mgprot.hr","calc.umol.mgAFDW.hr","Ratio_AFDW.mg.cm2","Total_Chl","Total_Chl_cell"
"1","ACR-140","ACR-140","Acropora","timepoint1","January 2020","Manava","High","Manava High",0.163599185672521,0.851249110439277,0.818508760037734,147.356132069596,191.150443275416,1.35263006185355,0.881677173593666,NA,24.4346804536063,403797.654951958,NA,NA,NA,0.00744982590490552,"ACR-140 - timepoint1",NA,20.8000000000004,9866666.66666667,NA,474358.974358966,NA,1.58899439102561,NA,1.03574519230767,NA,NA,NA,NA,3.34977195945946e-06,2.18346283783784e-06,NA,0.00875164016448854,0.490196078431363,2.62473958333329,5.5332347972973e-06
"2","ACR-140","ACR-140","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.126548043687629,1.05579894987589,0.879832458229903,69.3802882842917,96.7540756409695,1.97413324307478,0.494232136028488,411.540958683752,18.1852804478136,649334.684016547,NA,NA,NA,0,"ACR-140 - timepoint2",7.48398774942609,19.2000000000001,11808333.3333333,1577813.02277504,615017.361111108,4.79693017528251,1.86980034722221,1.20093061358755,0.468111979166664,0.411540958683752,0.38979102861594,0.0493272921183357,0.05207970321876,3.0402399435427e-06,7.61136203246295e-07,0,0,0.454545454545453,2.33791232638888,3.80137614678899e-06
"3","ACR-140","ACR-140","Acropora","timepoint3","September 2020","Manava","High","Manava High",0.232718128949083,0.216634099922406,0.220019007733712,114.77258202215,150.19759115359,1.31869802663445,1.34071121043386,321.536629305096,24.3728942114429,273425.330978456,0.486589501711009,0.00147883886762651,0.191328021380226,0.078272189674156,"ACR-140 - timepoint3",7.83677825115703,5.27999999999995,6664166.66666667,850370.707590554,1262152.77777779,4.1012373286503,6.08721354166672,4.16969977365067,6.18882812500005,0.321536629305096,1.48423830514339,0.345409161287529,0.074827402760477,4.82288170563961e-06,4.90339064649243e-06,0.243431642122136,0.361310567921631,0.503875968992268,12.2760416666668,9.72627235213204e-06
"4","ACR-150","ACR-150","Acropora","timepoint1","January 2020","Manava","High","Manava High",0.0887758138938659,1.07595203803725,1.29386637485489,128.251254264685,161.138985029178,2.80112706649427,1.46773818125481,NA,32.3062727437271,909111.373911209,NA,NA,NA,0.00218548808351293,"ACR-150 - timepoint1",NA,34.7600000000003,29370000,NA,844936.708860751,NA,2.60339398734175,NA,1.36412974683543,NA,NA,NA,NA,3.08117041198502e-06,1.61447565543071e-06,NA,0.00203121329413502,0.545977011494247,3.96752373417718,4.69564606741573e-06
"5","ACR-150","ACR-150","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.00205208212232249,1.67263577892212,0.818137065777109,234.231476494571,293.622633370394,3.98703443297192,0.987794452121039,675.622686725413,21.4511733230544,1825657.71159522,NA,NA,NA,0.447024912424642,"ACR-150 - timepoint2",14.4928993539346,35.8800000000006,39162500,2702185.32838759,1091485.50724636,5.90127376020505,2.38368357487919,1.46205044846651,0.590561594202889,0.675622686725413,0.403926960811993,0.000828891295006349,0.00138643323686471,2.18388934993084e-06,5.41062240663901e-07,0.661648759296803,0.267257772467784,0.328467153284667,2.97424516908208,2.72495159059474e-06
"6","ACR-150","ACR-150","Acropora","timepoint3","September 2020","Manava","High","Manava High",0.324109026167633,1.02466753543076,1.15967440665303,131.10359564063,169.019756166215,2.58111790536704,0.731512230572795,515.840067104778,32.4983459010454,385981.183109891,0.831654972309863,0.00247636655320752,0.415152991108783,0.115928612353511,"ACR-150 - timepoint3",16.7639489303896,33.3000000000006,12543750,748257.469173077,376689.189189183,5.00371737281657,2.51898085585581,1.41809889774268,0.713902027027015,0.515840067104778,0.50342188980148,0.163163578455027,0.167188421807576,6.68715994020927e-06,1.89520179372197e-06,0.22473751022129,0.113137782104881,0.530903328050707,3.23288288288283,8.58236173393124e-06
"7","ACR-150","ACR-150","Acropora","timepoint4","November 2020","Manava","High","Manava High",0.5048184001275,2.71747207233151,1.36755899743958,174.968947108186,221.758313874249,1.37480853061952,0.413421907887248,308.46834898369,31.1686735854219,445559.544327078,0.975636765597821,0.00215286462818937,0.169811815888331,0,"ACR-150 - timepoint4",9.61454928090664,84.7000000000007,13887500,1444425.48415441,163961.038961038,4.45688685775737,0.505914502164498,1.34024093314387,0.152134740259739,0.30846834898369,0.1135129785231,0.0573034402117386,0.155720498423918,3.08557755775578e-06,9.27871287128713e-07,0,0,0.334773218142552,0.658049242424237,4.01344884488449e-06
"8","ACR-173","ACR-173","Acropora","timepoint1","January 2020","Manava","High","Manava High",0.12499655706148,1.2823275970711,0.948660722322996,260.604733324502,326.546467257563,2.99113816163077,3.24248963646144,NA,22.9270586292849,800364.333546103,NA,NA,NA,0,"ACR-173 - timepoint1",NA,29.399999999999,18350000,NA,624149.659863967,NA,2.33258503401369,NA,2.5285969387756,NA,NA,NA,NA,3.73722070844687e-06,4.05126702997275e-06,NA,0,0.425219941348971,4.86118197278928,7.78848773841962e-06
"9","ACR-173","ACR-173","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.259296860072002,1.64971038638126,0.562401268084465,262.302481104496,324.88781751404,2.38455013216337,0.586803234216384,545.808338828848,34.0059688434533,959206.607233001,NA,NA,NA,0.398031184476261,"ACR-173 - timepoint2",18.5607413647108,56.1000000000025,32618750,1757405.55611735,581439.393939368,4.36884151913096,1.44543560606054,1.07510859118697,0.355700757575742,0.545808338828848,0.330851004718538,0.0857886266751839,0.141526388459435,2.48596091205212e-06,6.11758957654723e-07,0.729250830667639,0.241273370018217,0.254237288135574,1.80113636363628,3.09771986970684e-06
"10","ACR-173","ACR-173","Acropora","timepoint3","September 2020","Manava","High","Manava High",0.215876200057022,0.235241221743313,0.655961099091867,184.694518199487,239.358244715122,2.04095133188836,2.31153905515515,542.22355202407,41.4468175592083,179145.238096824,0.577729274539702,0.00152121414318044,0.27713000853506,0.325585053794497,"ACR-173 - timepoint3",22.4734406370475,9.75000000000037,7425000,330389.997682859,761538.461538433,3.76404035617722,8.67599358974326,4.26307386782884,9.82624999999963,0.54222355202407,2.30496827046632,0.497587791480276,0.117053159992377,1.13927188552189e-05,1.29031565656566e-05,0.600462765918444,1.38404762303846,0.736040609137037,18.5022435897429,2.42958754208754e-05
