colony_id_corr,site,species,haplotype
POC-55,Manava,Pocillopora,Pocillopora meandrina
POC-201,Mahana,Pocillopora,Pocillopora tuahiniensis
POC-219,Mahana,Pocillopora,Pocillopora tuahiniensis
POC-222,Mahana,Pocillopora,Pocillopora tuahiniensis
POC-255,Mahana,Pocillopora,Pocillopora tuahiniensis
POC-257,Mahana,Pocillopora,Pocillopora tuahiniensis
POC-259,Mahana,Pocillopora,Pocillopora tuahiniensis
POC-346,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-358,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-359,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-369,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-371,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-372,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-373,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-375,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-377,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-378,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-391,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-394,Hilton,Pocillopora,Pocillopora tuahiniensis
POC-40,Manava,Pocillopora,Pocillopora tuahiniensis
POC-42,Manava,Pocillopora,Pocillopora tuahiniensis
POC-43,Manava,Pocillopora,Pocillopora tuahiniensis
POC-44,Manava,Pocillopora,Pocillopora tuahiniensis
POC-47,Manava,Pocillopora,Pocillopora tuahiniensis
POC-48,Manava,Pocillopora,Pocillopora tuahiniensis
POC-50,Manava,Pocillopora,Pocillopora tuahiniensis
POC-52,Manava,Pocillopora,Pocillopora tuahiniensis
POC-53,Manava,Pocillopora,Pocillopora tuahiniensis
POC-56,Manava,Pocillopora,Pocillopora tuahiniensis
POC-57,Manava,Pocillopora,Pocillopora tuahiniensis
POC-68,Manava,Pocillopora,Pocillopora tuahiniensis
POR-216,Mahana,Porites,Porites evermanni
POR-235,Mahana,Porites,Porites evermanni
POR-236,Mahana,Porites,Porites evermanni
POR-245,Mahana,Porites,Porites evermanni
POR-260,Mahana,Porites,Porites evermanni
POR-262,Mahana,Porites,Porites evermanni
POR-338,Hilton,Porites,Porites evermanni
POR-340,Hilton,Porites,Porites evermanni
POR-341,Hilton,Porites,Porites evermanni
POR-349,Hilton,Porites,Porites evermanni
POR-354,Hilton,Porites,Porites evermanni
POR-355,Hilton,Porites,Porites evermanni
POR-357,Hilton,Porites,Porites evermanni
POR-362,Hilton,Porites,Porites evermanni
POR-365,Hilton,Porites,Porites evermanni
POR-367,Hilton,Porites,Porites evermanni
POR-383,Hilton,Porites,Porites evermanni
POR-385,Hilton,Porites,Porites evermanni
POR-69,Manava,Porites,Porites evermanni
POR-70,Manava,Porites,Porites evermanni
