"","Metric","Interval","Mahana","Hilton","Manava"
"1","Max","Daily",28.9873207070707,28.7133333333333,28.7722859848485
"2","Mean","Daily",28.2082540095991,28.284273843125,28.2154262720611
"3","Range","Daily",1.26885732323232,0.723364883401921,0.936101010101006
"4","SD","Daily",0.345886120154478,0.201604114155956,0.268546758953501
"5","Max","Overall",31.3311111111111,30.95,30.7477777777778
"6","Mean","Overall",28.3261679473878,28.2601207352692,28.2786447126418
"7","Range","Overall",6.8472222222222,6.442,5.3677777777778
"8","SD","Overall",0.950127405751399,0.846274881304213,0.903976967732156
