"","Metric","Interval","Mahana","Hilton","Manava"
"1","Max","Overall",8.83,8.77,8.51
"2","Mean","Overall",8.25625803780203,8.31663243529175,8.27826880363453
"3","Range","Overall",0.74,0.89,0.51
"4","SD","Overall",0.0647447274362043,0.0964508516093919,0.0688899698227618
