colony_id,corrected_salinity
POC-219_20200104_1,37.81
POR-242_20200104_1,37.85
POR-262_20200104_1,37.87
POR-214_20200104_1,38.02
POC-254_20200104_1,37.93
POC-239_20200104_1,38.03
ACR-256_20200104_2,36.88
ACR-267_20200104_2,38.02
POC-201_20200104_2,38.05
ACR-228_20200104_2,37.61
ACR-234_20200105_3,37.07
POR-209_20200105_3,38.08
ACR-229_20200105_3,37.97
POC-238_20200105_3,36.97
BK-3_20200105_3,37.43
POC-200_20200105_4,38.33
POC-205_20200105_4,38.28
ACR-246_20200105_4,38.05
BK-4_20200105_4,38.36
POC-222_20200106_5,38.35
POR-260_20200106_5,38.28
POC-371_20200106_6,38.04
ACR-393_20200106_6,38.14
POC-395_20200106_6,38.26
POC-378_20200107_7,38.02
POR-383_20200107_7,38.13
ACR-379_20200107_7,37.79
POC-358_20200107_7,37.76
POC-373_20200107_8,37.89
POR-381_20200107_8,38.1
ACR-363_20200107_8,38.25
ACR-364_20200107_8,38.05
ACR-368_20200107_8,38.15
POC-391_20200107_8,38.48
POC-394_20200107_8,38.12
BK-8_20200107_8,38.39
POR-357_20200107_8,37.88
Initial1_20200104_1,37.96
Initial2_20200104_1,38.16
Initial1_20200104_2,37.63
Initial2_20200105_3,36.46
Initial1_20200105_4,38.28
Initial2_20200105_4,38.27
Initial1_20200107_8,38.21
Initial2_20200107_8,38.31
Initial1_20200108_9,38.3
Initial2_20200108_9,38.18
