well,colony_id
A1,BK
A2,BK
A3,POR-362
A4,POR-362
A5,POR-221
A6,POR-221
A7,POR-75
A8,POR-75
A9,POC-369
A10,POC-369
A11,POC-255
A12,POC-255
B1,POR-71
B2,POR-71
B3,POC-358
B4,POC-358
B5,POR-383
B6,POR-383
B7,POC-371
B8,POC-371
B9,ACR-220
B10,ACR-220
B11,POR-384
B12,POR-384
C1,POC-391
C2,POC-391
C3,POR-82
C4,POR-82
C5,POC-248
C6,POC-248
C7,POR-387
C8,POR-387
C9,POC-42
C10,POC-42
C11,POR-214
C12,POR-214
D1,ACR-343
D2,ACR-343
D3,POR-340
D4,POR-340
D5,POC-57
D6,POC-57
D7,ACR-145
D8,ACR-145
D9,POC-47
D10,POC-47
D11,POR-79
D12,POR-79
E1,ACR-190
E2,ACR-190
E3,ACR-173
E4,ACR-173
E5,POR-69
E6,POR-69
E7,POC-40
E8,POC-40
E9,POR-70
E10,POR-70
E11,ACR-178
E12,ACR-178
F1,ACR-139
F2,ACR-139
F3,ACR-140
F4,ACR-140
F5,POC-44
F6,POC-44
F7,POR-74
F8,POR-74
F9,POC-68
F10,POC-68
F11,POR-224
F12,POR-224
G1,POR-80
G2,POR-80
G3,ACR-213
G4,ACR-213
G5,POR-216
G6,POR-216
G7,ACR-150
G8,ACR-150
G9,POR-73
G10,POR-73
G11,ACR-237
G12,ACR-237
H1,POC-205
H2,POC-205
H3,ACR-265
H4,ACR-265
H5,POC-259
H6,POC-259
H7,POC-222
H8,POC-222
H9,POC-238
H10,POC-238
H11,POC-239
H12,POC-239
