well,colony_id
A1,BK
A2,BK
A3,ACR-186
A4,ACR-186
A5,POC-43
A6,POC-43
A7,POC-55
A8,POC-55
A9,ACR-210
A10,ACR-210
A11,POC-366
A12,POC-366
B1,ACR-175
B2,ACR-175
B3,POR-251
B4,POR-251
B5,POR-245
B6,POR-245
B7,ACR-218
B8,ACR-218
B9,POC-257
B10,POC-257
B11,POR-260
B12,POR-260
C1,POR-242
C2,POR-242
C3,POC-207
C4,POC-207
C5,POR-81
C6,POR-81
C7,POR-72
C8,POR-72
C9,POC-52
C10,POC-52
C11,POC-45
C12,POC-45
D1,POR-76
D2,POR-76
D3,POR-83
D4,POR-83
D5,POC-48
D6,POC-48
D7,ACR-244
D8,ACR-244
D9,POC-201
D10,POC-201
D11,POR-262
D12,POR-262
E1,POR-253
E2,POR-253
E3,POR-240
E4,POR-240
E5,POR-209
E6,POR-209
E7,POR-219
E8,POR-219
E9,ACR-241
E10,ACR-241
E11,ACR-225
E12,ACR-225
F1,POC-377
F2,POC-377
F3,POR-381
F4,POR-381
F5,POC-375
F6,POC-375
F7,POC-373
F8,POC-373
F9,ACR-229
F10,ACR-229
F11,POC-53
F12,POC-53
G1,POC-200
G2,POC-200
G3,POC-254
G4,POC-254
G5,POC-359
G6,POC-359
G7,POR-341
G8,POR-341
G9,POC-372
G10,POC-372
G11,POR-338
G12,POR-338
H1,POR-355
H2,POR-355
H3,POR-349
H4,POR-349
H5,POR-354
H6,POR-354
H7,POR-353
H8,POR-353
H9,POC-395
H10,POC-395
H11,ACR-364
H12,ACR-364
