well,colony_id
A1,Standard1
A2,Standard1
A3,Standard2
A4,Standard2
A5,Standard3
A6,Standard3
A7,Standard4
A8,Standard4
A9,Standard5
A10,Standard5
A11,Standard6
A12,Standard6
B1,Standard7
B2,Standard7
B3,Standard8
B4,Standard8
B5,Standard9
B6,Standard9
B7,Standard10
B8,Standard10
B9,POR-260
B10,POR-260
B11,ACR-267
B12,ACR-267
C1,POR-224
C2,POR-224
C3,ACR-241
C4,ACR-241
C5,ACR-244
C6,ACR-244
C7,POC-205
C8,POC-205
C9,POC-219
C10,POC-219
C11,POC-238
C12,POC-238
D1,POC-248
D2,POC-248
D3,POC-254
D4,POC-254
D5,POC-259
D6,POC-259
D7,POR-216
D8,POR-216
D9,POR-245
D10,POR-245
D11,ACR-210
D12,ACR-210
E1,ACR-218
E2,ACR-218
E3,POR-251
E4,POR-251
E5,POC-222
E6,POC-222
E7,POR-209
E8,POR-209
E9,POC-207
E10,POC-207
E11,POR-253
E12,POR-253
F1,POR-240
F2,POR-240
F3,POR-221
F4,POR-221
F5,POC-200
F6,POC-200
F7,POC-255
F8,POC-255
F9,ACR-229
F10,ACR-229
F11,POR-242
F12,POR-242
G1,POR-74
G2,POR-74
G3,POC-375
G4,POC-375
G5,ACR-180
G6,ACR-180
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
