loggerUid,data2,data1,logDateTime,dateTime
257710678728083,29.06,35412,1578790500,11-01-2020T14:55:00
257710678728083,29.38,41166,1578790800,11-01-2020T15:00:00
257710678728083,29.5,21902,1578791100,11-01-2020T15:05:00
257710678728083,29.63,23446,1578791400,11-01-2020T15:10:00
257710678728083,29.81,28310,1578791700,11-01-2020T15:15:00
257710678728083,30,19792,1578792000,11-01-2020T15:20:00
257710678728083,30.13,20718,1578792300,11-01-2020T15:25:00
257710678728083,30.19,16364,1578792600,11-01-2020T15:30:00
257710678728083,30.25,18310,1578792900,11-01-2020T15:35:00
257710678728083,30.31,17490,1578793200,11-01-2020T15:40:00
257710678728083,30.38,16720,1578793500,11-01-2020T15:45:00
257710678728083,30.44,15748,1578793800,11-01-2020T15:50:00
257710678728083,30.44,14652,1578794100,11-01-2020T15:55:00
257710678728083,30.5,14226,1578794400,11-01-2020T16:00:00
257710678728083,30.56,13772,1578794700,11-01-2020T16:05:00
257710678728083,30.56,12344,1578795000,11-01-2020T16:10:00
257710678728083,30.56,11434,1578795300,11-01-2020T16:15:00
257710678728083,30.56,10558,1578795600,11-01-2020T16:20:00
257710678728083,30.56,9868,1578795900,11-01-2020T16:25:00
257710678728083,30.5,8972,1578796200,11-01-2020T16:30:00
257710678728083,30.5,9146,1578796500,11-01-2020T16:35:00
257710678728083,30.5,8816,1578796800,11-01-2020T16:40:00
257710678728083,30.5,7764,1578797100,11-01-2020T16:45:00
257710678728083,30.5,7518,1578797400,11-01-2020T16:50:00
257710678728083,30.5,7346,1578797700,11-01-2020T16:55:00
257710678728083,30.44,6702,1578798000,11-01-2020T17:00:00
257710678728083,30.44,5508,1578798300,11-01-2020T17:05:00
257710678728083,30.31,4980,1578798600,11-01-2020T17:10:00
257710678728083,30.31,4230,1578798900,11-01-2020T17:15:00
257710678728083,29.5,1984,1578799200,11-01-2020T17:20:00
257710678728083,28.81,16492,1578799500,11-01-2020T17:25:00
257710678728083,28.63,25690,1578799800,11-01-2020T17:30:00
257710678728083,28.56,25560,1578800100,11-01-2020T17:35:00
257710678728083,28.5,25488,1578800400,11-01-2020T17:40:00
257710678728083,28.44,25444,1578800700,11-01-2020T17:45:00
257710678728083,28.38,25432,1578801000,11-01-2020T17:50:00
257710678728083,28.31,25454,1578801300,11-01-2020T17:55:00
257710678728083,28.31,25440,1578801600,11-01-2020T18:00:00
257710678728083,28.25,25434,1578801900,11-01-2020T18:05:00
257710678728083,28.19,25424,1578802200,11-01-2020T18:10:00
257710678728083,28.19,25416,1578802500,11-01-2020T18:15:00
257710678728083,28.13,25412,1578802800,11-01-2020T18:20:00
257710678728083,28.13,25414,1578803100,11-01-2020T18:25:00
257710678728083,28.06,25406,1578803400,11-01-2020T18:30:00
257710678728083,28,25400,1578803700,11-01-2020T18:35:00
257710678728083,28,25396,1578804000,11-01-2020T18:40:00
257710678728083,28,25380,1578804300,11-01-2020T18:45:00
257710678728083,27.94,25380,1578804600,11-01-2020T18:50:00
257710678728083,27.94,23892,1578804900,11-01-2020T18:55:00
257710678728083,25.81,56,1578805200,11-01-2020T19:00:00
257710678728083,23.63,28,1578805500,11-01-2020T19:05:00
