n. ,timepoint,collection_site,colony_id,Extraction Date,Tech,Primerset,PCR.Date,PCR Notes,GSC Sanger Date,GSC.Seq.Run,GSC.For,GSC.Rev,Qubit 1,Qubit 2,Qubit AVG,Nanodrop
385,TP2,site1,POC-47,20211012,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD63,ZD64,NA,NA,NA,194
387,TP2,site1,POC-44,20211105,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD65,ZD66,NA,NA,NA,194
389,TP2,site1,POC-42,20211116,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD67,ZD68,NA,NA,NA,186
393,TP2,site1,POC-50,20210903,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD69,ZD70,NA,NA,NA,188.2
395,TP2,site1,POC-56,20211028,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD71,ZD72,NA,NA,NA,188.8
399,TP2,site1,POC-52,20211102,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD73,ZD74,NA,NA,NA,178.2
401,TP2,site1,POC-53,20211118,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD75,ZD76,NA,NA,NA,191.1
403,TP2,site1,POC-48,20211129,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD77,ZD78,NA,NA,NA,184.7
405,TP2,site1,POC-68,20211001,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD79,ZD80,NA,NA,NA,193.6
411,TP2,site1,POC-43,20210902,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD81,ZD82,NA,NA,NA,188.9
417,TP2,site1,POC-57,20211020,KXT,PocHistone,3/27/23,NA,3/28/23,ZD_230328,ZD83,ZD84,NA,NA,NA,184.1
81,TP1,site2,POC-217,20211015,KXT,mtORF,4/11/23,NA,4/13/23,ZD_230413,ZD01_230413,ZD02_230413,17.5,17.8,17.65,121
267,TP2,site2,POC-257,20211112,KXT,mtORF,4/11/23,NA,4/13/23,ZD_230413,ZD03_230413,ZD04_230413,17,17.4,17.2,125.9
273,TP2,site2,POC-200,20211007,KXT,mtORF,4/11/23,NA,4/13/23,ZD_230413,ZD05_230413,ZD06_230413,16.9,17.1,17,131.4
289,TP2,site2,POC-205,20210924,KXT,mtORF,4/11/23,NA,4/13/23,ZD_230413,ZD07_230413,ZD08_230413,15.5,15.7,15.6,118.6
299,TP2,site2,POC-255,20211004,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD09_230418,ZD10_230418,16.1,16.2,16.15,123
305,TP2,site2,POC-222,20210923,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD11_230418,ZD12_230418,16.3,16.5,16.4,119
309,TP2,site2,POC-207,20211105,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD13_230418,ZD14_230418,16,16.3,16.15,117.9
311,TP2,site2,POC-254,20211019,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD15_230418,ZD16_230418,16.8,17,16.9,115.4
315,TP2,site2,POC-219,20210910,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD17_230418,ZD18_230418,19.5,19.8,19.65,129.1
317,TP2,site2,POC-239,20211104,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD19_230418,ZD20_230418,16.6,16.8,16.7,134.8
321,TP2,site2,POC-238,20211018,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD21_230418,ZD22_230418,17,17.2,17.1,132.2
323,TP2,site2,POC-259,20211108,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD23_230418,ZD24_230418,16.1,16.5,16.3,125.4
325,TP2,site2,POC-248,20211007,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD25_230418,ZD26_230418,18,18.5,18.25,132.2
329,TP2,site2,POC-201,20210930,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD27_230418,ZD28_230418,18,18.3,18.15,132.4
335,TP2,site2,POC-215,20211115,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230418B,ZD29_230418,ZD30_230418,19.4,19.7,19.55,143.7
345,TP2,site3,POC-371,20210907,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD31_230419,ZD32_230419,15.1,15.3,15.2,126.5
349,TP2,site3,POC-372,20210831,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD33_230419,ZD34_230419,15.8,16,15.9,128.9
355,TP2,site3,POC-373,20210920,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD35_230419,ZD36_230419,13.9,14.1,14,135.8
363,TP2,site3,POC-366,20210916,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD37_230419,ZD38_230419,17.3,17.7,17.5,126.7
367,TP2,site3,POC-391,20211109,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD39_230419,ZD40_230419,13.5,13.6,13.55,128.9
369,TP2,site3,POC-394,20210927,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD41_230419,ZD42_230419,17.3,17.7,17.5,131.2
373,TP2,site3,POC-359,20211108,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD43_230419,ZD44_230419,17.4,17.6,17.5,130.9
377,TP2,site3,POC-346,20211115,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD45_230419,ZD46_230419,14.1,14.2,14.15,99.2
419,TP2,site3,POC-369,20211101,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD47_230419,ZD48_230419,18.9,19,18.95,119.6
437,TP2,site3,POC-358,20211014,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD49_230419,ZD50_230419,11.5,12.2,11.85,88
447,TP2,site3,POC-395,20211122,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD51_230419,ZD52_230419,11.5,12.2,11.85,96.9
449,TP2,site3,POC-377,20211129,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD53_230419,ZD54_230419,17,17.8,17.4,117.5
455,TP2,site3,POC-375,20210921,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD55_230419,ZD56_230419,13.6,14.2,13.9,105.9
457,TP2,site3,POC-378,20211008,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD57_230419,ZD58_230419,13,13.7,13.35,106.9
465,TP2,site3,POC-386,20211005,KXT,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD59_230419,ZD60_230419,12.9,13.4,13.15,92.8
NOT E5,NOT E5,NOT E5,RS02C,20221118,ZD,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD65_230419,ZD66_230419,6.82,7.28,7.05,90.1
