colony_id,colony_id_corr,genus
POC-200,POC-200,Pocillopora
POC-201,POC-201,Pocillopora
POC-205,POC-205,Pocillopora
POC-207,POC-207,Pocillopora
POC-215,POC-215,Pocillopora
POC-217,POC-217,Pocillopora
POC-219,POC-219,Pocillopora
POC-222,POC-222,Pocillopora
POC-238,POC-238,Pocillopora
POC-239,POC-239,Pocillopora
POC-248,POC-248,Pocillopora
POC-254,POC-254,Pocillopora
POC-255,POC-255,Pocillopora
POC-257,POC-257,Pocillopora
POC-259,POC-259,Pocillopora
POC-346,POC-346,Pocillopora
POC-358,POC-358,Pocillopora
POC-359,POC-359,Pocillopora
POC-366,POC-366,Pocillopora
POC-369,POC-369,Pocillopora
POC-371,POC-371,Pocillopora
POC-372,POC-372,Pocillopora
POC-373,POC-373,Pocillopora
POC-375,POC-375,Pocillopora
POC-377,POC-377,Pocillopora
POC-378,POC-378,Pocillopora
POC-386,POC-386,Pocillopora
POC-391,POC-391,Pocillopora
POC-394,POC-394,Pocillopora
POC-395,POC-395,Pocillopora
POC-40,POC-40,Pocillopora
POC-41,POC-41,Pocillopora
POC-42,POC-42,Pocillopora
POC-43,POC-43,Pocillopora
POC-44,POC-44,Pocillopora
POC-45,POC-45,Pocillopora
POC-47,POC-47,Pocillopora
POC-48,POC-48,Pocillopora
POC-50,POC-50,Pocillopora
POC-52,POC-52,Pocillopora
POC-53,POC-53,Pocillopora
POC-55,POC-55,Pocillopora
POC-56,POC-56,Pocillopora
POC-57,POC-57,Pocillopora
POC-68,POC-68,Pocillopora
POR-209,POR-209,Porites
POR-214,POR-214,Porites
POR-216,POR-216,Porites
POR-221,POR-221,Porites
POR-224,POR-224,Porites
POR-235,POR-235,Porites
POR-236,POR-236,Porites
POR-240,POR-240,Porites
POR-242,POR-242,Porites
POR-245,POR-245,Porites
POR-251,POR-251,Porites
POR-253,POR-253,Porites
POR-260,POR-260,Porites
POR-262,POR-262,Porites
POR-266,POR-266,Porites
POR-338,POR-338,Porites
POR-340,POR-340,Porites
POR-341,POR-341,Porites
POR-349,POR-349,Porites
POR-353,POR-353,Porites
POR-354,POR-354,Porites
POR-355,POR-355,Porites
POR-357,POR-357,Porites
POR-362,POR-362,Porites
POR-365,POR-365,Porites
POR-367,POR-367,Porites
POR-381,POR-381,Porites
POR-383,POR-383,Porites
POR-384,POR-384,Porites
POR-385,POR-385,Porites
POR-69,POR-69,Porites
POR-70,POR-70,Porites
POR-71,POR-71,Porites
POR-72,POR-72,Porites
POR-73,POR-73,Porites
POR-74,POR-74,Porites
POR-75,POR-75,Porites
POR-76,POR-76,Porites
POR-77,POR-77,Porites
POR-78,POR-78,Porites
POR-79,POR-79,Porites
POR-80,POR-80,Porites
POR-81,POR-81,Porites
POR-82,POR-82,Porites
POR-83,POR-83,Porites
