colony_id_corr,site,genus,mtORF,Histone,H2.Forward,H2.Reverse,Genus.Species
POR-340,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-341,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-349,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-354,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-355,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-357,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-365,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-367,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-383,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-385,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-69,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-70,Manava,Porites,NA,NA,Porites evermanni,Failed Seq,Porites evermanni
POR-71,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-72,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-73,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-74,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-75,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-76,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-77,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-78,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-79,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-80,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-81,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-82,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-209,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-214,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-221,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-224,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-240,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-242,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-251,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-253,Mahana,Porites,NA,NA,Failed Seq,Porites lobata,Porites lobata lutea
POR-266,Mahana,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-353,Hilton,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-381,Hilton,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-384,Hilton,Porites,NA,NA,Porites lobata,Porites lobata,Porites lobata lutea
POR-362,Hilton,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
POR-83,Manava,Porites,NA,NA,Porites evermanni,Porites evermanni,Porites evermanni
