well,colony_id
A1,BK
A2,BK
A3,POR-73
A4,POR-73
A5,POC-68
A6,POC-68
A7,POR-6-2
A8,POR-6-2
A9,ACR-8-2
A10,ACR-8-2
A11,ACR-6-2
A12,ACR-6-2
B1,ACR-4-2
B2,ACR-4-2
B3,POC-7-2
B4,POC-7-2
B5,POC-1-2
B6,POC-1-2
B7,POR-13-2
B8,POR-13-2
B9,POR-5-2
B10,POR-5-2
B11,POR-2-2
B12,POR-2-2
C1,ACR-9-2
C2,ACR-9-2
C3,ACR-13-2
C4,ACR-13-2
C5,POR-12-2
C6,POR-12-2
C7,POC-12-2
C8,POC-12-2
C9,POR-14-2
C10,POR-14-2
C11,POR-4-2
C12,POR-4-2
D1,ACR-1-2
D2,ACR-1-2
D3,POR-7-2
D4,POR-7-2
D5,POR-9-2
D6,POR-9-2
D7,ACR-14-2
D8,ACR-14-2
D9,ACR-11-2
D10,ACR-11-2
D11,ACR-10-2
D12,ACR-10-2
E1,ACR-7-2
E2,ACR-7-2
E3,ACR-2-2
E4,ACR-2-2
E5,POC-13-2
E6,POC-13-2
E7,POC-10-2
E8,POC-10-2
E9,POC-9-2
E10,POC-9-2
E11,POC-6-2
E12,POC-6-2
F1,POC-5-2
F2,POC-5-2
F3,POC-2-2
F4,POC-2-2
F5,POR-11-2
F6,POR-11-2
F7,POR-1-2
F8,POR-1-2
F9,ACR-12-2
F10,ACR-12-2
F11,ACR-3-2
F12,ACR-3-2
G1,POR-8-2
G2,POR-8-2
G3,POC-8-2
G4,POC-8-2
G5,POR-3-2
G6,POR-3-2
G7,ACR-14-0
G8,ACR-14-0
G9,ACR-7-0
G10,ACR-7-0
G11,POR-10-0
G12,POR-10-0
H1,POR-6-0
H2,POR-6-0
H3,POC-13-0
H4,POC-13-0
H5,ACR-1-0
H6,ACR-1-0
H7,POC-11-0
H8,POC-11-0
H9,POC-4-0
H10,POC-4-0
H11,POR-3-0
H12,POR-3-0
