well,colony_id
A1,BK
A2,BK
A3,ACR-267
A4,ACR-267
A5,POC-205
A6,POC-205
A7,POR-260
A8,POR-260
A9,ACR-229
A10,ACR-229
A11,ACR-245
A12,ACR-245
B1,POC-254
B2,POC-254
B3,POR-224
B4,POR-224
B5,ACR-244
B6,ACR-244
B7,POR-209
B8,POR-209
B9,POR-216
B10,POR-216
B11,ACR-218
B12,ACR-218
C1,ACR-241
C2,ACR-241
C3,POC-207
C4,POC-207
C5,POC-222
C6,POC-222
C7,POR-240
C8,POR-240
C9,ACR-210
C10,ACR-210
C11,POR-251
C12,POR-251
D1,POC-259
D2,POC-259
D3,POC-255
D4,POC-255
D5,POC-219
D6,POC-219
D7,POR-221
D8,POR-221
D9,POC-238
D10,POC-238
D11,POR-253
D12,POR-253
E1,POC-248
E2,POC-248
E3,POC-200
E4,POC-200
E5,ACR-220
E6,ACR-220
E7,ACR-256
E8,ACR-256
E9,POC-239
E10,POC-239
E11,ACR-225
E12,ACR-225
F1,ACR-237
F2,ACR-237
F3,ACR-213
F4,ACR-213
F5,POC-257
F6,POC-257
F7,POR-214
F8,POR-214
F9,POR-354
F10,POR-354
F11,ACR-234
F12,ACR-234
G1,POC-373
G2,POC-373
G3,POC-359
G4,POC-359
G5,POR-349
G6,POR-349
G7,POR-262
G8,POR-262
G9,POC-372
G10,POC-372
G11,POR-340
G12,POR-340
H1,POR-341
H2,POR-341
H3,POR-338
H4,POR-338
H5,POC-371
H6,POC-371
H7,ACR-368
H8,ACR-368
H9,POC-369
H10,POC-369
H11,ACR-398
H12,ACR-398
