Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\November_E5_EEM\20201117_Plate2_TAC_final.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\TAC.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/17/2020,,,,,,,,,,,,,
Time,9:13:17 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,490,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  490,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.061,0.062,0.061,0.063,0.06,0.06,0.06,0.06,0.061,0.06,0.061,0.06,490:490
,B,0.059,0.06,0.06,0.061,0.059,0.061,0.06,0.083,0.187,0.192,0.427,0.444,490:490
,C,0.29,0.288,0.273,0.284,0.244,0.244,0.214,0.208,0.953,0.865,0.221,0.256,490:490
,D,0.779,0.846,0.428,0.482,0.524,0.626,0.6,0.68,0.219,0.252,0.366,0.389,490:490
,E,0.559,0.521,0.22,0.231,0.273,0.276,0.249,0.274,0.215,0.229,0.168,0.171,490:490
,F,0.257,0.263,0.398,0.354,0.203,0.213,0.616,0.651,0.615,0.651,0.883,0.907,490:490
,G,0.64,0.681,0.231,0.231,0.709,0.76,0.508,0.532,0.207,0.213,0.234,0.243,490:490
,H,0.265,0.286,0.204,0.206,0.171,0.193,0.167,0.179,0.219,0.213,0.203,0.207,490:490
