well,colony_id
A1,BK
A2,BK
A3,POR-235
A4,POR-235
A5,ACR-350
A6,ACR-350
A7,POR-353
A8,POR-353
A9,ACR-258
A10,ACR-258
A11,POC-222
A12,POC-222
B1,POR-251
B2,POR-251
B3,ACR-247
B4,ACR-247
B5,POR-245
B6,POR-245
B7,POR-216
B8,POR-216
B9,ACR-313
B10,ACR-313
B11,POCA-373
B12,NA
C1,POCA-373
C2,POC-394
C3,POC-394
C4,POR-355
C5,POR-355
C6,ACR-345
C7,ACR-345
C8,POR-362
C9,POR-362
C10,ACR-389
C11,ACR-389
C12,NA
D1,ACR-343
D2,ACR-343
D3,ACR-229
D4,ACR-229
D5,POC-207
D6,POC-207
D7,POC-217
D8,POC-217
D9,POR-224
D10,POR-224
D11,POC-43
D12,NA
E1,POC-43
E2,POR-79
E3,POR-79
E4,ACR-175
E5,ACR-175
E6,POR-82
E7,POR-82
E8,POR-73
E9,POR-73
E10,ACR-176
E11,ACR-176
E12,NA
F1,ACR-165
F2,ACR-165
F3,POR-340
F4,POR-340
F5,POC-366
F6,POC-366
F7,POC-375
F8,POC-375
F9,POC-359
F10,POC-359
F11,ACR-374
F12,ACR-258
G1,ACR-374
G2,POC-372
G3,POC-372
G4,ACR-396
G5,ACR-396
G6,POR-341
G7,POR-341
G8,ACR-368
G9,ACR-368
G10,POR-381
G11,POR-381
G12,ACR-258
H1,POR-384
H2,POR-384
H3,POC-48
H4,POC-48
H5,POC-369
H6,POC-369
H7,ACR-364
H8,ACR-364
H9,POC-378
H10,POC-378
H11,POC-205
H12,POC-205
