,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.085,0.083,1.098,1.043,0.954,0.927,0.901,0.895,0.946,0.955,1.01,0.972,562:562
B,0.925,0.94,1.325,1.321,0.708,0.706,0.765,0.763,0.678,0.651,1.398,1.372,562:562
C,1.257,1.243,1.027,1.038,0.959,0.98,2.074,1.878,1.298,1.222,1.04,1.131,562:562
D,1.227,1.307,1.706,1.664,1.014,1.041,1.102,0.994,1.112,1.103,0.767,0.757,562:562
E,0.63,0.639,1.08,1.103,1.228,1.136,0.928,0.955,0.959,0.941,1.126,0.891,562:562
F,1.504,1.462,1.267,1.145,1.018,1.004,0.643,0.646,2.215,2.221,1.012,0.959,562:562
G,1.005,0.871,1.075,1.082,0.867,0.792,0.911,0.856,1.008,1.006,0.793,0.769,562:562
H,1.2,1.311,0.686,0.727,1.44,1.469,0.939,0.875,1.279,1.236,1.133,1.063,562:562
