Date,colony_id,Chamber.Channel,Position,Bin.ID,Run,Fragment.Number,Temp.Cat,Chamber.Vol.L,Notes
20200304,POR-214,1,3,1,1,1,,0.6,
20200304,ACR-225,2,10,2,1,2,,0.61,
20200304,BK-1,3,7,2,1,NA,,0.61,
20200304,POC-255,4,11,2,1,3,,0.605,
20200304,POC-200,5,6,1,1,4,,0.605,
20200304,ACR-237,6,5,1,1,5,,0.605,
20200304,POR-224,7,12,2,1,6,,0.61,
20200304,POC-215,8,9,2,1,7,,0.6,
20200304,POR-253,9,1,1,1,8,,0.6,
20200304,ACR-258,10,4,1,1,9,,0.6,
20200304,POR-235,1,12,2,2,1,,0.58,
20200304,POR-262,2,10,2,2,2,,0.59,
20200304,POC-254,3,1,1,2,3,,0.605,
20200304,POR-245,4,4,1,2,4,,0.61,
20200304,POR-240,5,5,1,2,5,,0.605,
20200304,ACR-229,6,9,2,2,6,,0.605,
20200304,POC-257,7,6,1,2,7,,0.61,
20200304,BK-2,8,3,1,2,NA,,0.61,
20200304,ACR-244,9,11,2,2,8,,0.6,
20200304,POC-201,10,7,2,2,9,,0.6,
20200305,BK-3,1,9,2,3,NA,,0.6,no water spilled (ES)
20200305,POC-259,2,7,2,3,1,,0.605,
20200305,POC-207,3,6,1,3,2,,0.61,
20200305,POC-239,4,5,1,3,3,,0.61,
20200305,POR-209,5,12,2,3,4,,0.61,
20200305,POC-217,6,4,1,3,5,,0.61,
20200305,POR-221,7,3,1,3,6,,0.59,
20200305,POR-206,8,10,2,3,7,,0.59,
20200305,POR-236,9,11,2,3,8,,0.59,
20200305,ACR-265,10,1,1,3,9,,0.6,
20200306,POC-248,1,3,1,4,1,,0.6,
20200306,BK-4,2,7,2,4,NA,,0.615,
20200306,POC-238,3,11,2,4,2,,0.6,
20200306,POC-205,4,10,2,4,3,,0.61,
20200306,POR-266,5,12,2,4,4,,0.6,
20200306,POC-222,6,6,1,4,5,,0.607,
20200306,POC-219,7,4,1,4,6,,0.605,may have been leaking from bottom
20200306,POR-260,8,1,1,4,7,,0.54,may have been leaking from bottom
20200306,POR-216,9,5,1,4,8,,0.595,
20200306,POR-242,10,9,2,4,9,,0.582,
20200306,ACR-360,1,4,1,5,1,,0.6,
20200306,POR-349,2,1,1,5,2,,0.595,
20200306,ACR-368,3,10,2,5,3,,0.61,
20200306,POR-355,4,6,1,5,4,,0.595,
20200306,POC-394,5,5,1,5,5,,0.61,
20200306,POR-367,6,8,2,5,6,,0.6,
20200306,BK-5,7,11,2,5,NA,,0.61,
20200306,ACR-351,8,9,2,5,7,,0.605,
20200306,POR-353,9,12,2,5,8,,0.605,
20200306,POC-359,10,3,1,5,9,,0.605,
20200307,POR-383,1,1,1,6,1,,0.595,
20200307,POR-381,2,3,1,6,2,,0.61,
20200307,POR-341,3,12,2,6,3,,0.615,
20200307,ACR-343,4,4,1,6,4,,0.615,
20200307,ACR-396,5,5,1,6,5,,0.615,
20200307,ACR-350,6,11,2,6,6,,0.61,
20200307,BK-6,7,7,2,6,NA,,0.615,
20200307,POC-378,8,6,1,6,7,,0.605,
20200307,POC-366,9,9,2,6,8,,0.61,
20200307,POC-238,10,10,2,6,9,,0.595,
20200307,POC-373,1,12,2,7,1,,0.605,
20200307,POC-391,2,3,1,7,2,,0.61,
20200307,ACR-347,3,9,2,7,3,,0.61,
20200307,POR-357,4,6,1,7,4,,0.61,
20200307,POR-384,5,1,1,7,5,,0.575,
20200307,POR-338,6,4,1,7,6,,0.605,
20200307,POC-377,7,10,2,7,7,,0.605,
20200307,BK-7,8,11,2,7,NA,,0.61,
20200307,ACR-364,9,7,2,7,8,,0.61,
20200307,POC-371,10,5,1,7,9,,0.6,
20200308,ACR-393,1,3,1,8,1,,0.6,
20200308,POC-395,2,9,2,8,2,,0.615,
20200308,POR-365,3,7,2,8,3,,0.61,
20200308,POC-346,4,10,2,8,4,,0.605,
20200308,POC-369,5,6,1,8,5,,0.605,
20200308,POR-385,6,5,1,8,6,,0.605,
20200308,POC-372,7,12,2,8,7,,0.615,
20200308,BK-8,8,11,2,8,NA,,0.615,
20200308,POR-340,9,1,1,8,8,,0.6,
20200308,POC-375,10,4,1,8,9,,0.6,
20200308,ACR-150,1,11,2,9,1,,0.6,
20200308,POR-73,2,6,1,9,2,,0.59,
20200308,ACR-186,3,7,2,9,3,,0.605,
20200308,POC-42,4,9,2,9,4,,0.61,
