sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth
ACR_139_TP1,ACR-139-TP1_S231_L001_R1_001.fastq.gz,ACR-139-TP1_S231_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_139_TP2,ACR-139-TP2_S42_L001_R1_001.fastq.gz,ACR-139-TP2_S42_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_139_TP3,ACR-139-TP3_S184_L001_R1_001.fastq.gz,ACR-139-TP3_S184_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_139_TP4,ACR-139-TP4_S126_L001_R1_001.fastq.gz,ACR-139-TP4_S126_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_140_TP1,ACR-140-TP1_S252_L001_R1_001.fastq.gz,ACR-140-TP1_S252_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_140_TP2,ACR-140-TP2_S38_L001_R1_001.fastq.gz,ACR-140-TP2_S38_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_140_TP3,ACR-140-TP3_S170_L001_R1_001.fastq.gz,ACR-140-TP3_S170_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_140_TP4,ACR-140-TP4_S101_L001_R1_001.fastq.gz,ACR-140-TP4_S101_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_145_TP1,ACR-145-TP1_S260_L001_R1_001.fastq.gz,ACR-145-TP1_S260_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_145_TP2,ACR-145-TP2_S39_L001_R1_001.fastq.gz,ACR-145-TP2_S39_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_145_TP3,ACR-145-TP3_S135_L001_R1_001.fastq.gz,ACR-145-TP3_S135_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
