colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
ACR-139,Coral,NA,4.5644,4.9514,
ACR-140,Coral,NA,4.9157,5.2593,
ACR-145,Coral,NA,3.0073,3.2477,
ACR-150,Coral,NA,3.9744,4.4053,
ACR-173,Coral,NA,9.7271,10.4936,
ACR-178,Coral,NA,7.4835,7.9655,
ACR-186,Coral,NA,6.4492,7.0966,
ACR-190,Coral,NA,5.5747,5.9823,
ACR-51,Coral,NA,5.0812,5.5076,
ACR-225,Coral,NA,2.7214,3.1068,
ACR-229,Coral,NA,2.8618,3.1682,
ACR-237,Coral,NA,3.525,3.9089,
ACR-244,Coral,NA,5.6107,6.1256,
ACR-258,Coral,NA,3.9952,4.3461,
ACR-265,Coral,NA,8.8149,9.3831,
ACR-343,Coral,NA,3.4408,3.7337,
ACR-347,Coral,NA,8.0465,8.6081,
ACR-350,Coral,NA,3.345,3.6844,
ACR-351,Coral,NA,5.3198,5.719,
ACR-360,Coral,NA,6.0088,6.4274,
ACR-364,Coral,NA,3.7017,3.993,
ACR-368,Coral,NA,3.414,3.6666,
ACR-393,Coral,NA,7.291,7.6945,
ACR-396,Coral,NA,2.7954,3.0202,
POC-200,Coral,NA,13.1454,14.0508,
POC-201,Coral,NA,6.8331,7.2314,
POC-205,Coral,NA,7.0265,7.3986,
POC-207,Coral,NA,6.0377,6.401,
POC-215,Coral,NA,11.4102,12.1195,
POC-217,Coral,NA,4.2979,4.5596,
POC-219,Coral,NA,5.5298,5.8204,
POC-222,Coral,NA,7.8005,8.2629,
POC-238,Coral,NA,26.1034,28.2139,
POC-239,Coral,NA,7.4284,7.8787,
POC-248,Coral,NA,8.6189,9.2145,
POC-254,Coral,NA,14.7136,15.6645,
POC-255,Coral,NA,10.0932,10.6625,
POC-257,Coral,NA,8.0705,8.5243,
POC-259,Coral,NA,19.9046,21.2568,
POC-346,Coral,NA,6.1299,6.6381,
POC-359,Coral,NA,8.1715,8.6839,
POC-366,Coral,NA,4.5558,4.9124,
POC-369,Coral,NA,6.4854,6.899,
POC-371,Coral,NA,5.5051,5.9179,
POC-372,Coral,NA,7.3886,8.2103,
POC-373,Coral,NA,4.1172,4.456,
POC-375,Coral,NA,9.0687,10.5287,
POC-377,Coral,NA,6.1568,6.7079,
POC-378,Coral,NA,6.8513,7.363,
POC-386,Coral,NA,7.514,7.9673,
POC-391,Coral,NA,12.3008,13.2546,
POC-394,Coral,NA,5.2953,5.7009,
POC-395,Coral,NA,5.3358,5.8032,
POC-40,Coral,NA,7.4409,8.175,
POC-41,Coral,NA,7.5691,8.2551,
POC-42,Coral,NA,3.8069,4.2435,
POC-43,Coral,NA,5.5547,5.9461,
POC-44,Coral,NA,2.9362,3.2234,
POC-45,Coral,NA,5.0902,5.442,
POC-47,Coral,NA,6.1645,6.6379,
POC-48,Coral,NA,3.7278,4.0857,
POC-50,Coral,NA,3.1673,3.4064,
POC-52,Coral,NA,3.656,3.9936,
POC-53,Coral,NA,4.4141,4.8534,
POC-55,Coral,NA,7.6949,8.0904,
POC-56,Coral,NA,5.8685,6.3071,
POC-57,Coral,NA,3.8146,4.1575,
POC-68,Coral,NA,3.89,4.2071,
POR-206,Coral,NA,22.4264,22.7744,
POR-209,Coral,NA,3.2206,3.3827,
POR-214,Coral,NA,10.2156,10.5806,
POR-216,Coral,NA,17.1626,17.6368,
POR-221,Coral,NA,18.1391,18.583,
POR-224,Coral,NA,8.019,8.583,
POR-235,Coral,NA,22.1976,22.7932,
POR-236,Coral,NA,19.5701,20.0949,
POR-240,Coral,NA,13.594,13.7682,
POR-242,Coral,NA,31.8014,32.7947,
POR-245,Coral,NA,14.2042,14.6268,
POR-253,Coral,NA,17.7454,18.1992,
POR-260,Coral,NA,19.6748,20.1804,
POR-262,Coral,NA,12.0852,12.3794,
POR-266,Coral,NA,17.6847,18.0354,
POR-338,Coral,NA,7.6027,7.8287,
POR-340,Coral,NA,15.0427,15.442,
POR-341,Coral,NA,4.6554,4.8158,
POR-349,Coral,NA,6.8405,7.0523,
POR-353,Coral,NA,8.6318,8.9439,
POR-354,Coral,NA,9.8575,10.1006,
POR-355,Coral,NA,20.4374,20.9746,
POR-357,Coral,NA,5.6992,5.9582,
POR-365,Coral,NA,7.918,8.1579,
POR-367,Coral,NA,11.6904,12.0153,
POR-381,Coral,NA,6.3905,6.6452,
POR-383,Coral,NA,14.9047,15.6451,
POR-384,Coral,NA,48.5373,49.7159,
POR-385,Coral,NA,9.1561,9.4815,
POR-69,Coral,NA,26.4447,26.9892,
POR-70,Coral,NA,23.4749,23.9372,
POR-71,Coral,NA,25.2024,25.7071,
POR-72,Coral,NA,4.4496,4.5754,
POR-73,Coral,NA,35.1563,35.8596,
POR-74,Coral,NA,2.8058,2.9579,
POR-75,Coral,NA,16.1869,16.7117,
POR-76,Coral,NA,26.6642,27.3042,
POR-77,Coral,NA,8.3178,8.6314,
POR-78,Coral,NA,27.775,28.3443,
POR-79,Coral,NA,9.533,9.7845,
POR-80,Coral,NA,12.1418,12.4439,
POR-81,Coral,NA,5.104,5.2853,
POR-82,Coral,NA,4.7192,4.8984,
POR-83,Coral,NA,30.1286,30.694,
Standard1,Standard,7.44,NA,NA,
Standard2,Standard,6.22,94.269,97.512,
Standard3,Standard,5.08,46.6225,48.3934,
Standard4,Standard,3.16,12.3568,13.0377,
Standard5,Standard,2.52,5.3749,5.7797,
Standard6,Standard,1.9,2.6171,2.806,
Standard7,Standard,1.18,0.529,0.5935,
