Date,Run.Number,Start.Time,Stop.Time,pH.mV,Temp.C,Salinity,Notes
20200304,1,12:37,14:33,-63.5,27.34,35.5,
20200304,2,17:58,19:51,-63.4,27.38,35.57,
20200305,3,18:25,19:55,-62.8,29.55,35.7,
20200306,4,14:04,15:36,-62.1,30.35,35.64,
20200306,5,19:08,20:38,-63,29.72,35.89,
20200307,6,11:05,12:35,-63.7,28.85,36.22,
20200307,7,15:41,17:11,-64,29.59,36.05,
20200308,8,11:16,12:46,-64.5,28.84,36.25,
20200308,9,16:07,17:37,-64.8,29.9,36.12,
20200309,10,11:36,13:10,-64.6,28.57,36.45,
20200309,11,16:10,17:40,-65,30.17,36.19,
20200310,12,11:48,11:18,-65.2,28.75,36.9,
20200310,13,,,,,,
