Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,Fragment.ID,Plug.ID,Site,Vol.ml,pH.mV,Temp.C,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20200304,1,12:37,14:33,1,1,3,Porites,POR-214,214,2,0.6,-62.7,28.18,35.23,,12:37,14:26,
20200304,1,12:37,14:33,2,2,10,Acropora,ACR-225,225,2,0.61,-61.2,28.59,35.49,,12:37,14:18,
20200304,1,12:37,14:33,3,3,7,NA,BK-1,NA,NA,0.61,-63.4,28.29,35.76,,12:37,14:16,
20200304,1,12:37,14:33,4,4,11,Pocillopora,POC-255,255,2,0.605,-63.1,28.58,35.36,,12:37,14:20,
20200304,1,12:37,14:33,5,5,6,Pocillopora,POC-200,200,2,0.605,-63.1,28.06,35.28,,12:37,14:33,
20200304,1,12:37,14:33,6,6,5,Acropora,ACR-237,237,2,0.605,-64.3,28.1,35.3,,12:37,14:31,
20200304,1,12:37,14:33,7,7,12,Porites,POR-224,224,2,0.61,-62.2,28.7,35.34,,12:37,14:10,
20200304,1,12:37,14:33,8,8,9,Pocillopora,POC-215,215,2,0.6,-63.6,28.58,36.02,,12:37,14:07,
20200304,1,12:37,14:33,9,9,1,Porites,POR-253,253,2,0.6,-62.7,27.92,35.42,,12:38,14:24,
20200304,1,12:37,14:33,10,10,4,Acropora,ACR-258,258,2,0.6,NA,NA,NA,,12:36,14:28,
20200304,2,17:58,19:51,1,1,12,Porites,POR-235,235,2,0.58,-62.8,27.22,35.48,,18:00,19:37,
20200304,2,17:58,19:51,2,2,10,Porites,POR-262,262,2,0.59,-60.6,27.06,35.43,,18:00,19:41,
20200304,2,17:58,19:51,3,3,1,Pocillopora,POC-254,254,2,0.605,-61.2,27.03,35.52,,17:58,19:43,
20200304,2,17:58,19:51,4,4,4,Porites,POR-245,245,2,0.61,-60.6,27.11,35.55,,18:01,19:47,
20200304,2,17:58,19:51,5,5,5,Porites,POR-240,240,2,0.605,-60.5,27.26,35.53,,18:04,19:48,
20200304,2,17:58,19:51,6,6,9,Acropora,ACR-229,229,2,0.605,-61.3,27.28,35.89,,17:58,19:32,
20200304,2,17:58,19:51,7,7,6,Pocillopora,POC-257,257,2,0.61,-61.1,27.04,35.5,,18:04,19:51,
20200304,2,17:58,19:51,8,8,3,NA,BK-2,NA,NA,0.61,-63.4,27.27,35.46,,18:01,19:45,
20200304,2,17:58,19:51,9,9,11,Acropora,ACR-244,244,2,0.6,-61.8,27.37,35.47,,17:59,19:39,
20200304,2,17:58,19:51,10,10,7,Pocillopora,POC-201,201,2,0.6,-61.5,27.2,35.57,,17:59,19:35,
20200305,3,18:25,19:55,1,1,9,NA,BK-3,NA,NA,0.6,-63.7,28.67,35.59,,18:13,20:06,
20200305,3,18:25,19:55,2,2,7,Pocillopora,POC-259,259,2,0.605,-64.1,28.72,35.53,,18:14,20:05,
20200305,3,18:25,19:55,3,3,6,Pocillopora,POC-207,207,2,0.61,-64.8,29.04,35.53,,18:14,20:03,
20200305,3,18:25,19:55,4,4,5,Pocillopora,POC-239,239,2,0.61,-64.2,29.11,35.56,,18:14,20:02,
20200305,3,18:25,19:55,5,5,12,Porites,POR-209,209,2,0.61,-63.5,28.41,35.56,,18:15,20:10,
20200305,3,18:25,19:55,6,6,4,Pocillopora,POC-217,217,2,0.61,-63.6,28.91,35.67,,18:14,20:00,
20200305,3,18:25,19:55,7,7,3,Porites,POR-221,221,2,0.59,-62.5,28.95,35.7,,18:20,19:59,
20200305,3,18:25,19:55,8,8,10,Porites,POR-206,206,2,0.59,-65.6,28.71,35.55,,18:14,20:07,
20200305,3,18:25,19:55,9,9,11,Porites,POR-236,236,2,0.59,-64.8,28.6,35.51,,18:14,20:09,
20200305,3,18:25,19:55,10,10,1,Acropora,ACR-265,265,2,0.6,-61.5,28.73,35.81,,18:15,19:57,
20200306,4,14:04,15:36,1,1,3,,POC-248,248,2,0.6,-65.6,28.55,35.68,,13:54,15:42,
20200306,4,14:04,15:36,2,2,7,,BK-4,NA,NA,0.615,-63.8,28.32,35.78,,13:54,15:48,
20200306,4,14:04,15:36,4,4,10,,POC-205,205,2,0.61,-65,28.3,35.72,,13:54,15:47,
20200306,4,14:04,15:36,5,5,12,,POR-266,266,2,0.6,-63.3,28.29,35.71,,13:54,15:40,
20200306,4,14:04,15:36,6,6,6,,POC-222,222,2,0.607,-63.9,28.53,35.34,,13:54,15:50,
20200306,4,14:04,15:36,7,7,4,,POC-219,219,2,0.605,-64,28.49,35.79,,13:54,15:45,
20200306,4,14:04,15:36,8,8,1,,POR-260,260,2,0.54,-64.5,28.52,35.71,,13:54,15:44,
20200306,4,14:04,15:36,9,9,5,,POR-216,216,2,0.595,-63.1,28.58,35.72,,13:54,15:52,
20200306,4,14:04,15:36,10,10,9,,POR-242,242,2,0.582,-63.7,28.09,35.86,,13:54,15:38,
20200306,5,19:08,20:38,1,1,4,,ACR-360,360,3,0.6,-64.2,28.24,35.8,,19:00,20:49,
20200306,5,19:08,20:38,2,2,1,,POR-349,349,3,0.595,-65,28.26,35.76,,19:00,20:48,
20200306,5,19:08,20:38,3,3,10,,ACR-368,368,3,0.61,-64.5,29.05,35.79,,19:00,20:46,
