Date,site,colony_id,Notes
20200110,site1,ACR-139,
20200110,site1,ACR-139,
20200110,site1,ACR-140,
20200110,site1,ACR-140,
20200110,site1,ACR-145,
20200110,site1,ACR-145,
20200110,site1,ACR-150,
20200110,site1,ACR-150,
20200110,site1,ACR-165,
20200110,site1,ACR-165,
20200110,site1,ACR-173,
20200110,site1,ACR-173,
20200110,site1,ACR-175,
20200110,site1,ACR-175,
20200110,site1,ACR-176,
20200110,site1,ACR-176,
20200110,site1,ACR-180,
20200110,site1,ACR-180,
20200110,site1,ACR-185,
20200110,site1,ACR-185,
20200110,site1,ACR-186,
20200110,site1,ACR-186,
20200110,site1,ACR-187,
20200110,site1,ACR-187,
20200110,site1,ACR-187,
20200110,site1,ACR-187,
20200110,site1,ACR-190,
20200110,site1,ACR-190,
20200110,site1,ACR-193,
20200110,site1,ACR-193,
20200110,site1,ACR-51,
20200110,site1,ACR-51,
20200110,site1,POC-40,
20200110,site1,POC-40,
20200110,site1,POC-41,
20200110,site1,POC-41,
20200110,site1,POC-42,
20200110,site1,POC-42,
20200110,site1,POC-43,
20200110,site1,POC-43,
20200110,site1,POC-44,
20200110,site1,POC-44,
20200110,site1,POC-45,
20200110,site1,POC-45,
20200110,site1,POC-47,
20200110,site1,POC-47,
20200110,site1,POC-48,
20200110,site1,POC-48,
20200110,site1,POC-50,
20200110,site1,POC-50,
20200110,site1,POC-52,
20200110,site1,POC-52,
20200110,site1,POC-53,
20200110,site1,POC-53,
20200110,site1,POC-55,
20200110,site1,POC-55,
20200110,site1,POC-56,
20200110,site1,POC-56,
20200110,site1,POC-57,
20200110,site1,POC-57,
20200110,site1,POC-68,
20200110,site1,POC-68,
20200110,site1,POR-69,
20200110,site1,POR-69,
20200110,site1,POR-70,
20200110,site1,POR-70,
20200110,site1,POR-71,
20200110,site1,POR-71,
20200110,site1,POR-72,
20200110,site1,POR-72,
20200110,site1,POR-73,
20200110,site1,POR-73,
20200110,site1,POR-74,
20200110,site1,POR-74,
20200110,site1,POR-75,
20200110,site1,POR-75,
20200110,site1,POR-76,
20200110,site1,POR-76,
20200110,site1,POR-77,
20200110,site1,POR-77,
20200110,site1,POR-78,
20200110,site1,POR-78,
20200110,site1,POR-79,
20200110,site1,POR-79,
20200110,site1,POR-80,
20200110,site1,POR-80,
20200110,site1,POR-81,
20200110,site1,POR-81,
20200110,site1,POR-82,
20200110,site1,POR-82,
20200110,site1,POR-83,
20200110,site1,POR-83,
20200103,site2,ACR-225,
20200103,site2,ACR-225,
20200103,site2,ACR-228,
20200103,site2,ACR-228,
20200103,site2,ACR-229,
20200103,site2,ACR-229,
20200103,site2,ACR-231,
20200103,site2,ACR-231,
20200103,site2,ACR-234,
20200103,site2,ACR-234,
20200103,site2,ACR-237,
20200103,site2,ACR-237,
20200103,site2,ACR-243,
20200103,site2,ACR-243,
20200103,site2,ACR-244,
20200103,site2,ACR-244,
20200103,site2,ACR-246,
20200103,site2,ACR-246,
20200103,site2,ACR-247,
20200103,site2,ACR-247,
20200103,site2,ACR-256,
20200103,site2,ACR-256,
20200103,site2,ACR-258,
20200103,site2,ACR-258,
20200103,site2,ACR-265,
20200103,site2,ACR-265,
20200103,site2,ACR-267,
20200103,site2,ACR-267,
20200103,site2,POC-200,
20200103,site2,POC-200,
20200103,site2,POC-201,
20200103,site2,POC-201,
20200103,site2,POC-205,
20200103,site2,POC-205,
20200103,site2,POC-207,
20200103,site2,POC-207,
20200103,site2,POC-217,
20200103,site2,POC-217,
20200103,site2,POC-219,
20200103,site2,POC-219,
20200103,site2,POC-222,
20200103,site2,POC-222,
20200103,site2,POC-238,
20200103,site2,POC-238,
20200103,site2,POC-239,
20200103,site2,POC-239,
20200103,site2,POC-248,
20200103,site2,POC-248,
20200103,site2,POC-254,
20200103,site2,POC-254,
20200103,site2,POC-255,
20200103,site2,POC-255,
20200103,site2,POC-259,
20200103,site2,POC-259,
20200103,site2,POR-209,
20200103,site2,POR-209,
20200103,site2,POR-214,
20200103,site2,POR-214,
20200103,site2,POR-216,
20200103,site2,POR-216,
20200103,site2,POR-221,
20200103,site2,POR-221,
20200103,site2,POR-224,
20200103,site2,POR-224,
20200103,site2,POR-235,
20200103,site2,POR-235,
20200103,site2,POR-236,
20200103,site2,POR-236,
20200103,site2,POR-240,
20200103,site2,POR-240,
20200103,site2,POR-242,
20200103,site2,POR-242,
20200103,site2,POR-245,
20200103,site2,POR-245,
20200103,site2,POR-251,
20200103,site2,POR-251,
20200103,site2,POR-253,
20200103,site2,POR-253,
20200103,site2,POR-260,
20200103,site2,POR-260,
20200103,site2,POR-262,
20200103,site2,POR-262,
20200103,site2,POR-266,
20200103,site2,POR-266,
20200106,site3,ACR-343,
20200106,site3,ACR-343,
20200106,site3,ACR-345,
20200106,site3,ACR-345,
20200106,site3,ACR-347,
20200106,site3,ACR-347,
20200106,site3,ACR-350,
20200106,site3,ACR-350,
20200106,site3,ACR-351,
20200106,site3,ACR-351,
20200106,site3,ACR-363,
20200106,site3,ACR-363,
20200106,site3,ACR-364,
20200106,site3,ACR-364,
20200106,site3,ACR-368,
20200106,site3,ACR-368,
20200106,site3,ACR-374,
20200106,site3,ACR-374,
20200106,site3,ACR-379,
20200106,site3,ACR-379,
20200106,site3,ACR-389,
20200106,site3,ACR-389,
20200106,site3,ACR-390,
20200106,site3,ACR-390,
20200106,site3,ACR-393,
20200106,site3,ACR-393,
20200106,site3,ACR-396,
20200106,site3,ACR-396,
20200106,site3,POC-346,
20200106,site3,POC-346,
20200106,site3,POC-358,
20200106,site3,POC-358,
20200106,site3,POC-359,
20200106,site3,POC-359,
20200106,site3,POC-366,
20200106,site3,POC-366,
20200106,site3,POC-369,
20200106,site3,POC-369,
20200106,site3,POC-371,
20200106,site3,POC-371,
20200106,site3,POC-372,
20200106,site3,POC-372,
20200106,site3,POC-373,
20200106,site3,POC-373,
20200106,site3,POC-375,
20200106,site3,POC-375,
20200106,site3,POC-377,
20200106,site3,POC-377,
20200106,site3,POC-378,
20200106,site3,POC-378,
20200106,site3,POC-386,
20200106,site3,POC-386,
20200106,site3,POC-391,
20200106,site3,POC-391,
20200106,site3,POC-394,
20200106,site3,POC-394,
20200106,site3,POC-395,
20200106,site3,POC-395,
20200106,site3,POR-338,
20200106,site3,POR-338,
20200106,site3,POR-340,
20200106,site3,POR-340,
20200106,site3,POR-341,
20200106,site3,POR-341,
20200106,site3,POR-349,
20200106,site3,POR-349,
20200106,site3,POR-353,
