,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.083,0.085,0.835,0.843,1.758,1.752,1.196,1.206,1.988,1.782,1.404,1.321,562:562
B,1.379,1.397,1.602,1.593,1.659,1.66,1.308,1.548,1.575,1.592,1.516,1.66,562:562
C,1.776,1.764,0.81,0.795,1.74,1.605,1.82,1.892,1.285,1.245,1.685,1.668,562:562
D,1.376,1.258,0.89,0.921,0.756,0.867,1.024,1.007,0.821,0.829,0.998,1.257,562:562
E,2.168,2.076,1.011,1.024,2.043,1.916,0.623,0.588,0.049,0.048,0.045,0.046,562:562
F,0.048,0.043,0.06,0.046,0.045,0.05,0.048,0.053,0.047,0.047,0.058,0.044,562:562
G,0.043,0.047,0.047,0.043,0.045,0.048,0.052,0.051,0.053,0.044,0.044,0.044,562:562
H,0.046,0.044,0.048,0.046,0.047,0.051,0.048,0.052,0.048,0.052,0.045,0.044,562:562
