,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.505,2.457,2.148,2.155,1.57,1.544,1.249,1.257,0.89,0.897,0.51,0.511,562:562
B,0.312,0.302,0.13,0.131,0.085,0.085,0.082,0.083,1.172,1.184,1.05,1.046,562:562
C,0.56,0.554,1.494,1.493,0.98,0.923,0.761,0.71,1.104,1.085,0.846,0.834,562:562
D,0.943,0.928,1.809,1.866,1.171,1.169,1.031,1.03,0.933,1.065,2.078,2.126,562:562
E,0.877,0.867,0.926,0.976,1.892,1.956,1.594,1.427,0.825,0.703,1.991,2.35,562:562
F,1.54,1.516,1.51,1.492,1.018,0.997,1.299,1.285,0.709,0.702,1.448,1.205,562:562
G,1.202,1.082,1.605,1.651,0.755,0.755,1.852,2.04,1.735,1.871,0.677,0.643,562:562
H,0.713,0.699,1.329,1.308,0.902,0.847,0.723,0.735,0.965,0.965,1.189,1.156,562:562
