Well,562:562
A1,2.505
B1,0.312
C1,0.56
D1,0.943
E1,0.877
F1,1.54
G1,1.202
H1,0.713
A2,2.457
B2,0.302
C2,0.554
D2,0.928
E2,0.867
F2,1.516
G2,1.082
H2,0.699
A3,2.148
B3,0.13
C3,1.494
D3,1.809
E3,0.926
F3,1.51
G3,1.605
H3,1.329
A4,2.155
B4,0.131
C4,1.493
D4,1.866
E4,0.976
F4,1.492
G4,1.651
H4,1.308
A5,1.57
B5,0.085
C5,0.98
D5,1.171
E5,1.892
F5,1.018
G5,0.755
H5,0.902
A6,1.544
B6,0.085
C6,0.923
D6,1.169
E6,1.956
F6,0.997
G6,0.755
H6,0.847
A7,1.249
B7,0.082
C7,0.761
D7,1.031
E7,1.594
F7,1.299
G7,1.852
H7,0.723
A8,1.257
B8,0.083
C8,0.71
D8,1.03
E8,1.427
F8,1.285
G8,2.04
H8,0.735
A9,0.89
B9,1.172
C9,1.104
D9,0.933
E9,0.825
F9,0.709
G9,1.735
H9,0.965
A10,0.897
B10,1.184
C10,1.085
D10,1.065
E10,0.703
F10,0.702
G10,1.871
H10,0.965
A11,0.51
B11,1.05
C11,0.846
D11,2.078
E11,1.991
F11,1.448
G11,0.677
H11,1.189
A12,0.511
B12,1.046
C12,0.834
D12,2.126
E12,2.35
F12,1.205
G12,0.643
H12,1.156
