well,colony_id
A1,Blank-1
A2,Blank-2
A3,ACR-145
A4,ACR-145
A5,POR-69
A6,POR-69
A7,POC-44
A8,POC-44
A9,POR-77
A10,POR-77
A11,POC-56
A12,POC-56
B1,ACR-178
B2,ACR-178
B3,POR-81
B4,POR-81
B5,POC-40
B6,POC-40
B7,ACR-190
B8,ACR-190
B9,POR-80
B10,POR-80
B11,POR-78
B12,POR-78
C1,POR-70
C2,POR-70
C3,POC-55
C4,POC-55
C5,POR-82
C6,POR-82
C7,POR-74
C8,POR-74
C9,ACR-140
C10,ACR-140
C11,POR-76
C12,POR-76
D1,POC-43
D2,POC-43
D3,ACR-51
D4,ACR-51
D5,POC-57
D6,POC-57
D7,POC-41
D8,POC-41
D9,POC-47
D10,POC-47
D11,POR-72
D12,POR-72
E1,POR-83
E2,POR-83
E3,POC-53
E4,POC-53
E5,POR-75
E6,POR-75
E7,POC-52
E8,POC-52
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
