well,colony_id
A1,Blank2
A2,Blank2
A3,POR-209
A4,POR-209
A5,ACR-343
A6,ACR-343
A7,POR-266
A8,POR-266
A9,ACR-347
A10,ACR-347
A11,POC-391
A12,POC-391
B1,POR-384
B2,POR-384
B3,POR-383
B4,POR-383
B5,ACR-351
B6,ACR-351
B7,ACR-364
B8,ACR-364
B9,ACR-350
B10,ACR-350
B11,POC-372
B12,POC-372
C1,POR-214
C2,POR-214
C3,POC-377
C4,POC-377
C5,POR-221
C6,POR-221
C7,POR-235
C8,POR-235
C9,POR-338
C10,POR-338
C11,POR-365
C12,POR-365
D1,POR-341
D2,POR-341
D3,POC-375
D4,POC-375
D5,POC-346
D6,POC-346
D7,POC-395
D8,POC-395
D9,POC-371
D10,POC-371
D11,POC-366
D12,POC-366
E1,ACR-396
E2,ACR-396
E3,POC-238
E4,POC-238
E5,POR-385
E6,POR-385
E7,POC-369
E8,POC-369
E9,POR-381
E10,POR-381
E11,POC-373
E12,POC-373
F1,POC-378
F2,POC-378
F3,POR-357
F4,POR-357
F5,POR-340
F6,POR-340
F7,ACR-393
F8,ACR-393
F9,POR-73
F10,POR-73
F11,POC-50
F12,POC-50
G1,POC-386
G2,POC-386
G3,POR-354
G4,POR-354
G5,ACR-173
G6,ACR-173
G7,POC-48
G8,POC-48
G9,ACR-150
G10,ACR-150
G11,ACR-186
G12,ACR-186
H1,POC-42
H2,POC-42
H3,POC-45
H4,POC-45
H5,POR-79
H6,POR-79
H7,ACR-139
H8,ACR-139
H9,POR-71
H10,POR-71
H11,POC-68
H12,POC-68
